---
published: 2020-01-22
division: NAIA
gender: Men
kind: Team
type: Preseason Poll
link: https://www.naia.org/sports/mten/2019-20/releases/MTEN_2020Poll_1_22_20
ranked: 0
---
rank	prev	team	record	points
1	1	Georgia Gwinnett [14]	0-0	374
2	2	Xavier (La.)	0-0	362
3	3	Cardinal Stritch (Wis.)	0-0	348
4	4	William Carey (Miss.)	0-0	340
5	5	Reinhardt (Ga.)	0-0	325
6	6	Middle Georgia State	0-0	310
7	7	Keiser (Fla.)	0-0	307
8	8	Point (Ga.)	0-0	288
9	9	William Woods (Mo.)	0-0	277
10	10	Union (Ky.)	0-0	264
11	11	Tennessee Wesleyan	2-0	243
12	13	Lindsey Wilson (Ky.)	0-0	240
T13	14	Mobile (Ala.)	0-0	226
T13	NR	San Diego Christian (Calif.)	0-0	226
15	16	Cumberland (Tenn.)	3-1	201
16	18	Campbellsville (Ky.)	0-0	185
17	22	Indiana Wesleyan	18-0	159
17	20	Hope International (Calif.)	0-0	159
19	19	Coastal Georgia	0-0	145
20	15	Cumberlands (Ky.)	0-0	142
21	21	Marian (Ind.)	10-2	130
22	12	Arizona Christian	0-0	125
23	17	University of Northwestern Ohio	3-2	105
24	23	Missouri Valley	2-0	96
25	24	Lewis-Clark State (Idaho)	0-0	89
RV		McPherson (Kan.)		87
RV		Asbury (Ky.)		41
RV		Southeastern (Fla.)		34
RV		Westmont (Calif.)		29
RV		Judson (Ill.)		28
RV		Southwestern (Kan.)		28
RV		Grace (Ind.)		26
RV		Indiana Tech		14
RV		Midland (Neb.)		14
