---
published: 2020-02-12
division: NAIA
gender: Men
kind: Team
type: Poll
link: https://www.naia.org/sports/mten/2019-20/releases/MTEN_2020Poll_2_12_20
ranked: 0
---
rank	prev	team	record	points
1	1	Georgia Gwinnett [14]	3-0	374
2	2	Xavier (La.)	2-0	362
3	3	Cardinal Stritch (Wis.)	2-0	350
4	4	William Carey (Miss.)	0-0	338
5	5	Reinhardt (Ga.)	0-0	322
6	6	Middle Georgia State	1-0	311
7	7	Keiser (Fla.)	5-0	309
8	8	Point (Ga.)	2-1	290
9	9	William Woods (Mo.)	1-0	276
10	10	Union (Ky.)	2-1	266
11	11	Tennessee Wesleyan	2-1	253
12	12	Lindsey Wilson (Ky.)	0-0	239
13	13	Mobile (Ala.)	0-0	231
14	15	Cumberland (Tenn.)	4-3	210
15	17	Hope International (Calif.)	2-1	202
16	16	Campbellsville (Ky.)	0-0	193
17	17	Indiana Wesleyan	18-1	182
18	13	San Diego Christian (Calif.)	0-1	171
19	19	Coastal Georgia	3-0	159
20	20	Cumberlands (Ky.)	1-2	152
21	23	Northwestern Ohio	4-4	131
22	22	Arizona Christian	0-0	115
23	21	Marian (Ind.)	10-4	109
24	24	Missouri Valley	2-0	99
25	25	Lewis-Clark State (Idaho)	1-3	84
RV		McPherson (Kan.)		74
RV		Asbury (Ky.)		56
RV		Southeastern (Fla.)		44
RV		Indiana Tech		24
RV		Judson (Ill.)		21
RV		Westmont (Calif.)		17
RV		Georgetown (Ky.)		5
RV		Grace (Ind.)		3
RV		Southwestern (Kan.)		3
RV		Midland (Neb.)		3
RV		Texas A&M  Texarkana		3
