---
published: 2020-03-11
division: NAIA
gender: Men
kind: Team
type: Poll
link: https://www.naia.org/sports/mten/2019-20/releases/MTEN_2020_Poll_3_11_20
ranked: 0
---
rank	prev	team	record	points
1	1	Georgia Gwinnett [14]	11-0	374
2	2	Xavier (La.)	9-1	361
3	3	Cardinal Stritch (Wis.)	6-2	351
4	4	William Carey (Miss.)	3-0	338
5	5	Reinhardt (Ga.)	4-0	325
6	6	Middle Georgia State	4-0	314
7	7	Keiser (Fla.)	10-3	302
8	8	Point (Ga.)	6-5	290
9	10	Tennessee Wesleyan	4-4	277
10	11	Lindsey Wilson (Ky.)	4-0	258
11	9	William Woods (Mo.)	5-2	253
12	12	Mobile (Ala.)	4-1	250
13	13	Cumberlands (Ky.)	6-2	227
14	15	Indiana Wesleyan	28-1	217
15	14	Union (Ky.)	4-4	215
16	16	San Diego Christian (Calif.)	4-6	195
17	19	Northwestern Ohio	9-6	173
18	17	Hope International (Calif.)	6-5	166
19	22	Marian (Ind.)	12-4	162
20	18	Coastal Georgia	5-3	151
21	21	Campbellsville (Ky.)	4-4	125
22	23	Missouri Valley	4-2	121
23	25	Lewis-Clark State (Idaho)	3-8	97
24	RV	Indiana Tech	8-4	83
25	RV	McPherson (Kan.)	5-1	71
RV		Southeastern (Fla.)		55
RV		Cumberland (Tenn.)		52
RV		Grace (Ind.)		45
RV		Asbury (Ky.)		41
RV		Southwestern (Kan.)		27
RV		Texas A&M  Texarkana		19
RV		SCAD Atlanta (Ga.)		15
RV		Indiana Southeast (Ind.)		14
RV		Ave Maria (Fla.)		9
RV		Judson (Ill.)		9
RV		Midland (Neb.)		3
