---
published: 2020-02-12
division: NAIA
gender: Women
kind: Team
type: Poll
link: https://www.naia.org/sports/wten/2019-20/releases/WTEN_2020_Poll_2_12_20
ranked: 0
---
rank	prev	team	record	points
1	1	Georgia Gwinnett [14]	3-0	374
2	2	Keiser (Fla.)	4-0	362
3	3	Xavier (La.)	2-0	350
4	4	William Carey (Miss.)	0-0	338
5	5	SCAD Savannah (Ga.)	2-1	326
6	6	William Woods (Mo.)	1-2	314
7	7	Middle Georgia State	1-0	302
8	8	Brenau (Ga.)	2-0	290
9	9	Indiana Wesleyan	18-0	277
10	10	Cardinal Stritch (Wis.)	0-2	267
11	11	Lindsey Wilson (Ky.)	0-0	254
12	12	Loyola (La.)	0-4	240
13	13	Union (Ky.)	1-2	230
14	14	Westmont (Calif.)	1-5	216
15	15	LSU Alexandria (La.)	0-0	210
16	16	Georgetown (Ky.)	2-1	193
17	17	Cumberlands (Ky.)	0-2	181
18	18	Mobile (Ala.)	0-0	168
19	19	SCAD Atlanta (Ga.)	0-1-1	159
20	20	San Diego Christian (Calif.)	1-0	144
21	22	Southeastern (Fla.)	3-1-1	130
22	23	Martin Methodist (Tenn.)	0-0	107
23	21	Cumberland (Tenn.)	2-1	96
24	24	Olivet Nazarene (Ill.)	2-2	95
25	RV	Tennessee Wesleyan	2-1	94
RV		Marian (Ind.)		83
RV		Missouri Valley		53
RV		Campbellsville (Ky.)		43
RV		McPherson (Kan.)		30
RV		Lewis-Clark State (Idaho)		18
RV		Asbury (Ky.)		15
RV		Ave Maria (Fla.)		9
RV		Northwestern Ohio		6
RV		Coastal Georgia		6
RV		Indiana Tech		3
