---
published: 2020-03-11
division: NAIA
gender: Women
kind: Team
type: Poll
link: https://www.naia.org/sports/wten/2019-20/releases/WTEN_Poll3_3_11_20
ranked: 0
---
rank	prev	team	record	points
1	1	Georgia Gwinnett [14]	8-0	374
2	2	Keiser (Fla.)	10-2	362
3	3	Xavier (La.)	9-1	350
4	4	William Carey (Miss.)	1-0	338
5	5	SCAD Savannah (Ga.)	6-1	326
6	6	William Woods (Mo.)	4-3	313
7	8	Brenau (Ga.)	6-1	304
8	12	LSU Alexandria (La.)	9-2	278
9	10	Cardinal Stritch (Wis.)	1-5	273
10	7	Middle Georgia State	2-2	257
11	9	Indiana Wesleyan	28-1	252
12	20	San Diego Christian (Calif.)	7-3	250
13	11	Lindsey Wilson (Ky.)	2-2	237
14	13	Union (Ky.)	4-3	229
15	15	Loyola (La.)	2-5	187
16	19	SCAD Atlanta (Ga.)	4-3-1	176
17	16	Georgetown (Ky.)	7-2	170
18	14	Westmont (Calif.)	6-8	166
19	21	Southeastern (Fla.)	6-4	152
20	23	Tennessee Wesleyan	3-5	151
21	17	Cumberlands (Ky.)	4-4	150
22	RV	Missouri Valley	4-1	123
23	RV	Campbellsville (Ky.)	5-2	121
24	25	Marian (Ind.)	11-4	98
25	18	Mobile (Ala.)	0-2	86
RV		Ave Maria (Fla.)		66
RV		Martin Methodist (Tenn.)		60
RV		Northwestern Ohio		58
RV		Indiana Tech		25
RV		Olivet Nazarene (Ill.)		18
RV		McPherson (Kan.)		13
RV		Cumberland (Tenn.)		12
RV		Coastal Georgia		7
RV		Lewis-Clark State (Idaho)		4
