---
published: 2021-01-27
division: NAIA
gender: Men
kind: Team
type: Preseason Poll
link: https://www.naia.org/sports/mten/2020-21/releases/MTEN_Top25_11_27_21
ranked: 0
---
rank	prev	team	record	points
1	1	Georgia Gwinnett [13]	0-0	343
2	2	Xavier (La.)	0-0	328
3	3	Cardinal Stritch (Wis.)	0-0	313
4	4	William Carey (Miss.)	0-0	308
5	7	Keiser (Fla.)	0-0	301
6	5	Reinhardt (Ga.)	0-0	286
7	6	Middle Georgia State	0-0	275
8	10	Lindsey Wilson (Ky.)	0-0	256
9	9	Tennessee Wesleyan	0-0	252
10	14	Indiana Wesleyan	14-0	245
11	8	Point (Ga.)	0-0	236
12	12	Mobile (Ala.)	0-0	218
13	11	William Woods (Mo.)	0-0	217
14	16	San Diego Christian (Calif.)	0-0	203
15	13	Cumberlands (Ky.)	0-0	199
16	15	Union (Ky.)	0-0	180
17	17	University of Northwestern Ohio	0-0	159
18	18	Hope International (Calif.)	0-0	158
19	20	Coastal Georgia	0-0	148
20	RV	Grace (Ind.)	12-2	130
21	RV	Cumberland (Tenn.)	0-0	129
22	22	Missouri Valley	2-0	91
23	23	Lewis-Clark State (Idaho)	0-0	87
24	24	Indiana Tech	1-0	83
25	25	McPherson (Kan.)	0-0	72
RV		Marian (Ind.)		70
RV		Campbellsville (Ky.)		70
RV		Southeastern (Fla.)		50
RV		Asbury (Ky.)		28
RV		Southwestern (Kan.)		25
RV		Loyola (La.)		12
RV		Judson (Ill.)		10
RV		Ave Maria (Fla.)		6
RV		Midland (Neb.)		5
RV		Texas A&M Texarkana
