---
published: 2021-02-17
division: NAIA
gender: Men
kind: Team
type: Poll
link: https://www.naia.org/sports/mten/2020-21/releases/MTEN_Top25_2_17_21
ranked: 0
---
rank	prev	team	record	points
1	1	Georgia Gwinnett [13]	4-0	343
2	2	Xavier (La.)	1-0	329
3	3	Cardinal Stritch (Wis.)	1-0	317
4	5	Keiser (Fla.)	2-1	310
5	4	William Carey (Miss.)	0-0	307
6	6	Reinhardt (Ga.)	0-0	285
7	7	Middle Georgia State	0-1	274
8	8	Lindsey Wilson (Ky.)	1-0	267
9	10	Indiana Wesleyan	14-0	253
10	9	Tennessee Wesleyan	4-1	251
11	11	Point (Ga.)	0-3	229
12	12	Mobile (Ala.)	0-0	221
13	14	San Diego Christian (Calif.)	0-0	210
14	13	William Woods (Mo.)	1-0	203
15	15	Cumberlands (Ky.)	1-0	193
16	16	Union (Ky.)	0-0	179
17	17	University of Northwestern Ohio	1-1	167
18	19	Coastal Georgia	0-0	153
19	20	Grace (Ind.)	13-4	141
20	21	Cumberland (Tenn.)	0-0	133
21	22	Missouri Valley	2-1	112
22	23	Lewis-Clark State (Idaho)	2-0	105
23	24	Indiana Tech	1-0	96
24	25	McPherson (Kan.)	0-0	77
T25	RV	Southeastern (Fla.)	0-0	54
T25	RV	Campbellsville (Ky.)	0-0	54
RV		Ottawa (Ariz.)		42
RV		Marian (Ind.)		40
RV		Montreat (N.C.)		20
RV		St. Thomas (Fla.)		17
RV		Asbury (Ky.)		16
RV		Loyola (La.)		16
RV		Southwestern (Kan.)		14
RV		Judson (Ill.)		10
RV		Arizona Christian		7
RV		Midland (Neb.)		6
RV		Texas A&M Texarkana		4
RV		Ave Maria (Fla.)		3
