---
published: 2021-05-25
division: NAIA
gender: Men
kind: Team
type: Postseason Poll
link: https://www.naia.org/sports/mten/2020-21/releases/MTEN_Top25_5_25_21
ranked: 0
---
rank	prev	team	record	points
1	1	Georgia Gwinnett [13]	24-0	343
2	2	Keiser (Fla.)	18-2	332
3	3	Tennessee Wesleyan	19-4	321
4	11	Lindsey Wilson (Ky.)	19-2	310
5	5	Reinhardt (Ga.)	10-3	292
6	4	Middle Georgia State	10-4	289
7	7	Cardinal Stritch (Wis.)	11-4	279
8	10	Union (Ky.)	10-8	268
9	6	Xavier (La.)	13-11	249
10	8	Indiana Wesleyan	31-4	248
11	9	William Carey (Miss.)	10-4	237
12	12	San Diego Christian (Calif.)	12-4	214
13	14	Cumberlands (Ky.)	18-4	210
14	15	Mobile (Ala.)	9-6	201
15	16	Grace (Ind.)	26-6	185
16	20	Northwestern Ohio	20-5	184
17	13	Montreat (N.C.)	4-12	161
18	21	Southeastern (Fla.)	8-7	152
19	17	Point (Ga.)	6-11	136
20	19	Blue Mountain (Miss.)	7-7	134
21	17	St. Thomas (Fla.)	11-5	131
22	22	William Woods (Mo.)	16-4	121
23	23	Cumberland (Tenn.)	13-7	92
24	25	Indiana Tech	13-4	75
25	24	Ave Maria (Fla.)	8-6	73
RV		McPherson (Kan.)		66
RV		Asbury (Ky.)		52
RV		Marian (Ind.)		46
RV		Midland (Neb.)		24
RV		Campbellsville (Ky.)		17
RV		Texas Wesleyan		13
RV		Coastal Georgia		13
RV		Ottawa (Ariz.)		9
