---
published: 2021-04-28
division: NAIA
gender: Women
kind: Team
type: Poll
link: https://www.naia.org/sports/wten/2020-21/releases/WTEN_Top25_4_28_21
ranked: 0
---
rank	prev	team	record	points
1	1	Georgia Gwinnett [13]	18-0	343
2	2	Keiser (Fla.)	10-1	332
3	3	Xavier (La.)	18-5	321
4	4	Indiana Wesleyan	31-4	310
5	9	Montreat (N.C.)	12-5	293
6	5	SCAD Savannah (Ga.)	5-1	288
7	6	Union (Ky.)	14-2	276
8	7	LSU Alexandria (La.)	8-1	272
9	8	William Carey (Miss.)	9-4	257
10	10	Cardinal Stritch (Wis.)	8-5	242
11	11	William Woods (Mo.)	14-5	234
12	13	Middle Georgia State	5-4	217
13	14	Tennessee Wesleyan	11-6	209
14	16	Lindsey Wilson (Ky.)	15-2	195
15	12	San Diego Christian (Calif.)	12-2	192
16	15	Cumberlands (Ky.)	19-3	180
17	17	Ave Maria (Fla.)	9-4	166
18	18	Reinhardt (Ga.)	7-7	157
19	19	Loyola (La.)	4-4	135
20	20	Campbellsville (Ky.)	16-4	132
21	22	Indiana Tech	15-2	124
22	21	SCAD Atlanta (Ga.)	5-4	115
23	RV	Saint Katherine	8-3	103
24	23	Brenau (Ga.)	5-9	90
25	25	Marian (Ind.)	17-9	80
RV		St. Thomas (Fla.)		75
RV		Cumberland (Tenn.)		62
RV		Georgetown (Ky.)		32
RV		University of Northwestern Ohio		32
RV		Missouri Valley		18
RV		Indiana East (Ind.)		9
RV		Southeastern (Fla.)		7
RV		Blue Mountain (Miss.)		5
RV		Texas Wesleyan		4
RV		Lewis-Clark State (Idaho)		3
