---
published: 2021-05-25
division: NAIA
gender: Women
kind: Team
type: Postseason Poll
link: https://www.naia.org/sports/wten/2020-21/releases/WTEN_Top25_5_25_21
ranked: 0
---
rank	prev	team	record	points
1	1	Georgia Gwinnett [14]	23-0	374
2	2	Keiser (Fla.)	15-2	362
3	3	Xavier (La.)	21-6	350
4	4	Indiana Wesleyan	33-4	338
5	7	Union (Ky.)	15-3	316
6	6	SCAD Savannah (Ga.)	7-3	312
7	8	LSU Alexandria (La.)	9-3	308
8	9	William Carey (Miss.)	10-5	292
9	12	Middle Georgia State	7-5	278
10	5	Montreat (N.C.)	12-6	267
11	10	Cardinal Stritch (Wis.)	12-5	255
12	11	William Woods (Mo.)	15-6	241
13	13	Tennessee Wesleyan	12-7	232
14	14	Lindsey Wilson (Ky.)	16-3	220
15	18	Reinhardt (Ga.)	8-8	203
16	16	Cumberlands (Ky.)	20-4	200
17	15	San Diego Christian (Calif.)	12-3	178
18	17	Ave Maria (Fla.)	9-5	156
18	21	Indiana Tech	17-3	156
20	20	Campbellsville (Ky.)	16-5	152
21	19	Loyola (La.)	4-4	137
22	23	Saint Katherine (Calif.)	8-4	120
23	22	SCAD Atlanta (Ga.)	3-5	115
24	24	Brenau (Ga.)	5-9	92
25	25	Marian (Ind.)	17-9	87
RV		St. Thomas (Fla.)		50
RV		Cumberland (Tenn.)		47
RV		Indiana East (Ind.)		43
RV		Southwestern (Kan.)		22
RV		Georgetown (Ky.)		21
RV		University of Northwestern Ohio		20
RV		Blue Mountain (Miss.)		19
RV		Mobile (Ala.)		12
RV		Missouri Valley		7
RV		Southeastern (Fla.)		5
