---
tournaments: 115
events: 236
eventsWithDraws: 40
eventsWithoutDraws: 196
draws: 157
brackets: 460
results: 2660
---
tournamentCode	eventId	drawId	bracketId	gender	eventName	drawName	bracketName	rounds	results
21-00238	1	1	1	M	Men's Open Singles	Flight 1	EAST	QF,SF,F	7
21-00238	1	1	2	M	Men's Open Singles	Flight 1	WEST	SF,F	3
21-00238	1	1	3	M	Men's Open Singles	Flight 1	3-4 Playoff	F	1
21-00238	1	1	4	M	Men's Open Singles	Flight 1	SOUTH	F	1
21-00238	1	2	1	M	Men's Open Singles	Flight 2	EAST	QF,SF,F	7
21-00238	1	2	2	M	Men's Open Singles	Flight 2	WEST	SF,F	3
21-00238	1	2	3	M	Men's Open Singles	Flight 2	3-4 Playoff	F	1
21-00238	1	2	4	M	Men's Open Singles	Flight 2	SOUTH	F	1
21-00238	1	3	1	M	Men's Open Singles	Flight 3	EAST	QF,SF,F	7
21-00238	1	3	2	M	Men's Open Singles	Flight 3	WEST	SF,F	3
21-00238	1	3	3	M	Men's Open Singles	Flight 3	3-4 Playoff	F	1
21-00238	1	3	4	M	Men's Open Singles	Flight 3	SOUTH	F	1
21-00238	1	4	1	M	Men's Open Singles	Flight 4	MAIN	R1,R2,R3	6
21-00238	1	4	2	M	Men's Open Singles	Flight 4	Playoff 1	F	1
21-00238	1	4	3	M	Men's Open Singles	Flight 4	Playoff 2	F	1
21-00238	1	4	4	M	Men's Open Singles	Flight 4	Playoff 3	F	1
21-00238	1	5	1	M	Men's Open Singles	Flight 5	MAIN	R1,R2,R3	6
21-00238	1	5	2	M	Men's Open Singles	Flight 5	Playoff 1	F	1
21-00238	1	5	3	M	Men's Open Singles	Flight 5	Playoff 2	F	1
21-00238	1	5	4	M	Men's Open Singles	Flight 5	Playoff 3	F	1
21-00238	1	6	1	M	Men's Open Singles	Flight 6	MAIN	R1,R2,R3	6
21-00238	1	6	2	M	Men's Open Singles	Flight 6	Playoff 1	F	1
21-00238	1	6	3	M	Men's Open Singles	Flight 6	Playoff 2	F	1
21-00238	1	6	4	M	Men's Open Singles	Flight 6	Playoff 3	F	1
