---
tournaments: 244
players: 4425
matches: 4362
completed: 4349
scheduled: 13
---
tournamentCode	eventId	drawId	bracketId	roundId	winner	player1	partner1	player2	partner2	round	seed1	line1	seed2	line2	score
21-00186	3	1	1	4	1	2834xi	7pqxwn	xdln53	d6q4y8	F		Frelinghuysen/Kandel		Martin/Arimilli	26 76(1) 63
21-00186	3	1	1	3	1	xdln53	d6q4y8	ed0her	aqosoc	SF		Martin/Arimilli		Esses/Raina	63 62
21-00186	3	1	1	3	1	2834xi	7pqxwn	u5jrfj	7gsmkm	SF		Frelinghuysen/Kandel		Settles/Nguyen	63 75
21-00186	3	1	1	2	1	ed0her	aqosoc	xdy18j	m4h0be	QF		Esses/Raina		Aney/Budde	76(4) 75
21-00186	3	1	1	2	1	xdln53	d6q4y8	f77pb1	m5ylo7	QF		Martin/Arimilli	4	Harris/Laber	62 64
21-00186	3	1	1	2	1	2834xi	7pqxwn	9hqhcb	u0iimu	QF		Frelinghuysen/Kandel	3	Watson/Hutchison	76(4) 62
21-00186	3	1	1	2	1	u5jrfj	7gsmkm	ym448g	teh2rk	QF		Settles/Nguyen		Ramireddy/Li	64 64
21-00186	3	1	1	1	1	xdy18j	m4h0be	n36rg9	9v2fkh	16		Aney/Budde	1	Leach/Lemaitre	46 76(5) [8]
21-00186	3	1	1	1	1	ed0her	aqosoc	ze28iw	maeoqk	16		Esses/Raina		Tecce/Leese	63 63
21-00186	3	1	1	1	1	f77pb1	m5ylo7	36sk4g	ytalcj	16	4	Harris/Laber		Comadena/Kelley	64 46 [4]
21-00186	3	1	1	1	1	xdln53	d6q4y8	sy9ez0	9795h9	16		Martin/Arimilli		Motlojoa/Loen	64 62
21-00186	3	1	1	1	1	2834xi	7pqxwn	osvg5y	cutmvk	16		Frelinghuysen/Kandel		Gray/Zakowski	63 64
21-00186	3	1	1	1	1	9hqhcb	u0iimu	3ho163	uhml0v	16	3	Watson/Hutchison		Portnoy/Jimenez	64 61
21-00186	3	1	1	1	1	ym448g	teh2rk	g7ozqx	43ansp	16		Ramireddy/Li		Dean/Suarez	63 36 [3]
21-00186	3	1	1	1	1	u5jrfj	7gsmkm	u0zs1q	2u8g48	16		Settles/Nguyen	2	Hopper/Powell	75 61
21-00186	3	1	2	2	1	n36rg9	9v2fkh	sy9ez0	9795h9	SF	1	Leach/Lemaitre		Motlojoa/Loen	63 76(6)
21-00186	3	1	2	2	1	u0zs1q	2u8g48	3ho163	uhml0v	SF	2	Hopper/Powell		Portnoy/Jimenez	63 61
21-00186	3	1	2	1	1	n36rg9	9v2fkh	ze28iw	maeoqk	QF	1	Leach/Lemaitre		Tecce/Leese	62 63
21-00186	3	1	2	1	1	sy9ez0	9795h9	36sk4g	ytalcj	QF		Motlojoa/Loen		Comadena/Kelley	63 67(10) [6]
21-00186	3	1	2	1	1	3ho163	uhml0v	osvg5y	cutmvk	QF		Portnoy/Jimenez		Gray/Zakowski	62 76(5)
21-00186	3	1	2	1	1	u0zs1q	2u8g48	g7ozqx	43ansp	QF	2	Hopper/Powell		Dean/Suarez	64 75
21-00186	3	1	3	1	1	f77pb1	m5ylo7	xdy18j	m4h0be	SF	4	Harris/Laber		Aney/Budde	62 64
21-00186	3	1	3	1	1	9hqhcb	u0iimu	ym448g	teh2rk	SF	3	Watson/Hutchison		Ramireddy/Li	64 75
21-00186	3	1	5	1	1	36sk4g	ytalcj	ze28iw	maeoqk	SF		Comadena/Kelley		Tecce/Leese	64 62
21-00186	3	1	5	1	1	g7ozqx	43ansp	osvg5y	cutmvk	SF		Dean/Suarez		Gray/Zakowski	75 63
21-00186	3	2	1	4	1	gg50n2	vv6bwx	mu8g48	181ora	F		Caratini/Tamagnone		Ramirez/Bain	64 64
21-00186	3	2	1	3	1	gg50n2	vv6bwx	740qwi	q1v7n7	SF		Caratini/Tamagnone	4	Dugo/Gurmendi	76(4) 64
21-00186	3	2	1	3	1	mu8g48	181ora	dxwpyn	qys4k4	SF		Ramirez/Bain	3	Nienhaus/Papa	75 46 [5]
21-00186	3	2	1	2	1	gg50n2	vv6bwx	tyqoew	vclc76	QF		Caratini/Tamagnone	1	Klimov/Bresson	64 60
21-00186	3	2	1	2	1	740qwi	q1v7n7	ax9313	9ltvdb	QF	4	Dugo/Gurmendi		Barrios/Zick	76(6) 64
21-00186	3	2	1	2	1	dxwpyn	qys4k4	9d6twf	01z3zn	QF	3	Nienhaus/Papa		Turnquest/Rocco	62 63
21-00186	3	2	1	2	1	mu8g48	181ora	r7ozqx	bo9cju	QF		Ramirez/Bain	2	Czepielewski/Bonacia	62 46 [2]
21-00186	3	2	1	1	1	tyqoew	vclc76	rkca0i	tc8y4q	16	1	Klimov/Bresson		Pessoa/Pelletti	63 61
21-00186	3	2	1	1	1	gg50n2	vv6bwx	7xwpyn	sffxj9	16		Caratini/Tamagnone		Omarkhanov/Salazar	63 64
21-00186	3	2	1	1	1	740qwi	q1v7n7	91xntf	ekpo3y	16	4	Dugo/Gurmendi		Little/Braham	64 64
21-00186	3	2	1	1	1	ax9313	9ltvdb	l4h0be	oazuhw	16		Barrios/Zick		Carrizo/Sprovieri	61 36 [7]
21-00186	3	2	1	1	1	9d6twf	01z3zn	ux9313	mouia6	16		Turnquest/Rocco		Beltran/Komel	61 61
