---
tournaments: 362
players: 4994
matches: 13497
completed: 13487
scheduled: 10
---
tournamentCode	eventId	drawId	bracketId	roundId	winner	player1	partner1	player2	partner2	round	seed1	line1	seed2	line2	score
21-00186	1	101	1	4	1	4gdsby		g69ujc		F	1	Alvaro Regalado		Joaquin Benoit	62 62
21-00186	1	101	1	3	1	4gdsby		rlvbjj		SF	1	Alvaro Regalado	4	Andrea Zamurri	63 64
21-00186	1	101	1	3	1	g69ujc		jlrf73		SF		Joaquin Benoit		Alex Martinez Roca	63 46 62
21-00186	1	101	1	2	1	4gdsby		coyemm		QF	1	Alvaro Regalado		Ryan Nuno	57 61 61
21-00186	1	101	1	2	1	rlvbjj		gxdzdj		QF	4	Andrea Zamurri		Sander Jans	36 62 62
21-00186	1	101	1	2	1	jlrf73		p28wok		QF		Alex Martinez Roca		Brennan Cimpeanu	61 63
21-00186	1	101	1	2	1	g69ujc		r0meya		QF		Joaquin Benoit		Francisco Oliveira	75 64
21-00186	1	101	1	1	1	4gdsby		n36rg9		16	1	Alvaro Regalado		Sebastian Herrera	61 62
21-00186	1	101	1	1	1	coyemm		gfdhd1		16		Ryan Nuno		Tom Jarry	64 62
21-00186	1	101	1	1	1	rlvbjj		z2rm9o		16	4	Andrea Zamurri		Gonzalo Fernandez	76(5) 64
21-00186	1	101	1	1	1	gxdzdj		qrk7at		16		Sander Jans		Daniel Llorente	64 75
21-00186	1	101	1	1	1	jlrf73		3si22i		16		Alex Martinez Roca		Franco Oliva	76(5) 62
21-00186	1	101	1	1	1	p28wok		zr3xvx		16		Brennan Cimpeanu	3	Marko Nikoliuk	76(6) 63
21-00186	1	101	1	1	1	g69ujc		jwdofm		16		Joaquin Benoit		Joaquin Bianchi	62 63
21-00186	1	101	1	1	1	r0meya		gsxwb6		16		Francisco Oliveira	2	Alejandro Ibanez	63 63
21-00186	1	101	2	2	1	z2rm9o		n36rg9		SF		Gonzalo Fernandez		Sebastian Herrera	64 63
21-00186	1	101	2	2	1	jwdofm		3si22i		SF		Joaquin Bianchi		Franco Oliva	76(2) 62
21-00186	1	101	2	1	1	n36rg9		gfdhd1		QF		Sebastian Herrera		Tom Jarry	63 64
21-00186	1	101	2	1	1	z2rm9o		qrk7at		QF		Gonzalo Fernandez		Daniel Llorente	36 63 62
21-00186	1	101	2	1	1	3si22i		zr3xvx		QF		Franco Oliva	3	Marko Nikoliuk	57 64 62
21-00186	1	101	2	1	1	jwdofm		l69ujc		QF		Joaquin Bianchi		Jonathan Berling	63 61
21-00186	1	101	3	1	1	coyemm		gxdzdj		SF		Ryan Nuno		Sander Jans	62 64
21-00186	1	101	3	1	1	r0meya		p28wok		SF		Francisco Oliveira		Brennan Cimpeanu	76(8) 63
21-00186	1	101	5	1	1	qrk7at		gfdhd1		SF		Daniel Llorente		Tom Jarry	61 76(6)
21-00186	1	101	5	1		zr3xvx		l69ujc		SF	3	Marko Nikoliuk		Jonathan Berling	
21-00186	1	102	1	4	1	yofo1i		bos24y		F		Stan Morris	3	Chase Cohen	26 63 61
21-00186	1	102	1	3	1	yofo1i		mrevs5		SF		Stan Morris		Jhonny Acosta	64 64
21-00186	1	102	1	3	1	bos24y		bgwiw2		SF	3	Chase Cohen		Jordan Theron	16 75 62
21-00186	1	102	1	2	1	mrevs5		x91zp7		QF		Jhonny Acosta	1	James Hopper	57 64 00 Ret.
21-00186	1	102	1	2	1	yofo1i		eho163		QF		Stan Morris	4	Robert Liu	26 75 75
21-00186	1	102	1	2	1	bos24y		ks1snm		QF	3	Chase Cohen		Ansh Shah	46 60 60
21-00186	1	102	1	2	1	bgwiw2		mr1hpp		QF		Jordan Theron		Moses Hutchison	76(3) 76(2)
