---
published: 2021-09-07
division: NCAA Division I
gender: Men
kind: Doubles
type: Preseason Rankings
link: https://www.wearecollegetennis.com/2021/09/07/ita-division-i-mens-doubles-rankings-preseason-top-60/
ranked: 0
---
rank	player	partner	team
1	Adam Walton	Pat Harper	University of Tennessee
2	Eliot Spizzirri	Siem Woldeab	University of Texas
3	Bogdan Pavel	Trey Hilderbrand	UCF
4	Daniel Rodrigues	Connor Thomson	University of South Carolina
5	David Stevenson	Oscar Cutting	Memphis
6	Florian Broska	Gregor Ramskogler	Mississippi State
7	Tad Maclean	Finn Murgett	Auburn University
8	Marcus McDaniel	Andres Martin	Georgia Tech
9	Garrett Johns	Sean Sculley	Duke University
10	Jordan Chrysostom	Ryan Fishback	Virginia Tech
11	Benjamin Hannestad	Franco Aubone	University of Miami
12	Joshua Charlton	Quinn Vandecasteele	University of Oregon
13	Alex Martinez	Nathan Han	University of Oklahoma
14	Kody Pearson	Connor Di Marco	University of Tulsa
15	Teodor Giusca	Yizhou Liu	Clemson University
16	Siphosothando Montsi	Kweisi Kenyatte	University of Illinois
17	Bradley Frye	Stefan Dostanic	University of Southern California
18	Luca Maldoner	Nicola Vidal	Old Dominion
19	George Harwell	Max Freeman	Vanderbilt University
20	Matt Summers	James Davis	University of Denver
21	Stijn Slump	Pavel Motl	Middle Tennessee
22	Randy Wilson	Pedro Maciel	Florida Gulf Coast University
23	Trent Bryde	Blake Croyder	University of Georgia
24	Luc Fomba	Tim Ruehl	TCU
25	Hamish Stewart	Tristan McCormick	University of Georgia
26	Sam Riffice	Ben Shelton	Florida
27	Sven Lah	Finn Bass	Baylor
28	Sid Banthia	Matt Thomson	Wake Forest
29	Brian Cernoch	Ben Sigouin	North Carolina
30	Kyle Frankel	Camilo Ponce	Elon
31	Ronnie Hohmann	Vlad Lobak	LSU
32	Juan Carlos Aguilar	Sander Jong	TCU
33	Johannus Monday	Martim Prata	University of Tennessee
34	Franco Capalbo	Geronimo Espin Busleiman	University of Utah
35	Rayane Stable	Inigo Torre Martin	VCU
36	Finn Reynolds	Nikola Slavic	Ole Miss
37	Gabriel Diallo	Francois Musitelli	University of Kentucky
38	Huntley Allen	Julian Steinhausen	SMU
39	Chris Rodesch	Ryan Goetz	University of Virginia
40	Matej Vocel	Robert Cash	Ohio State
41	Cleeve Harper	Chih Chi Huang	University of Texas
42	Bar Botzer	William Woodall	University of Virginia
43	Andrei Duarte	Roberts Grinvalds	Georgia State University
44	Axel Nefve	Aditya Vashistha	University of Notre Dame
45	Andrew Fenty	Ondrej Styler	University of Michigan
46	Eduardo Nava	Ben Draper	Wake Forest
47	August Holmgren	Will Davies	University of San Diego
48	Emile Hudd	Shunsuke Mitsui	Tennessee
49	Yannai Barkai	Braden Shick	NC State
50	Will Grant	Blaise Bicknell	Florida
51	Siim Troost	Michael Ross	Vanderbilt University
52	Drew Baird	Patrick Zahraj	UCLA
53	Emmanuel Coste	Riccardo Roberto	UC Irvine
54	Jim Hendrikx	Eladio Fabregas	Samford University
55	Ivailo Keremedchiev	Jesper Klov-Nilsson	University of Oregon
56	Simen Bratholm	Brian Berdusco	Northwestern
57	Mattias Siimar	Abedallah Shelbayh	Florida
58	German Samofalov	Patrick Kaukovalta	University of Alabama
59	Alex Rotsaert	Arthur Fery	Stanford University
60	Pierce Rollins	Noah Schachter	Texas A&M
