---
published: 2021-12-08
division: NCAA Division I
gender: Men
kind: Doubles
type: Rankings
link: https://www.wearecollegetennis.com/2021/12/08/ita-collegiate-tennis-division-i-mens-national-rankings-december-8-2021/#Doubles
ranked: 0
---
rank	players	team
1	Robert Cash / Matej Vocel	Ohio State University
2	Justin Boulais / James Trotter	Ohio State University
3	Andres Martin / Marcus McDaniel	Georgia Tech
4	Lui Maxted / Pedro Vives Marcos	TCU
5	Ryan Goetz / Chris Rodesch	University Of Virginia
6	Emile Hudd / Shunsuke Mitsui	University Of Tennessee
7	Franco Aubone / Benjamin Hannestad	University Of Miami
8	Arthur Fery / Alexandre Rotsaert	Stanford University
9	Stefanos Savva / Coy Simon	UNC Charlotte
10	Stefan Dostanic / Bradley Frye	University Of Southern California
11	Daniel Milavsky / Brian Shi	Harvard University
12	Stefan Dostanic / Samuel Rubell	University Of Southern California
13	Richard Ciamarra / Cleeve Harper	University Of Texas
14	Abedallah Shelbayh / Mattias Siimar	University Of Florida
15	Carl Emil Overbeck / Yuta Kikuchi	California
16	Juan Martin / Filip Planinsek	University Of Alabama
17	Joshua Charlton / Quinn Vandecasteele	University Of Oregon
18	Jake Finn Bass / Sven Lah	Baylor University
19	Siddhant Banthia / Jakob Schnaitter	Wake Forest University
20	Casey Kania / Logan Zapp	North Carolina
21	Trent Bryde / Philip Henning	University Of Georgia
22	Trey Hilderbrand / Bogdan Pavel	UCF
23	Eliot Spizzirri / Siem Woldeab	University Of Texas
24	John Hallquist Lithen / Finn Reynolds	University Of Mississippi
25	Matthew Hollingworth / Sasha Trkulja	Gonzaga University
26	Ben Draper / Robert Maciag	Wake Forest University
27	Tomas Balazi / Leon Petko	Campbell University
28	Jan Galka / Tyler Stice	Auburn University
29	Luca Maldoner / Nicola Vidal	Old Dominion University
30	David Stevenson / Jeremy Taylor	University Of Memphis
31	Max Basing / Timothy Sah	Stanford University
32	James Davis / Matt Summers	University Of Denver
33	Matej Panik / Daan Van Dijk	Montana State U/Bozeman
34	Joshua Lapadat / JJ Mercer	University Of Kentucky
35	Austin Abbrat / Noah Schachter	Texas A&M University
36	Adrien Burdet / Melvin Manuel	University Of Arkansas
37	Garrett Johns / Sean Sculley	Duke University
38	Mika Berghaus / Elias Grubert	Tennessee Tech University
39	Michael Heller / Andrew Zhang	Duke University
39	Andres Andrade / Duarte Vale	University Of Florida
41	Leyton Cronje / Trey Hilderbrand	UCF
42	Max McKennon / Fabien Salle	Arizona State University
43	Nino Ehrenschneider / Andrew Fenty	University Of Michigan
44	Pavel Motl / Stijn Slump	Middle Tennessee State University
45	Gabriel Diaz Freire / Vlad Lobak	LSU
46	Peyton Gatti / Tomas Rodriguez	University Of Tennessee, Chattanooga
47	Philip Henning / Hamish Stewart	University Of Georgia
48	Andrei Duarte / Roberts Grinvalds	Georgia State University
49	Henry Schulenburg / Harris Walker	Harvard University
50	Siddhant Banthia / Juan Lopez De Azcona	Wake Forest University
51	Andres Andrade / Mattias Siimar	University Of Florida
52	Enzo Aguiard / Filip Planinsek	University Of Alabama
53	Brian Cernoch / Mac Kiger	UNC Chapel Hill
54	Ignacio Garcia / Axel Vila Antuna	St. John’s University
55	Nate Bonetto / Lukas Greif	University Of Florida
56	Samrakshyak Bajracharya / Ruan Du Preez	Alabama State University
57	Victor Castro / Joe Tyler	San Diego State University
58	Philip Hjorth / Yuta Kikuchi	California
59	Charles Bertimon / Maxence Bertimon	VCU
60	Connor Di Marco / Kody Pearson	University Of Tulsa
