---
published: 2021-12-08
division: NCAA Division I
gender: Men
kind: Singles
type: Rankings
link: https://www.wearecollegetennis.com/2021/12/08/ita-collegiate-tennis-division-i-mens-national-rankings-december-8-2021/#Singles
ranked: 0
---
rank	player	team
1	August Holmgren	University Of San Diego
2	Ben Shelton	University Of Florida
3	Clement Chidekh	University Of Washington
4	Gabriel Diallo	University Of Kentucky
5	Matej Vocel	Ohio State University
6	Stefan Dostanic	University Of Southern California
7	Arthur Fery	Stanford University
8	Daniel De Jonge	Pepperdine University
9	Andres Martin	Georgia Tech
10	Johannus Monday	University Of Tennessee
11	Andre Ilagan	University Of Hawaii
12	Alex Kotzen	Columbia University
13	Chris Rodesch	University Of Virginia
14	JJ Tracy	Ohio State University
15	Andrew Rogers	Pepperdine University
16	Trey Hilderbrand	UCF
17	Henry Schulenburg	Harvard University
18	Alafia Ayeni	Cornell University
19	Juan Carlos Aguilar	TCU
20	Micah Braswell	University Of Texas
21	Cannon Kingsley	Ohio State University
22	Florian Broska	Mississippi State University
23	Philip Henning	University Of Georgia
24	Pietro Fellin	Pepperdine University
25	Aleksa Bucan	University Of Arkansas
26	Karl Poling	Princeton University
27	Ryan Goetz	University Of Virginia
28	Nikola Slavic	University Of Mississippi
29	Daniel Rodrigues	University Of South Carolina
30	Stijn Slump	Middle Tennessee State University
31	Mason Beiler	University Of Oklahoma
32	Hamish Stewart	University Of Georgia
33	Lui Maxted	TCU
34	George Harwell	Vanderbilt University
35	Peter Makk	University Of Southern California
36	Robin Catry	North Carolina State University
37	Ronnie Hohmann	Louisiana State University
38	Faris Khan	Duke University
39	Adam Walton	University Of Tennessee
40	Lodewijk Weststrate	University Of Southern California
41	Alexander Hoogmartens	UCLA
42	James Trotter	Ohio State University
43	Gavin Young	University Of Michigan
44	Finn Reynolds	University Of Mississippi
45	Francois Musitelli	University Of Kentucky
46	Bastien Huon	Coastal Carolina University
47	Tyler Stice	Auburn University
48	Sven Lah	Baylor University
49	Mark Mandlik	University Of Oklahoma
50	Toby Samuel	University Of South Carolina
51	Emile Hudd	University Of Tennessee
52	Inaki Montes de la Torre	University Of Virginia
53	Herman Hoeyeraal	University Of Arizona
54	Jordan Hasson	University Of Oklahoma
55	Isaac Becroft	Loyola Marymount University
56	Tad Maclean	Auburn University
57	Brian Shi	Harvard University
58	Mark Wallner	University Of Tennessee
59	Jan Galka	Auburn University
60	Brian Cernoch	North Carolina
61	Mattias Siimar	University Of Florida
62	Trent Bryde	University Of Georgia
63	Dominik Barton	University Of North Florida
64	Francois Le Tallec	Old Dominion University
65	Frazier Rengifo	East Tennessee State University
66	Jeffrey von der Schulenburg	University Of Virginia
67	Jacob Bickersteth	University Of Michigan
68	Luc Fomba	TCU
69	Michael Sun	Yale University
70	Bradley Frye	University Of Southern California
71	Bar Botzer	University Of Virginia
72	Tim Zeitvogel	Pepperdine University
73	Cleeve Harper	University Of Texas
74	Raphael Perot	Texas A&M University
75	Filippo Moroni	Wake Forest University
76	Jacob Fearnley	TCU
76	Garrett Johns	Duke University
78	Ryan Fishback	Virginia Tech
79	Nate Bonetto	University Of Florida
80	Luke Casper	Texas A&M University
81	Tadeas Paroulek	Baylor University
82	Francisco Rocha	Middle Tennessee State University
83	Filip Planinsek	University Of Alabama
84	Marvin Schaber	University Of San Diego
85	Jakob Schnaitter	Wake Forest University
86	Daniel Milavsky	Harvard University
87	Hugo Hashimoto	Columbia University
88	Jeremy Taylor	University Of Memphis
89	JJ Mercer	University Of Kentucky
90	Joshua Lapadat	University Of Kentucky
91	Younes Lalami	Old Dominion University
92	Trice Pickens	Northwestern University
93	Joubert Klopper	Vanderbilt University
94	Samuel Rubell	University Of Southern California
95	Robert Cash	Ohio State University
96	Stefan Leustian	UCLA
97	Olivier Stuart	University Of Illinois
98	Inigo Torre Martin	VCU
99	Eric Hadigian	Pepperdine University
100	Taha Baadi	Wake Forest University
101	Enrique Luque Rico	Pepperdine University
102	Alexandre Reco	University Of Arkansas
103	Carles Sarrio	Florida Atlantic University
104	Simen Bratholm	Northwestern University
105	Siem Woldeab	University Of Texas
106	Stepan Holis	Middle Tennessee State University
107	Andres Andrade	University Of Florida
108	Harris Walker	Harvard University
109	Teodor Giusca	Clemson University
110	Blake Croyder	University Of Georgia
111	Joshua Goodger	University Of Florida
112	Oscar Cutting	University Of Memphis
113	Alex Brown	University Of Illinois
114	Kevin Huempfner	Florida Atlantic University
115	Noah Schachter	Texas A&M University
116	Kweisi Kenyatte	University Of Illinois
117	Robert Maciag	Wake Forest University
118	Max McKennon	Arizona State University
119	Thomas Paulsell	University Of Georgia
120	Beau Pelletier	University Of South Carolina
121	Dan Martin	University Of Miami
122	Yasha Zemel	University Of Kentucky
123	Conor Gannon	University Of Tennessee
124	Marino Jakic	DePaul University
125	Shunsuke Mitsui	University Of Tennessee
