---
published: 2022-01-05
division: NCAA Division I
gender: Men
kind: Team
type: Poll
link: https://www.wearecollegetennis.com/2022/01/05/texas-sits-atop-division-i-womens-ita-collegiate-tennis-preseason-top-25-coaches-poll/
ranked: 33
---
tied	rank	code	team	firstPlaceVotes
	 1	FLA 	Florida	12
	 2	BAY 	Baylor	
	 3	TEX 	Texas	
	 4	TENN	Tennessee	
	 5	TCU 	TCU	
	 6	OSU 	Ohio State	
	 7	UVA 	Virginia	
	 8	UGA 	Georgia	
	 9	USC 	USC	
	10	WAKE	Wake Forest	
	11	UCF 	UCF	
	12	UK  	Kentucky	
	13	SCAR	South Carolina	
	14	UNC 	North Carolina	
	15	ARIZ	Arizona	
	16	STAN	Stanford	
	17	MICH	Michigan	
	18	MISS	Ole Miss	
	19	A&M 	Texas A&M	
	20	MSST	Mississippi State	
	21	HARV	Harvard	
	22	PEPP	Pepperdine	
	23	ILL 	Illinois	
	24	OKLA	Oklahoma	
	25	UCLA	UCLA	
	RV	AZST	Arizona State	
	RV	CLMB	Columbia	
	RV	COR 	Cornell	
	RV	GT  	Georgia Tech	
	RV	OKST	Oklahoma State	
	RV	PRIN	Princeton	
	RV	USD 	San Diego	
	RV	TTU 	Texas Tech	
