---
published: 2022-01-19
division: NCAA Division I
gender: Men
kind: Team
type: Poll
link: https://www.wearecollegetennis.com/2022/01/19/longhorns-remain-no-1-in-latest-division-i-womens-ita-collegiate-tennis-top-25-coaches-poll/
ranked: 25
---
tied	rank	code	team	firstPlaceVotes
 	 1	TENN	Tennessee	8
 	 2	BAY 	Baylor	2
T	 3	FLA 	Florida	2
T	 3	TCU 	TCU	
 	 5	TEX 	Texas	
 	 6	OSU 	Ohio State	
T	 7	UVA 	Virginia	
T	 7	UGA 	Georgia	
 	 9	USC 	USC	
 	10	WAKE	Wake Forest	
 	11	UK  	Kentucky	
 	12	SCAR	South Carolina	
 	13	UNC 	North Carolina	
T	14	UCF 	UCF	
T	14	ARIZ	Arizona	
 	16	STAN	Stanford	
 	17	MICH	Michigan	
 	18	MISS	Ole Miss	
 	19	A&M 	Texas A&M	
 	20	HARV	Harvard	
 	21	MSST	Mississippi State	
 	22	PEPP	Pepperdine	
 	23	ILL 	Illinois	
 	24	OKLA	Oklahoma	
 	25	UCLA	UCLA	
