---
published: 2021-09-07
division: NCAA Division I
gender: Women
kind: Doubles
type: Preseason Rankings
link: https://www.wearecollegetennis.com/2021/09/07/ita-division-i-womens-doubles-rankings-preseason-top-60/
ranked: 0
---
rank	player	partner	team
1	Ivana Corley	Carmen Corley	University of Oklahoma
2	Chloe Beck	Karolina Berankova	Duke
3	Tatiana Makarova	Jayci Goldsmith	Texas A&M University
4	Natasha Subhash	Sofia Munera	Virginia
5	Esther Adeshina	Daria Kuczer	Tennessee
6	Gia Cohen	Ava Hrastar	Georgia Tech
7	Bronte Murgett	Marta Oliveira	University of Missouri
8	Anna Brylin	Brooke Killingsworth	Wake Forest University
9	Holly Staff	Anna Ross	Vanderbilt
10	Peyton Stearns	Charlotte Chavitipon	University of Texas
11	Shiori Fukuda	Taisiay Pachkaleva	Pepperdine
12	Isabelle Boulais	Kolie Allen	Ohio State
13	Melany Krywoj	Alicia Herrero Linana	Baylor University
14	Haley Giavara	Valentina Ivanov	California
15	Alle Sanford	Reilly Tran	North Carolina
16	Andrea Di Palma	Rhea Verma	Louisville
17	Cameron Morra	Elizabeth Scotty	North Carolina
18	Abigail Rencheli	Amelia Rajecki	NC State University
19	Georgie Axon	Adeline Flach	Auburn University
20	Petra Hule	Vic Allen	Florida State
21	Solymar Colling	Elizabeth Goldsmith	University of San Diego
22	Selin Ovunc	Ariana Arseneault	Auburn University
23	McCartney Kessler	Emma Shelton	Florida
24	Margaryta Bilokin	Eliza Omirou	Duke
25	Kylie Collins	Sabina Zeynalova	University of Texas
26	Julia Adams	Madison Dillon	Furman
27	Jaeda Daniel	Alana Smith	NC State University
28	Mary Lewis	Maja Pietrowicz	Michigan State University
29	Eleni Louka	Jenna Thompson	Clemson University
30	Briana Crowley	Christina Hand	Northwestern University
31	Diana Khodan	Isabella Pfennig	Miami
32	Fiona Arrese	Elizabeth Stevens	Kentucky
33	Catherine Gulihur	Ana Melilo	University of North Florida
34	Emma Navarro	Melodie Collard	Virginia
35	Jackie Nylander	Hadley Doyle	Southern Methodist University
36	Audrey Boch-Collins	Maya Tahan	Miami
37	Page Freeman	Julia Lilien	University of Notre Dame
38	Carolyn Campana	Anna Campana	Wake Forest University
39	Marlee Zein	Alicia Dudeney	Florida
40	Megan Davies	Allie Gretkowski	University of South Carolina
41	Emma Antonaki	Tamara Racine	Mississippi State
42	Mell Reasco	Morgan Coppoc	Georgia
43	Magda Adaloglou	Chloe Cirotte	Mississippi State
44	Mananchaya Sangwangkaew	Ayumi Miyamoto	Oklahoma State
45	Laura Marti	Luiza Fullana	Charleston Southern University
46	Kari Miller	Jaedan Brown	University of Michigan
47	Marcella Cruz	MaryAnn Rompf	Vanderbilt
48	Tiphanie Fiquet	Sabina Machalova	Ole Miss
49	Kelly Chen	Elizabeth Coleman	Duke
50	Anna Hertel	Guillermina Grant	Georgia
51	Taylor Bridges	Ena Babic	LSU
52	Carly Briggs	Bente Spee	Florida
53	Paola Exposito Diaz Delgado	Nina Sorkin	Virginia Commonwealth University
54	Alexa Noel	Samantha Mannix	Iowa
55	Allura Zamarippa	Bella Zamarippa	University of Texas
56	Janice Tjen	Anastasia Iamachkine	Pepperdine
57	Yuliia Starodubtseva	Tanya Sasnouskaya	Old Dominion
58	Iuliia Bryzgalova	Marija Curnic	University of Pennsylvania
59	Thasaporn Naklo	Miska Kadleckova	Iowa State University
60	Alana Wolfberg	Dariya Detkovskaya	Oklahoma State
