---
published: 2021-12-08
division: NCAA Division I
gender: Women
kind: Doubles
type: Rankings
link: https://www.wearecollegetennis.com/2021/12/08/ita-collegiate-tennis-division-i-womens-national-rankings-december-8-2021/#Doubles
ranked: 0
---
rank	players	team
1	Fiona Crawley / Elizabeth Scotty	North Carolina
2	Anna Brylin / Brooke Killingsworth	Wake Forest University
3	Tatsiana Sasnouskaya / Yulia Starodubtseva	Old Dominion University
4	Alicia Herrero Linana / Melany Krywoj	Baylor University
5	Jayci Goldsmith / Tatiana Makarova	Texas A&M University
6	Cameron Morra / Carson Tanguilig	North Carolina
7	Daria Frayman / Grace Joyce	Princeton University
8	Ludmila Kareisova / Kelsey Mize	University Of Mississippi
9	Catherine Gulihur / Ana Paula Melilo	University Of North Florida
10	Kelly Chen / Eliza Omirou	Duke University
11	Victoria Flores / Lisa Zaar	Pepperdine University
12	Kylie Bilchev / Ava Hrastar	Georgia Tech
13	Charlotte Chavatipon / Kylie Collins	University Of Texas
14	Melodie Collard / Hibah Shaikh	University Of Virginia
15	Samantha Martinelli / Casie Wooten	Wake Forest University
16	Fiona Crawley / Reilly Tran	North Carolina
17	Victoria Flores / Janice Tjen	Pepperdine University
18	Wiktoria Rutowska / Isabella Tcherkes-Zade	Loyola Marymount University
19	Loudmilla Bencheikh / Anne Marie Hiser	University Of Alabama
20	Chloe Beck / Margaryta Bilokin	Duke University
21	Jaeda Daniel / Alana Smith	North Carolina State University
22	Melodie Collard / Emma Navarro	University Of Virginia
23	Salma Ewing / Snow Han	University Of Southern California
24	Carly Briggs / Marlee Zein	University Of Florida
25	Ena Babic / Taylor Bridges	LSU
26	Eryn Cayetano / Grace Piper	University Of Southern California
27	Jessica Alsola / Erin Richardson	California
28	Magda Adaloglou / Chloe Cirotte	Mississippi State University
29	Irina Cantos Siemers / Sydni Ratliff	Ohio State University
30	Iuliia Bryzgalova / Marija Curnic	University Of Pennsylvania
31	Andrea Di Palma / Rhea Verma	University Of Louisville
32	Radka Buzkova / Matea Mihaljevic	Colorado State University
33	Laura Masic / Lara Schneider	Indiana University
34	Alle Sanford / Reilly Tran	North Carolina
35	Sofia Cabezas / Miska Kadleckova	Iowa State University
36	Marcella Cruz / Holly Staff	Vanderbilt University
37	Megan Davies / Allie Gretkowski	University Of South Carolina
38	Angelica Blake / Connie Ma	Stanford University
39	Tenika McGiffin / Olivia Symons	University Of Tennessee
40	Daevenia Achong / Eden Richardson	University Of Miami
41	Kacie Harvey / Alle Sanford	North Carolina
42	Carly Briggs / Alicia Dudeney	University Of Florida
43	Brindtha Ramasamy / Laura Rico	Miami University
44	Fernanda Carvajal / Yunuen Elizarraras	East Tennessee State University
45	Morgan Coppoc / Ania Hertel	University Of Georgia
46	Alicia Dudeney / Bente Spee	University Of Florida
47	Miska Kadleckova / Thasaporn Naklo	Iowa State University
48	Fiona Crawley / Anika Yarlagadda	North Carolina
49	Autum Prudhomme / Fabienne Schmidt	Grand Canyon University
50	Evgeniya Levashova / Valeriya Zeleva	UCF
51	Guillermina Grant / Mell Reasco	University Of Georgia
51	Sydney Berlin / Alicia Dudeney	University Of Florida
51	Mariana Manyoma Velasquez / Malkia Ngounoue	University Of Kansas
54	Lucia Quiterio / Ruxi Schech	UNC Charlotte
55	Marie Mattel / Nandini Sharma	UCF
56	Ayumi Miyamoto / Mananchaya Sawangkaew	Oklahoma State University
57	Anessa Lee / Holly Staff	Vanderbilt University
58	Briana Crowley / Christina Hand	Northwestern University
59	Carlota Molina / Elizabeth Stevens	University Of Kentucky
60	Chloe Beck / Elizabeth Coleman	Duke University
