---
published: 2021-09-07
division: NCAA Division I
gender: Women
kind: Singles
type: Preseason Rankings
link: https://www.wearecollegetennis.com/2021/09/07/ita-division-i-womens-singles-rankings-preseason-top-125/
ranked: 0
---
rank	player	team
1	Emma Navarro	Virginia
2	Abigail Forbes	UCLA
3	Janice Tjen	Pepperdine
4	McCartney Kessler	Florida
5	Georgia Drummy	Duke
6	Peyton Stearns	University of Texas
7	Irina Cantos	Ohio State
8	Natasha Subhash	Virginia
9	Bunyawi Thamchaiwat	San Diego State
10	Tatiana Makarova	Texas A&M University
11	Viktoryia Kanapatskaya	Syracuse
12	Alexa Noel	Iowa
13	Victoria Flores	Pepperdine
14	Vanessa Wong	University of Washington
15	Meg Kowalski	Georgia
16	Isabella Pfennig	Miami
17	Haley Giavara	California
18	Salma Ewing	University of Southern California
19	Lea Ma	Georgia
20	Valeriya Zeleva	UCF
21	Carolyn Campana	Wake Forest University
22	Emma Antonaki	Mississippi State
23	Alana Smith	NC State University
24	Michaela Gordon	Stanford
25	Kelly Chen	Duke
26	Indianna Spink	Arkansas
27	Sabina Machalova	Ole Miss
28	Chloe Beck	Duke
29	Ayana Akli	University of South Carolina
30	Solymar Colling	University of San Diego
31	Kari Miller	University of Michigan
32	Cameron Morra	North Carolina
33	Selin Ovunc	Auburn University
34	Bronte Murgett	University of Missouri
35	Fiona Crawley	North Carolina
36	Yuliia Starodubtseva	Old Dominion
37	Melany Krywoj	Baylor University
38	Thasaporn Naklo	Iowa State University
39	Carmen Corley	University of Oklahoma
40	Alana Wolfberg	Oklahoma State
41	Carly Briggs	Florida
42	Dana Guzman	University of Oklahoma
43	Taylor Bridges	LSU
44	Taisiya Pachkaleva	Pepperdine
45	Carolyn Ansari	Auburn University
46	Charlotte Chavatipon	University of Texas
47	Michaela Bayerlova	Washington State University
48	Abigail Rencheli	NC State University
49	Sophie Abrams	NC State University
50	Megan Davies	University of South Carolina
51	Shakhnoza Khatamova	UCSB
52	Anna Campana	Wake Forest University
53	Lisa Zaar	Pepperdine
54	Alisa Soloveva	TCU
55	Rebeka Mertena	Tennessee
56	Eryn Cayetano	University of Southern California
57	Mariia Kozyreva	Saint Mary’s College of California
58	Isabella Harvison	Baylor University
59	Shiori Fukuda	Pepperdine
60	Ivana Corley	University of Oklahoma
61	Sedona Gallagher	Arizona State University
62	Anna Brylin	Wake Forest University
63	Margarita Skriabina	Texas Tech
64	Marlee Zein	Florida
65	Ava Hrastar	Georgia Tech
66	Morgan Coppoc	Georgia
67	Kylie Collins	University of Texas
68	Malkia Ngounoue	Kansas
69	Tiphanie Fiquet	Ole Miss
70	Federica Trevisan	Rice University
71	Lesedi Jacobs	Florida State
72	Eleni Louka	Clemson University
73	Sara Nayar	NC State University
74	Laia Conde Monfort	University of Tulsa
75	Mercedes Aristegui	TCU
76	Marina Alcaide	Old Dominion
77	Tatsiana Sasnouskaya	Old Dominion
78	Anika Yarlagadda	North Carolina
79	Paola Exposito Diaz Delgado	Virginia Commonwealth University
80	Evgeniya Levashova	UCF
81	Naomi Cheong	University of Southern California
82	Elizabeth Scotty	North Carolina
83	Jenna Thompson	Clemson University
84	Emma Shelton	Florida
85	Gina Dittmann	Northern Arizona University
86	Ruxi Schech	Charlotte
87	Angelica Blake	Stanford
88	Reilly Tran	North Carolina
89	Jackie Nylander	Southern Methodist University
90	Clarissa Hand	Northwestern University
91	Miska Kadleckova	Iowa State University
92	Carol Lee	Georgia Tech
93	Ayumi Miyamoto	Oklahoma State
94	Gia Cohen	Georgia Tech
95	Layne Sleeth	Oklahoma
96	Safiya Carrington	LSU
97	Mila Saric	William & Mary
98	Rachel Hanford	Minnesota
99	Elizaveta Volodko	Santa Barbara
100	Ahmeir Kyle	Xavier
101	Maria Shusharina	Northwestern University
102	Brianna Shvets	Princeton
103	Jayci Goldsmith	Texas A&M University
104	Julia Adams	Furman
105	Isabelle Boulais	Ohio State
106	Julia Rosenqvist	California
107	Jordyn McBride	San Diego
108	Katya Townsend	Texas A&M University
109	Catherine Broerman	Gonzaga
110	Alicia Herrero Linana	Baylor University
111	Jaeda Daniel	NC State
112	Hadley Doyle	SMU
113	Xinyu Cai	Wisconsin
114	Karine Marion Job	Kansas State
115	Andrea Di Palma	Louisville
116	Yu Chen	Auburn University
117	Elizabeth Goldsmith	San Diego
118	Danielle Willson	USC
119	Valentina Ivanov	California
120	Esther Lovato	Liberty University
121	Iuliia Bryzgalova	Penn
122	Jaedan Brown	Michigan
123	Giulia Morlet	Arizona State University
124	Sarah-Maude Fortin	Washington
125	Petra Hule	Florida State
