---
published: 2021-12-08
division: NCAA Division I
gender: Women
kind: Singles
type: Rankings
link: https://www.wearecollegetennis.com/2021/12/08/ita-collegiate-tennis-division-i-womens-national-rankings-december-8-2021/#Singles
ranked: 0
---
rank	player	team
1	Eryn Cayetano	University Of Southern California
2	Sarah Hamner	University Of South Carolina
3	Alexa Noel	University Of Iowa
4	Daria Frayman	Princeton University
5	Cameron Morra	North Carolina
6	Irina Cantos Siemers	Ohio State University
7	Reilly Tran	North Carolina
8	Jaeda Daniel	North Carolina State University
9	Connie Ma	Stanford University
10	Lisa Zaar	Pepperdine University
11	Mell Reasco	University Of Georgia
12	Salma Ewing	University Of Southern California
13	Carson Tanguilig	North Carolina
14	Rebeka Mertena	University Of Tennessee
15	Chloe Beck	Duke University
16	Layne Sleeth	University Of Oklahoma
17	Kari Miller	University Of Michigan
18	Taisiya Pachkaleva	Pepperdine University
19	Fiona Crawley	North Carolina
20	Tiphanie Fiquet	University Of Mississippi
21	Alexandra Yepifanova	Stanford University
22	Petra Hule	Florida State University
23	Victoria Hu	Princeton University
24	Alana Smith	North Carolina State University
25	Abigail Rencheli	North Carolina State University
26	Emma Jackson	Duke University
27	Thasaporn Naklo	Iowa State University
28	Ayana Akli	University Of South Carolina
29	Natasha Subhash	University Of Virginia
30	Victoria Flores	Pepperdine University
31	Shiori Fukuda	Pepperdine University
32	Catherine Gulihur	University Of North Florida
33	Meg Kowalski	University Of Georgia
34	Marlee Zein	University Of Florida
35	Carolyn Campana	Wake Forest University
36	Savannah Broadus	Pepperdine University
37	Evgeniya Levashova	UCF
38	Kylie Bilchev	Georgia Tech
39	Snow Han	University Of Southern California
40	Kylie Collins	University Of Texas
41	Tenika McGiffin	University Of Tennessee
42	Maria Titova	University Of Kansas
43	Margaux Maquet	UNC Charlotte
44	Solymar Colling	University Of San Diego
45	Julia Adams	Furman University
46	Margarita Skriabina	Texas Tech University
47	Avelina Sayfetdinova	Texas Tech University
48	Elizabeth Coleman	Duke University
49	Alexandra Vagramov	UCLA
50	Emmanouela Antonaki	Mississippi State University
51	Karine-Marion Job	Kansas State University
52	Lea Ma	University Of Georgia
53	Iuliia Bryzgalova	University Of Pennsylvania
54	Safiya Carrington	LSU
55	Oona Orpana	Oklahoma State University
56	Elza Tomase	University Of Tennessee
57	Anika Yarlagadda	North Carolina
58	Casie Wooten	Wake Forest University
59	Xinyu Cai	University Of Wisconsin
60	Brianna Shvets	Princeton University
61	Paola Exposito Diaz-Delgado	VCU
62	Abigail Desiatnikov	University Of San Diego
63	Morgan Coppoc	University Of Georgia
64	Valeriya Zeleva	UCF
65	Sara Snyder	Furman University
66	Melodie Collard	University Of Virginia
67	Magda Adaloglou	Mississippi State University
68	Abigail Forbes	UCLA
69	Ava Hrastar	Georgia Tech
70	Cristina Mayorova	Clemson University
71	Yulia Starodubtseva	Old Dominion University
72	Lucia Marzal	Ohio State University
73	Georgia Drummy	Duke University
74	Mariia Kozyreva	Saint Mary’s College/CA
75	Anna Campana	Wake Forest University
76	Isabella Pfennig	University Of Miami
77	Alicia Herrero Linana	Baylor University
78	Ania Hertel	University Of Georgia
79	Selin Ovunc	Auburn University
80	Sabina Machalova	University Of Mississippi
81	Sabine Rutlauka	University Of Pennsylvania
82	Bunyawi Thamchaiwat	San Diego State University
83	Ivana Corley	University Of Oklahoma
84	Ali DeSpain	Clemson University
85	Carol Lee	Georgia Tech
86	Mananchaya Sawangkaew	Oklahoma State University
87	Emma Shelton	University Of Florida
88	Loudmilla Bencheikh	University Of Alabama
89	Kailey Evans	Texas Tech University
90	Elaine Chervinsky	University Of Virginia
91	Laia Conde Monfort	University Of Tulsa
92	Ena Babic	LSU
93	Janice Tjen	Pepperdine University
94	Clarissa Hand	Northwestern University
95	Camila Romero	University Of Memphis
96	Marcella Cruz	Vanderbilt University
97	Alina Shcherbinina	Baylor University
98	Naomi Cheong	University Of Southern California
99	Julia Fliegner	University Of Michigan
100	Carlota Molina	University Of Kentucky
101	Emma Staker	University Of Oklahoma
102	Marie Mattel	UCF
103	Petra Sedlackova	University Of Alabama
104	Daevenia Achong	University Of Miami
105	Carmen Corley	University Of Oklahoma
106	Alexandra Viktorovich	Old Dominion University
107	Lara Schneider	Indiana University
108	Valentina Ivanov	California
109	Malkia Ngounoue	University Of Kansas
110	Jessica Alsola	California
111	Csilla Fodor	Purdue University
112	Anessa Lee	Vanderbilt University
112	Mouna Bouzgarrou	St. John’s University
114	Luna Dormet	Ohio State University
115	Carolyn Ansari	Auburn University
116	Tatsiana Sasnouskaya	Old Dominion University
117	Malaika Rapolu	University Of Texas
118	Megan Davies	University Of South Carolina
119	Holly Staff	Vanderbilt University
120	Nicole Hammond	University Of Michigan
121	Elizabeth Pendergast	University Of Cincinnati
122	Tatiana Makarova	Texas A&M University
123	Wiktoria Rutowska	Loyola Marymount University
123	Sydni Ratliff	Ohio State University
125	Rosanna Maffei	Kansas State University
