---
published: 2022-01-19
division: NCAA Division I
gender: Women
kind: Team
type: Poll
teams: 25
---
tied	rank	code	team	firstPlaceVotes
	 1	TEX 	Texas	11
	 2	PEPP	Pepperdine	
	 3	UNC 	North Carolina	1
	 4	UGA 	Georgia	
	 5	UCLA	UCLA	
	 6	DUKE	Duke	
	 7	UVA 	Virginia	
	 8	NCST	NC State	
	 9	CAL 	California	
	10	OSU 	Ohio State	
	11	UCF 	UCF	
	12	GT  	Georgia Tech	
	13	A&M 	Texas A&M	
	14	MICH	Michigan	
	15	FSU 	Florida State	
	16	STAN	Stanford	
	17	USC 	USC	
	18	OKLA	Oklahoma	
	19	BAY 	Baylor	
	20	FLA 	Florida	
	21	LSU 	LSU	
	22	TENN	Tennessee	
	23	PRIN	Princeton	
	24	MIA 	Miami (FL)	
	25	AUB 	Auburn	
