---
published: 2022-01-20
division: NCAA Division II
gender: Men
kind: Team
type: Poll
link: https://www.wearecollegetennis.com/2022/01/20/barry-named-unanimous-no-1-in-division-ii-mens-ita-preseason-top-25-coaches-poll/
ranked: 0
---
rank	team
1	Barry University (9)
2	Columbus State University
3	Saint Leo University
4	Univ. of Hawaii
RV	Hilo
5	Valdosta State University
6	Univ. of West Florida
7	Univ. of Indianapolis
8	Lander University
9	Hawaii Pacific University
10	University of North Georgia
11	Delta State University
12	Azusa Pacific University
13	Lynn University
14	Auburn University Montgomery
15	Embry-Riddle (Fla.)
16	Northwest Missouri State
17	Concordia University (Irvine)
18	University of Texas at Tyler
19	Southwest Baptist University
20	Wingate University
21	Washburn University
22	Southern Arkansas University
23	Tusculum University
24	Drury University
25	University of West Alabama
RV	Biola University
RV	Cameron University
RV	Flagler College
RV	Hillsdale College
RV	Ouachita Baptist University
RV	Queens University of Charlotte
RV	Rollins College
RV	St. Mary’s University (Texas)
