---
published: 2021-12-01
division: NCAA Division II
gender: Women
kind: Doubles
type: Rankings
link: https://www.wearecollegetennis.com/2021/12/01/ita-collegiate-tennis-division-ii-womens-national-rankings-december-1-2021/#Doubles
ranked: 0
---
rank	player	partner	team
1	Christine Canete	Mae Canete	Univ. Of Central Oklahoma
2	Natalie Espinal	Chantal Nosievici	Nova Southeastern Univ.
3	Daniela Farfan	Kim Moosbacher	Barry University
4	Haina Franco	Katia De La Garza	University Of West Alabama
5	Ena Ovcina	Valentina Gonzalez	Angelo State University
6	Yun Nicole Shiau	Sofia Ragona	Academy Of Art University
7	Vaishali Jorge	Johanna Lippert	Univ. Of North Georgia
8	Isabella Dunlap	Anna Novikova	Univ. Of Indianapolis
9	Nika Kozar	Zala Dovnik	Nova Southeastern Univ.
10	Karolin Kirchtag	Katy Graydon	Indiana U Of Pennsylvania
11	Morgan Waller	Samantha Stephenson	Ferris State University
12	Nastassia Chamoun	Lucy Spice	Newberry College
13	Colbeyshae Emery	Mary Brascia	Biola University
14	Natasha Munday	Joanna Stralka	Indiana U Of Pennsylvania
15	Kristina Lagoda	Lea Cakarevic	Univ. Of Indianapolis
T 16	Mariana Ramirez	Valentina Abrile	Columbus State Univ.
T 16	Laura Arce Vieyra	Gabriela Jancikova	Augustana University/SD
18	Ava Neuburger-Higby	Isabel Heras	Metropolitan St. Univ./Denver
19	Georgina Groth	Alexandra Borg	Rollins College
20	Himani Mor	Anais Geslin	Franklin Pierce University
21	Adel Abidulina	Nikki Boyar	Univ. Of Central Oklahoma
22	Ayda Guler	Ramitha Irrinki	Angelo State University
23	Eden Schlagenhauf	Alessandra Traub	Flagler College
24	Natalie Kallmunzerova	Alexa Etienne	Southern New Hampshire Univ.
25	Lois Page	Adriana Gonzalez	Slippery Rock University
