---
published: 2021-12-01
division: NCAA Division II
gender: Women
kind: Singles
type: Rankings
link: https://www.wearecollegetennis.com/2021/12/01/ita-collegiate-tennis-division-ii-womens-national-rankings-december-1-2021/#Singles
ranked: 0
---
rank	player	team
1	Deniz Khazan	Barry University
2	Mae Canete	Univ. Of Central Oklahoma
3	Eleonora Liga	Azusa Pacific University
4	Christine Canete	Univ. Of Central Oklahoma
5	Adel Abidulina	Univ. Of Central Oklahoma
6	Luisa Hrda	Flagler College
7	Maria Garcia	St. Mary’s University/TX
8	Ana Carla Resende	Carson-Newman University
9	Natalie Espinal	Nova Southeastern Univ.
10	Natalie Kallmunzerova	Southern New Hampshire Univ.
11	Nika Kozar	Nova Southeastern Univ.
12	Isabella Dunlap	Univ. Of Indianapolis
13	Colbeyshae Emery	Biola University
14	Anna Novikova	Univ. Of Indianapolis
15	Kim Moosbacher	Barry University
16	Raquel Amaro	Christian Brothers Univ.
17	Diana Cabrera	Southwest Baptist Univ.
18	Sofia Ragona	Academy Of Art University
19	Arianna Audelo	Point Loma Nazarene Univ.
20	Elena Gunfaus	Wingate University
21	Grace Chadick	Univ. Of Central Oklahoma
22	Haina Franco	University Of West Alabama
23	Giorgia Pigato	Lynn University
24	Katia De La Garza	University Of West Alabama
25	Mariana Ramirez	Columbus State Univ.
26	Karolin Kirchtag	Indiana U Of Pennsylvania
27	Prinkle Singh	University Of Charleston
28	Taylor Leslie	Dallas Baptist Univ.
29	Dianela Rodriguez	Angelo State University
30	Simone Parn	Univ. Of District Of Columbia
31	Valentina Gonzalez	Angelo State University
32	Ashley Penshorn	St. Mary’s University/TX
33	Neus Ramos Moreno	Wilmington University
34	Nefeli Zafeiri	Lewis University
35	Heather Richards	Concordia Univ. Irvine
36	Florentia Hadjigeorgiou	Augustana University/SD
37	Vaishali Jorge	Univ. Of North Georgia
38	Natasha Munday	Indiana U Of Pennsylvania
39	Marta Vicens Miquel	Saint Leo University
40	Marina Vigil	St. Mary’s University/TX
41	Maeva Roquebert	University Of Tampa
42	Mary Brascia	Biola University
43	Ewa Samberger	Drury University
44	Sofia Shing	Georgia College
45	Mariia Solnyshkina	Univ. Of Indianapolis
46	Lois Page	Slippery Rock University
47	Madison Kane	Azusa Pacific University
48	Marta Torres Rodriguez	Washburn University
49	Anna Greer	Anderson University
50	Kayla Dean	Mercyhurst University
