---
published: 2021-12-09
division: NCAA Division III
gender: Men
kind: Doubles
type: Rankings
link: https://www.wearecollegetennis.com/2021/12/09/ita-collegiate-tennis-division-iii-mens-regional-and-national-rankings-december-9-2021/#nationaldoubles
ranked: 0
---
rank	player	partner	team
1	Peter Frelinghuysen	Matthew Kandel	Williams College
2	Christian Settles	Hao Nguyen	Trinity University (TX)
3	Nathan Arimilli	Philip Martin	Claremont-Mudd-Scripps Coll.
4	Andrew Esses	Sahil Raina	Emory University
5	Will Leach	Luke Lemaitre	George Fox University
6	James Hopper	Jonathan Powell	Case Western Reserve
7	Moses Hutchison	Andrew Watson	Univ. Of Mary Washington
8	Noah Laber	Aidan Harris	Middlebury College
9	Nyathi Motlojoa	Max Loen	Luther College
10	Owen Kelley	Jansen Comadena	Pomona Pitzer Colleges
11	Nick Aney	Alex Budde	Gustavus Adolphus College
12	Sam Dean	Santiago Suarez	Emory University
13	Abhi Ramireddy	Daniel Li	Washington University In Saint Louis
14	Noah Williamson	Alper Kulturel	Skidmore College
15	Jeff Chen	Adam Tzeng	Brandeis University
16	Zachary Portnoy	Brendan Jimenez	Skidmore College
17	Alex Gray	John Zakowski	Univ. Of Wisconsin, Whitewater
18	Cole Tecce	Peter Leese	Univ. Of Mary Washington
19	Damien Ruparel	Sujit Chepuri	Amherst College
20	Hunter Bajoit	Hemanshu Rambojun	Southwestern University
21	Aidan Rooney	Quentin Gonzalez	Pacific University
22	Jack Katzman	Robert Liu	Claremont-Mudd-Scripps Coll.
23	Jhonny Acosta	Juan Pablo Vallejo	North Carolina Wesleyan Coll.
24	Thomas Yu	James Yu	Johns Hopkins University
T 25	Derek Hsieh	Christian Alshon	University Of Chicago
T 25	Timmy Cianciola	Andy Mackler	Denison University
