---
published: 2021-12-09
division: NCAA Division III
gender: Men
kind: Singles
type: Rankings
link: https://www.wearecollegetennis.com/2021/12/09/ita-collegiate-tennis-division-iii-mens-regional-and-national-rankings-december-9-2021/#nationalsingles
ranked: 0
---
rank	player	team
1	Stan Morris	Middlebury College
2	Chase Cohen	Williams College
3	Jhonny Acosta	North Carolina Wesleyan Coll.
4	Jordan Theron	Methodist University
5	Robert Liu	Claremont-Mudd-Scripps Coll.
6	James Hopper	Case Western Reserve
7	Cameron Krimbill	Trinity University (TX)
8	Thomas Yu	Johns Hopkins University
9	Moses Hutchison	Univ. Of Mary Washington
10	Ansh Shah	Case Western Reserve
11	Aiden Drover-Mattinen	Rensselaer Polytech. Inst
12	John Rado	Skidmore College
13	John Zakowski	Univ. Of Wisconsin, Whitewater
14	Ethan Carroll	Claremont-Mudd-Scripps Coll.
15	Luke Lemaitre	George Fox University
16	Cole Lindwall	Univ. Of Wisconsin, Whitewater
17	Tristan Bradley	Bowdoin College
18	Reid Staples	Bowdoin College
19	Isaac Gorelik	Tufts University
20	Rishabh Sharda	Tufts University
21	Yudai Teruyama	Rensselaer Polytech. Inst
22	Abraham Yohannes	Rensselaer Polytech. Inst
23	Marcos Dias	Southern Virginia Univ.
24	Timmy Cianciola	Denison University
25	Hunter Bajoit	Southwestern University (TX)
26	Will Leach	George Fox University
27	Philip Martin	Claremont-Mudd-Scripps Coll.
28	Matthew Robinson	Claremont-Mudd-Scripps Coll.
29	Hao Nguyen	Trinity University (TX)
30	Alessio Azzalini	Trinity University (TX)
31	Mason Tran	Pacific University
32	Vishwa Aduru	Case Western Reserve
33	Neel Raut	Gustavus Adolphus College
34	Nick Aney	Gustavus Adolphus College
35	Antonio Mora	Emory University
36	Charley Force	Swarthmore College
37	Nolan Shah	Emory University
38	Drew Elofson	Gustavus Adolphus College
39	Reyn Miyagawa	Pacific University
40	Christian Settles	Trinity University (TX)
41	Abhi Ramireddy	Washington University In Saint Louis
42	Derek Hsieh	University Of Chicago
43	Jack Katzman	Claremont-Mudd-Scripps Coll.
44	Kevin Jiang	Swarthmore College
45	Sujit Chepuri	Amherst College
46	Colin Fox	Brandeis University
47	Jake Cohen	Colby College
48	Damien Ruparel	Amherst College
49	Gaurav Singh	Washington University In Saint Louis
50	Ian Freer	Claremont-Mudd-Scripps Coll.
