---
published: 2021-12-09
division: NCAA Division III
gender: Women
kind: Doubles
type: Rankings
link: https://www.wearecollegetennis.com/2021/12/09/ita-collegiate-tennis-division-iii-womens-regional-and-national-rankings-december-9-2021/#nationaldoubles
ranked: 0
---
rank	player	partner	team
1	Dakota Fordham	Carol Plakk	New York University
2	Shianna Guo	Sylwia Mikos	University Of Chicago
3	Elle Christensen	Tilly Rigby	Tufts University
4	Sasha Gaeth	Kristina Yu	Wesleyan University
5	Lindy Cornwall	Bin Zheng	Carnegie Mellon University
6	Ava Givone	Crystal Zhou	Carnegie Mellon University
7	Angie Zhou	Marissa Markey	Pomona-Pitzer Colleges
8	Xuanjin Li	Alexa Goetz	Emory University
9	Gabby Lee	Crystal Juan	Claremont-Mudd-Scripps Coll.
10	Alli Ziehm	Emma Kesterson	Southwestern University (TX)
11	Jessica Fatemi	Emma Cartledge	Emory University
12	Arianna Castellanos Calderon	Angel Le	Whitman College
13	Lindsey Henderson	Elaine Franta	University of Wisconsin, Eau Claire
14	Charlotte Roarty	Jenny Landells	The College Of New Jersey
15	Daria Beshentseva	Victoria Vazquez	Kenyon College
16	Autumn Bruno	Cassandra Lee	Univ. Of Wisconsin, Whitewater
17	Ruth de Souza	Allison Wandling	Sweet Briar College
18	Evelyn Safar	Kennedi Carter	Bowdoin College
19	Nina Mitrofanova	Lydia Lee	Southwestern University (TX)
20	Cassidy Binder	Sydnie Binder	Pacific University
21	Mia Kintiroglou	Jackie Bukzin	Amherst College
22	Karen Gao	Ainsley Heidbreder	Washington University in Saint Louis
23	Claudia Miller	Sahana Raman	Middlebury College
24	Sena Selby	Audrey Yoon	Claremont-Mudd-Scripps Coll.
25	Nina Hoog	Madeleine Eiss	Case Western Reserve
