---
published: 2021-12-09
division: NCAA Division III
gender: Women
kind: Singles
type: Rankings
link: https://www.wearecollegetennis.com/2021/12/09/ita-collegiate-tennis-division-iii-womens-regional-and-national-rankings-december-9-2021/#nationalsingles
ranked: 0
---
rank	player	team
1	Eliza McPherron	Emory University
2	Sahana Raman	Middlebury College
3	Nina Ye	Pomona-Pitzer Colleges
4	Dakota Fordham	New York University
5	Carol Plakk	New York University
6	Angie Zhou	Pomona-Pitzer Colleges
7	Kristal Dule	North Carolina Wesleyan Coll.
8	Suzuka Nishino	Univ. Of Texas, Dallas
9	Crystal Zhou	Carnegie Mellon University
10	Sylwia Mikos	University Of Chicago
11	Gabi Moss	Washington & Lee University
12	Sabrina Tang	Grinnell College
13	Mary Hose	Carleton College
14	Miranda Yuan	University Of Chicago
15	Angel Le	Whitman College
16	Jamilah Karah	Bowdoin College
17	Christina Watson	Emory University
18	Claudia Miller	Middlebury College
19	Hannah Kassaie	Case Western Reserve
20	Caitlyn Ferrante	Wesleyan University
21	Margaret Carlton	Washington & Lee University
22	Samantha Wong	Univ. Of Texas, Dallas
23	Victoria Vazquez	Kenyon College
24	Elle Christensen	Tufts University
25	Kimberly Liao	Massachusetts Inst. Of Tech.
26	Kimmy Steinert	Univ. Of Wisconsin, La Crosse
27	Katie Fleischman	Wesleyan University
28	Ana Cristina Perez	Emory University
29	Cassidy Binder	Pacific University
30	Shianna Guo	University Of Chicago
31	Sena Selby	Claremont-Mudd-Scripps Coll.
32	Ruth de Souza	Sweet Briar College
33	Jackie Bukzin	Amherst College
34	Sarah Bahsoun	Claremont-Mudd-Scripps Coll.
35	Sarah Yang	Carnegie Mellon University
36	Erica Ekstrand	Williams College
37	Alexa Goetz	Emory University
38	Lauren Park	University Of Chicago
39	Emma Kesterson	Southwestern University (TX)
40	Autumn Bruno	Univ. Of Wisconsin, Whitewater
41	Zoe Kava	Tufts University
42	Gena Huang	Middlebury College
43	Irene Agusti	Grinnell College
44	Grace Riermann	Bethel University
45	Tessa Trate	Christopher Newport University
46	Brooke Despriet	Sewanee: U Of The South
47	Hannah Apsey	Hamilton College
48	Kelsey Dorr	St Catherine University
49	Tessa Kern	Linfield College
50	Lydia Lee	Southwestern University (TX)
