---
published: 2021-12-02
division: JUCO
gender: Men
kind: Doubles
type: Rankings
link: https://www.wearecollegetennis.com/2021/12/02/ita-collegiate-tennis-junior-colleges-mens-regional-and-national-rankings-december-2-2021/#nationaldoubles
ranked: 0
---
rank	player	partner	team
1	Diego Dalisay	Jakob Mosvold	Tyler Jr. College
2	Gaston Cantero	Cheng En Tsai	Abraham Baldwin College
3	Karlo Krolo	Luciano Fisicaro	Seward County CC
4	Alvaro Saint Martin	Matt Shearer	Tyler Jr. College
5	Aymeric Bruno	Taiyo Hirano	Cowley County CC
6	Carlos Castillo	Gaston Erhardt	Cowley County CC
7	Takeshi Taco	Boruch Skierkier	Cowley County CC
8	Lucas Gonzalez	Santino Morel	Eastern Florida State College
9	Tomas Nader	Ignacio Vanecek	Jones College
10	Franco Vecchia	Juan Gonzalez	Seward County CC
11	Martins Abamu	Kyllian Savary	Seward County CC
12	Julian Parada	Julian Toloza	Copiah-Lincoln CC
13	Luis Ching	Edward Shteyn	Collin County Comm. College
14	Ethan Dunn	Emilio Vila	Tyler Jr. College
15	Lluc Camps	Jaewoo Choi	Eastern Florida State College
16	Emil Mikkelsen	Willem Cilliers	Jacksonville College
17	Filip Bazant	Mathius Dessureau	Harford Comm. College
18	Austreberto Carlon	Harry Browning	Mesa Community College
19	David Arrieta	Dante Despontin	Pratt Community College
20	Connor Coots	Alex Rainer	Wallace State Community College
21	Sebastian Gamez	Muntingh Hamman	Wallace State Community College
22	Djordje Kurcubic	Jackson Fenton	Collin County Comm. College
23	Marcus Kleckner	Tristan Vigneron	Collin County Comm. College
24	Arthur Mccarthy	Liam Barry	Univ. Of South Carolina, Sumter
25	Maxime Guyon	Vitor Goncalves	Pratt Community College
