---
published: 2021-12-02
division: JUCO
gender: Men
kind: Singles
type: Rankings
link: https://www.wearecollegetennis.com/2021/12/02/ita-collegiate-tennis-junior-colleges-mens-regional-and-national-rankings-december-2-2021/#nationalsingles
ranked: 0
---
rank	player	team
1	Takeshi Taco	Cowley County CC
2	Boruch Skierkier	Cowley County CC
3	Gaston Cantero	Abraham Baldwin College
4	Diego Dalisay	Tyler Jr. College
5	Cheng En Tsai	Abraham Baldwin College
6	Emilio Vila	Tyler Jr. College
7	Luciano Fisicaro	Seward County CC
8	Luke Quaynor	Seward County CC
9	Matt Shearer	Tyler Jr. College
10	Juan Gonzalez	Seward County CC
11	Ethan Dunn	Tyler Jr. College
12	Karlo Krolo	Seward County CC
13	Gaston Erhardt	Cowley County CC
14	Alvaro Saint Martin	Tyler Jr. College
15	Kyllian Savary	Seward County CC
16	Aymeric Bruno	Cowley County CC
17	Djordje Kurcubic	Collin County Comm. College
18	Jakob Mosvold	Tyler Jr. College
19	Luke Stuart	Abraham Baldwin College
20	Tomas Nader	Jones College
21	Lucas Gonzalez	Eastern Florida State College
22	Jaewoo Choi	Eastern Florida State College
23	Carlos Castillo	Cowley County CC
24	Taiyo Hirano	Cowley County CC
25	Emil Mikkelsen	Jacksonville College
26	Jackson Fenton	Collin County Comm. College
27	Martins Abamu	Seward County CC
28	Harry Collins	Cowley County CC
29	Gabriel Torres Arevalo	Jacksonville College
30	Austreberto Carlon	Mesa Community College
31	Tristan Vigneron	Collin County Comm. College
32	Luis Ching	Collin County Comm. College
33	Zamani Moyo	Iowa Central Comunity College
34	Julian Parada	Copiah-Lincoln CC
35	Leandro Zgraggen	Cowley County CC
36	Juan Agudelo	Jacksonville College
37	Filip Bazant	Harford Comm. College
38	Harry Browning	Mesa Community College
39	Muntingh Hamman	Wallace State Community College
40	Willem Cilliers	Jacksonville College
41	Adrien Guibert	Collin County Comm. College
42	Sebastian Gamez	Wallace State Community College
43	Lluc Camps	Eastern Florida State College
44	Anton Sarunic	Meridian Comm. Coll.
45	Tristian Du Plessis	Wallace State Community College
46	Ruben Emmerson-hiini	Univ. Of South Carolina, Sumter
47	Connor Coots	Wallace State Community College
48	Arthur Mccarthy	Univ. Of South Carolina, Sumter
49	Arthur Praud	Iowa Central Comunity College
50	Paul Gayk	Mississippi Gulf Coast CC
