---
published: 2021-12-02
division: JUCO
gender: Women
kind: Doubles
type: Rankings
link: https://www.wearecollegetennis.com/2021/12/02/ita-collegiate-tennis-junior-colleges-womens-regional-and-national-rankings-december-2-2021/#nationaldoubles
ranked: 0
---
rank	player	partner	team
1	Destinee Martins	Lauren Anzalotta	Tyler Jr. College
2	Naomi McKenzie	Valeriia Cherfus	Saint Petersburg College
3	Abigail Wild	Patricia Apisah	Tyler Jr. College
4	Kia Carvalho-Landell	Carlota Gascon Martinez	State College Of Florida
5	Isid Hernandez	Ntokozo Zungu	Cowley County CC
6	Camila Neyra	Mariia Koroleva	Cowley County CC
7	Justine Lespes	Carol Mora Camacho	Seward County CC
8	Jou Chen Chen	Tiffany-Anne Beukes	Abraham Baldwin College
9	Mbali Langa	Ita Habekovic	Hillsborough Comm. Coll.
10	Olivia Raspa Pezo	Arina Gamretkaia	Hillsborough Comm. Coll.
11	Anastasiia Khurstaleva	Michelle Markovic	Weatherford College
12	Jimena Ramirez Llorens	Camille Belberka	Seward County CC
13	Hrudaya Shah	Yeva Kramarova	Tyler Jr. College
14	Ana Julissa De Mata	Isabella Warham	Meridian Comm. Coll.
15	Grace Krusling	Alexandra Mille	Univ. of South Carolina, Sumter
16	Alicia Gomez	Esmee Andresen	Hillsborough Comm. Coll.
17	Sarah Forsyth	Lou De Freitas Bonet	State College Of Florida
18	Marketa Beladova	Emma Semery	Iowa Central Comunity College
19	Marija Ristanovic	Lina Brandt	Weatherford College
20	Jhastine Ballado	Larissa Giraldi	Collin County Comm. College
21	Greta Langiu	Kaede Tada	Saint Petersburg College
22	Itzel Lara Gonzalez	Emi Smith	Hinds Comm. College
23	Robyn Hancock	Karla Ortega	Saint Petersburg College
24	Mia Hoddinghaus	Addy Seward	Jones College
25	Allie Johnson	Michaela Anderson	Jones College
