---
published: 2021-12-02
division: JUCO
gender: Women
kind: Singles
type: Rankings
link: https://www.wearecollegetennis.com/2021/12/02/ita-collegiate-tennis-junior-colleges-womens-regional-and-national-rankings-december-2-2021/#nationalsingles
ranked: 0
---
rank	player	team
1	Lauren Anzalotta	Tyler Jr. College
2	Justine Lespes	Seward County CC
3	Destinee Martins	Tyler Jr. College
4	Naomi McKenzie	Saint Petersburg College
5	Valeriia Cherfus	Saint Petersburg College
6	Isid Hernandez	Cowley County CC
7	Abigail Wild	Tyler Jr. College
8	Jou Chen Chen	Abraham Baldwin College
9	Michelle Markovic	Weatherford College
10	Mbali Langa	Hillsborough Comm. Coll.
11	Marketa Beladova	Iowa Central Comunity College
12	Lou De Freitas Bonet	State College Of Florida
13	Natsuki Nishimura	Barton Community College
14	Ntokozo Zungu	Cowley County CC
15	Olivia Raspa Pezo	Hillsborough Comm. Coll.
16	Saara Kunakunova	Cowley County CC
17	Arina Gamretkaia	Hillsborough Comm. Coll.
18	Carol Mora Camacho	Seward County CC
19	Camila Neyra	Cowley County CC
20	Ana Julissa De Mata	Meridian Comm. Coll.
21	Mariia Koroleva	Cowley County CC
22	Tanya Kaome	Mississippi Gulf Coast Comm. College
23	Alicia Gomez	Hillsborough Comm. Coll.
24	Esmee Andresen	Hillsborough Comm. Coll.
25	Ita Habekovic	Hillsborough Comm. Coll.
26	Larissa Giraldi	Collin County Comm. College
27	Anastasiia Khurstaleva	Weatherford College
28	Mia Milojevic	Tyler Jr. College
29	Yeva Kramarova	Tyler Jr. College
30	Kia Carvalho-Landell	State College Of Florida
31	Camilla Mitolo	Hillsborough Comm. Coll.
32	Camille Belberka	Seward County CC
33	Carlota Gascon Martinez	State College Of Florida
34	Maria Garcia Pulidio	Saint Petersburg College
35	Jimena Ramirez Llorens	Seward County CC
36	Agathe Vaillant	Weatherford College
37	Grace Krusling	Univ. of South Carolina, Sumter
38	Georgia Lily Lynn Browne	Saint Petersburg College
39	Lucia Popluharova	Seward County CC
40	Juliana Madrid	Copiah-Lincoln CC
41	Greta Langiu	Saint Petersburg College
42	Viktoriia Fedorova	Collin County Comm. College
43	Alexandra Mille	Univ. of South Carolina, Sumter
44	Italia Jones	Wallace State Community College
45	Kaede Tada	Saint Petersburg College
46	Elena Baughman-Saunders	Weatherford College
47	Margaryta Bugaienko	Collin County Comm. College
48	Hrudaya Shah	Tyler Jr. College
49	Marija Ristanovic	Weatherford College
50	Maud Tsaura	East Central Community College
