---
published: 2021-12-02
division: NAIA
gender: Men
kind: Doubles
type: Rankings
link: https://www.wearecollegetennis.com/2021/12/02/ita-collegiate-tennis-naia-mens-regional-and-national-rankings-december-2-2021/#nationaldoubles
ranked: 0
---
rank	player	partner	team
1	Valentino Caratini	Agustin Tamagnone	Georgia Gwinnett College
2	Juan Ramirez	Jacobi Bain	Xavier University/LA
3	Nick Nienhaus	Chris Papa	San Diego Christian College
4	Jose Dugo	Alex Gurmendi	Georgia Gwinnett College
5	Daniel Czepielewski	Federico Bonacia	Georgia Gwinnett College
6	Josh Turnquest	Jeremias Rocco	Indiana Wesleyan University
7	Charly Zick	Geronimo Barrios	Keiser University
8	Daniil Klimov	Leo Bresson	William Carey University
9	Martin Carrizo	Leo Sprovieri	Indiana Wesleyan University
10	Michael Beltran	Jakob Komel	McPherson College
11	Malik Omarkhanov	Marcos Salazar	Univ. Of Northwestern Ohio
12	Federico Barbon	Roy Stepanov	Southeastern University
13	Vitek Subert	Nathan Cooke	William Woods University
14	Ryan Little	Mohamed Braham	Montreat College
15	Jesus Fernandez	Patricio Gallegos	Tennessee Wesleyan University
16	Bruno Pessoa	Davide Pelletti	Warner University
17	Philipp Kagstroem	Jonas Wand	Arizona Christian University
18	Santiago Diaz Lopez	Gerhard Swart	Union College/KY
19	Eric Banoub	Martin Barbier	Univ. Of The Cumberlands
20	Sergio Conde	Martin Stanchev	Univ. Of Northwestern Ohio
21	Andre Millet	Martin Thomas	Arizona Christian University
22	Nicolas Torrealba Garcia	Steven Espinoza	Lindsey Wilson College
23	Laurenz Grabia	Sebastian Haberler	San Diego Christian College
24	Isaac Steiner	Karl Wurth	Indiana Wesleyan University
25	Milos Vuckovic	Dragan Omcikus	Missouri Baptist University
