---
published: 2021-12-02
division: NAIA
gender: Men
kind: Singles
type: Rankings
link: https://www.wearecollegetennis.com/2021/12/02/ita-collegiate-tennis-naia-mens-regional-and-national-rankings-december-2-2021/#nationalsingles
ranked: 0
---
rank	player	team
1	Agustin Tamagnone	Georgia Gwinnett College
2	Francisco Faria	Olivet Nazarene University
3	Daniil Klimov	William Carey University
4	Jeremias Rocco	Indiana Wesleyan University
5	Luke Simkiss	Keiser University
6	Alex Gurmendi	Georgia Gwinnett College
7	Yassir Kilani	Keiser University
8	Chris Papa	San Diego Christian College
9	Leo Sprovieiri	Indiana Wesleyan University
10	Leo Bresson	William Carey University
11	Nick Nienhaus	San Diego Christian College
12	Gabriel Ortiz	Tennessee Wesleyan University
13	Jan Silhavy	Lindsey Wilson College
14	Martin Carrizo	Indiana Wesleyan University
15	Daniel Czepielewski	Georgia Gwinnett College
16	Thomas Zych	McPherson College
17	Santiago Perez	Xavier University/LA
18	Bart Nouws	Keiser University
19	Bruno Pessoa	Warner University
20	Geronimo Barrios	Keiser University
21	Jose Dugo	Georgia Gwinnett College
22	Charly Zick	Keiser University
23	Valentino Caratini	Georgia Gwinnett College
24	Alejandro Martinez	Cardinal Strich University
25	Anthony Popyrin	Arizona Christian University
26	Shaikh Abdullah	Xavier University/LA
27	Jodi Puig	Reinhardt University
28	Mattis Le Montagner	Univ. Of The Cumberlands
29	Mihailo Radosavljevic	Union College/KY
30	Felix Veyhle	Westcliff University
31	Valentin Popescu	Tennessee Wesleyan University
32	Max Rozas	Grace College
33	Aleksa Ciric	Lindsey Wilson College
34	Andrin Zuellig	Cardinal Strich University
35	Martin Barbier	Univ. Of The Cumberlands
36	Giulio Siri	Savannah Coll-Art & Design
37	German DelCanto	Tennessee Wesleyan University
38	Michael Delebois	Cardinal Strich University
39	Christian De Le Fuente Nadado	Univ. Of The Cumberlands
40	Patrick Shelepov	William Woods University
41	Sergio Conde	Univ. Of Northwestern Ohio
42	Ryan Wang	University Of Saint Katherine
43	Ben Grumley	William Woods University
44	Michael Beltran	McPherson College
45	Julius Kaufmann	San Diego Christian College
46	Liam Spiers	Ottawa University, AZ
47	Matt Melosch	University Of Saint Katherine
48	Daniel Harkin	Kansas Wesleyan University
49	Robin Van Den Hoek	San Diego Christian College
50	David Moral Tebar	Southwestern College
