---
published: 2021-12-02
division: NAIA
gender: Women
kind: Doubles
type: Rankings
link: https://www.wearecollegetennis.com/2021/12/02/ita-collegiate-tennis-naia-womens-regional-and-national-rankings-december-2-2021/#nationaldoubles
ranked: 0
---
rank	player	partner	team
1	Maria Genovese	Stephanie Fernandez	Georgia Gwinnett College
2	Nicole Coopersmith	Vanja Vidanovic	Keiser University
3	Stephanie Petit	Valerie Quiceno	Montreat College
4	Selina Pichler	Iryna Lysykh	Georgia Gwinnett College
5	Alessia Piccoliori	Francina Puig Llompart	Savannah Coll-Art & Design
6	Lara Isis Teodoro De Oliveira	Vitoria Barandas	Ave Maria University
7	Lena Golz	Madelyn Bemisderfer	Indiana Wesleyan University
8	Melanie Dveksler	Thais Mendez	Indiana Wesleyan University
9	Eva Siska	Tereza Koplova	Georgia Gwinnett College
10	Lucy Carpenter	Fatima Vasquez	Loyola University Of New Orleans
11	Kareemah Muhammad	Valaine Clarke	Xavier University/LA
12	Ana Zavala	Hanna Lindeboom	William Woods University
13	Aurora Novati	Thamara Pinto	Texas Wesleyan University
14	Alison Isaac	Carolina Guerrero	Hope International University
15	Angela Rinaldi	Anthea Weiland	San Diego Christian College
16	Tara Gilich	Josefa Fernandez	Tennessee Wesleyan University
17	Alexandra Parra	Lucia Mora Diaz	Lindsey Wilson College
18	Oriana Espinoza	Angela Mendoza	Campbellsville University
19	Tomomi Nagao	Mikaela Fros	Univ. Of The Cumberlands
20	Veronica Jimenez	Semmie Moore	Indiana Inst. Of Tech.
21	Ashlee Fisk	Ellie Snider	Indiana Wesleyan University
22	Ashley Duncan	Nadine Heckert	University Of Saint Katherine
23	Rachal Jackson	Emily Peterson	Westmont College
24	Laura Eugenio de Hilario	McKenna Mountain	University Of Saint Katherine
25	Heidi Moyo	Narjis Mzibri	Olivet Nazarene University
