---
published: 2021-12-02
division: NAIA
gender: Women
kind: Singles
type: Rankings
link: https://www.wearecollegetennis.com/2021/12/02/ita-collegiate-tennis-naia-womens-regional-and-national-rankings-december-2-2021/#nationalsingles
ranked: 0
---
rank	player	team
1	Stephanie Petit	Montreat College
2	Nicole Coopersmith	Keiser University
3	Eva Siska	Georgia Gwinnett College
4	Selina Pichler	Georgia Gwinnett College
5	Teodora Jovic	Union College/KY
6	Iryna Lysykh	Georgia Gwinnett College
7	Angela Rinaldi	San Diego Christian College
8	Tsvetanka Trifonova	Blue Mountain College
9	Valerie Quiceno	Montreat College
10	Yue Yu	Savannah Coll-Art & Design
11	Madelyn Bemisderfer	Indiana Wesleyan University
12	Ana Zavala	William Woods University
13	Vanja Vidanovic	Keiser University
14	Aisha Niyonkuru	Xavier University/LA
15	Kyra Akinnibi	Xavier University/LA
16	Renee Acena	College Of Saint Mary
17	Maria Genovese	Georgia Gwinnett College
18	Priya Sukkanha	Savannah Coll-Art & Design
19	Tomomi Nagao	Univ. Of The Cumberlands
20	Tereza Koplova	Georgia Gwinnett College
21	Stephanie Fernandez	Georgia Gwinnett College
22	Lara Isis Teodoro De Oliveira	Ave Maria University
23	Alexandra Parra	Lindsey Wilson College
24	Thais Mendez	Indiana Wesleyan University
25	Ashlee Fisk	Indiana Wesleyan University
26	Kanon Sorakubo	Keiser University
27	Tara Gilich	Tennessee Wesleyan University
28	Alessia Piccoliori	Savannah Coll-Art & Design
29	Oriana Espinoza	Campbellsville University
30	Audrey De Witt	Indiana Southeast
31	Veronica Jiminez	Indiana Tech
32	Melanie Dveksler	Indiana Wesleyan University
33	Rukshika Wijesooryia	William Woods University
34	Francesca Aguirre	Westmont College
35	Vittoria Quadri	Arizona Christian University
36	Narjis Mzibri	Olivet Nazarene
37	Parisa Rachdanone	Lindsey Wilson College
38	Maci Ferguson	Georgetown College
39	Nadine Heckert	University Of Saint Katherine
40	Alison Isaac	Hope International University
41	Aurora Novati	Texas Wesleyan University
42	McKenna Mountain	University Of Saint Katherine
43	Deondra Bacchus	Arizona Christian University
44	Kissmel Cedano	Cardinal Stritch University
45	Olga Aliagas	Lawrence Tech
46	Teodora Simion	Marian University
47	Giulia Leali	Ottawa University, AZ
48	Marianna Murcia	Indiana Inst. Of Tech.
49	Anthea Weiland	San Diego Christian College
50	Lena Golz	Indiana Wesleyan University
