---
season: 2021-22
division: d1
gender: men
description: schedule/scoreboard
duals: 3580
---
source	id	date	time	timeZone	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	domain	tournament	timeDisplay	location	facility	tv	radio	links
   HC	  9527	2021-09-10	 3:30pm	   	M	  	FPC  	at	  	HC   	W	5-2	 	 				3:30 PM	Worcester, MA	[Sinnott Family Tennis Facility](/facilities/?id=13)			[Recap](/news/2021/9/10/mens-tennis-crusaders-fall-to-franklin-pierce.aspx) [Final Results](/documents/2021/9/10/HCMT01.pdf)
   HC	  9528	2021-09-15	 4:00pm	   	M	  	BABS 	at	  	HC   	W	6-1	 	 				4:00 PM	Worcester, MA	[Sinnott Family Tennis Facility](/facilities/?id=13)			[Recap](/news/2021/9/15/mens-tennis-holy-cross-drops-match-to-babson.aspx) [Final Results](/documents/2021/9/15/HCMT02.pdf)
 MONM	 18034	2021-09-22	10:00am	   	M	  	WAG  	at	  	MONM 	L	0-7	 	 				10:00 AM	West Long Branch, NJ				[Recap](/news/2021/9/22/mens-tennis-mens-tennis-knocks-off-wagner-and-sacred-heart.aspx) [Gallery](/galleries?gallery=13491)
  WAG	 11179	2021-09-22	11:00am	   	M	  	WAG  	at	  	MONM 	L	0-7	 	 				11:00 AM	West Long Branch, NJ				[Box Score](/sports/mens-tennis/stats/2021-2022/monmouth/boxscore/11179) [Recap](/news/2021/9/22/mens-tennis-drops-season-opener-at-monmouth-on-wednesday.aspx)
 MONM	 18035	2021-09-22	 2:00pm	   	M	  	SHU  	at	  	MONM 	L	1-6	 	 				2:00 PM	West Long Branch, NJ				[Recap](/news/2021/9/22/mens-tennis-mens-tennis-knocks-off-wagner-and-sacred-heart.aspx) [Gallery](/galleries?gallery=13493)
   HC	  9529	2021-09-25	 4:00pm	   	M	  	SHU  	at	  	HC   	W	4-3	 	 				4:00 PM	Worcester, MA	[Sinnott Family Tennis Facility](/facilities/?id=13)			[Recap](/news/2021/9/25/mens-tennis-mens-tennis-edged-by-sacred-heart.aspx) [Final Results](/documents/2021/9/25/HCMT03.pdf)
 SIEN	 16170	2021-09-26	 5:00pm	   	M	  	SHU  	at	  	SIEN 	L	2-5	 	 				5 PM	Latham, NY	[Tri-City Fitness](/facilities/?id=11)			[Box Score](/sports/mens-tennis/stats/2021-22/sacred-heart/boxscore/16170) [Recap](/news/2021/9/26/mens-tennis-mens-tennis-victorious-over-sacred-heart.aspx)
  UIC	 16958	2021-10-01	 3:00pm	   	M	  	GVSU 	at	  	UIC  	W	5-2	 	 				3:00 p.m.	Chicago	[Flames Outdoor Tennis Courts](/facilities/?id=9)			[Box Score](/sports/mens-tennis/stats/2021-22/grand-valley-state/boxscore/16958) [Recap](/news/2021/10/2/mens-tennis-grand-valley-state-edges-flames.aspx)
   HC	  9666	2021-10-07	 3:30pm	   	M	  	AC   	at	  	HC   	L	2-5	 	 				3:30 PM	Worcester, MA	[Sinnott Family Tennis Facility](/facilities/?id=13)			[Recap](/news/2021/10/7/mens-tennis-holy-cross-earns-victory-over-assumption.aspx) [Final Results](/documents/2021/10/8/HCMT05.pdf)
  WAG	 11181	2021-10-09	11:00am	   	M	  	FORD 	at	  	WAG  	W	7-0	 	 				11:00 AM	Staten Island, NY	CSI Tennis Courts			[Box Score](/sports/mens-tennis/stats/2021-2022/fordham/boxscore/11181) [Recap](/news/2021/10/9/mens-tennis-drops-home-opener-to-fordham-on-saturday-morning.aspx)
