---
season: 2021-22
division: d1
gender: men
description: schedule/scoreboard from conference websites
updated: 2022-01-20
past: 122 (6%)
today: 13 (1%)
future: 1674 (87%)
completed: 98 (73%)
postponed: 16 (12%)
cancelled: 6 (4%)
unreported: 15 (11%)
total: 1916
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	domain	dateGMT	tournament	timeZone	timeDisplay	location	facility	tv	radio	links
  MAAC	 72258	2021-09-12	 2:30pm	M	  	WAL  	at	  	NIA  	L	2-4	 	 	d2/d1  		2021-09-12T18:30Z		ET 	2:30 P.M.     	Niagara University, NY                          				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgkA2dyMudS5StQjxUggv15DSytbkAePwvqa83wFR37NhGIJXUfmG5ynE9FsHN7tJrMeQm84tr%2bIW3p%2fdJUiumSGBiZUGYz5hXPysb3GUWzcvQ%3d%3d&path=mten)
  MAAC	 72251	2021-09-22	10:00am	M	  	WAG  	at	  	MONM 	L	0-7	 	 	d1     		2021-09-22T14:00Z		ET 	10:00 A.M.    	West Long Branch, NJ                            				
  MAAC	 72252	2021-09-22	 2:00pm	M	  	SHU  	at	  	MONM 	L	1-6	 	 	d1     		2021-09-22T18:00Z		ET 	2:00 P.M.     	West Long Branch, NJ                            				
  MAAC	 72295	2021-09-26	 5:00pm	M	  	SHU  	at	  	SIEN 	L	2-5	 	 	d1     		2021-09-26T21:00Z		ET 	5:00 P.M.     	Schenectady, NY                                 				[Box Score](/boxscore.aspx?id=qJ%2ff4ELsHk2w5DKkkGXk%2fJB1GN631gwAEYnWEisonMGmorLXeCAsUZ7R48FTCRCJvEwEiCIsoIgGI7Jji7ca2btbg5JRUs2begZp%2bJ4JgtKYrCiIlcLiP6h1UQrUzvfu&path=mten)
  Hrzn	 38775	2021-10-01	 5:00pm	M	  	GVSU 	at	  	UIC  	W	5-2	 	 	d2/d1  		2021-10-01T21:00Z		CT 	4:00 P.M.     	Chicago                                         				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgn13I2ulAy%2bBv%2fPAm3LRR1F1yj3xJcxJnizJlTwwByTF749UoOpBflvi5S7sKyurPQ157vDfg8nFr%2feZ9JVP5OU&path=mten)
  MAAC	 72556	2021-10-09	11:00am	M	  	RIDER	at	  	LAF  	L	1-6	 	 	d1     		2021-10-09T15:00Z		ET 	11:00 A.M.    	Easton, PA                                      				
  MAAC	 72259	2021-10-09	 1:00pm	M	  	LMC  	at	  	NIA  	L	3-4	 	 	d2/d1  		2021-10-09T17:00Z		ET 	1:00 P.M.     	Niagara University, NY                          				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgkA2dyMudS5StQjxUggv15DSytbkAePwvqa83wFR37NhGIJXUfmG5ynE9FsHN7tJrMUUj%2bgpULRMlu7bHNYA1DJl7JpQeDYbLMkwfyjTguY3g%3d%3d&path=mten)
  MAAC	 72292	2021-10-10	11:00am	M	  	SIEN 	at	  	HC   	W	4-3	 	 	d1     		2021-10-10T15:00Z		ET 	11:00 A.M.    	Worcester, MA                                   				[Box Score](/boxscore.aspx?id=qJ%2ff4ELsHk2w5DKkkGXk%2fJB1GN631gwAEYnWEisonMGmorLXeCAsUZ7R48FTCRCJEnfrDB8XnahnXeLoDgtZ5YVhk3Vg0XhRkGhqOvd3DzwLBwFJ%2f6zm%2ftwRl1sViNd2&path=mten)
  MAAC	 74282	2021-10-23	12:00pm	M	  	SHU  	at	  	FAIR 	L	2-5	 	 	d1     		2021-10-23T16:00Z		ET 	12:00 P.M.    	Fairfield, CT                                   				[Video](/showcase?Live=281) [Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgnv85z6VZLBpPzOSDLsUR6SauPb01T%2bw6VFoycWSaKddu1Jf%2b2rQO5c5kKfgVOmncPQF9r2J%2bHV7kJIvmxabNjO5NWSDrZVcWMJ9e3rpCDV8A%3d%3d&path=mten)
  MAAC	 74524	2021-10-23	12:00pm	M	  	WAG  	at	  	RIDER	L	3-4	 	 	d1     		2021-10-23T16:00Z		ET 	12:00 P.M.    	Lawrenceville, NJ                               				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgnIWCRD4Vw447AP6ygTszByd3X19kCwUqV56v0DbJxOB%2bq2iqOpVNwvn%2b2ysTwJxCz90omOwXllaZGKnEDH1LJdzD%2fKosD%2bKDWQ%2bimFYHNZqw%3d%3d&path=mten)
  MAAC	 72261	2021-10-24	11:00am	M	  	DAEMN	at	  	NIA  	L	0-7	 	 	d2/d1  		2021-10-24T15:00Z		ET 	11:00 A.M.    	Niagara University, NY                          				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgkA2dyMudS5StQjxUggv15DSytbkAePwvqa83wFR37NhGIJXUfmG5ynE9FsHN7tJrMf%2fapXklo6n%2bY7N1DNeIoAEqvVOnUsjKNsSjNjykSQ4g%3d%3d&path=mten)
   OVC	 32808	2022-01-09	       	M	  	TNTC 	at	10	WAKE 	L	0-7	 	 	d1     		                 		   	              	Winston-Salem, NC                               				
