---
season: d1
gender: men
description: schedule/scoreboard from team websites
updated: 2022-01-20
past: 119 (9%)
today: 12 (1%)
future: 1258 (90%)
completed: 99 (76%)
unreported: 32 (24%)
total: 1394
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	dateGMT	teamId	opponentId	dualId
ITA	32625	2021-09-10	 3:30pm	M	  	FPC  	at	  	HC   	W	5-2	 	 	d2/d1  	2021-09-10T19:30Z			97f173d6-3277-4d06-a68e-4ab4523dd9ef
ITA	24565	2021-09-12	 2:00pm	M	  	WAL  	at	  	NIA  	L	2-4	 	 	d2/d1  	2021-09-12T18:00Z			7411eef6-cecb-4bde-bfdf-35ec0d26b3b9
ITA	55417	2021-09-15	 3:02pm	M	  	BABS 	at	  	HC   	W	6-1	 	 	d3/d1  	2021-09-15T19:02Z			1688e9f8-fba9-42b0-b891-645e792ee31d
ITA	15509	2021-09-22	10:00am	M	  	WAG  	at	  	MONM 	L	0-7	 	 	d1     	2021-09-22T14:00Z			ac27c112-8073-44f3-804c-37f39513fcbc
ITA	21985	2021-09-22	 1:30pm	M	  	SHU  	at	  	MONM 	L	1-6	 	 	d1     	2021-09-22T17:30Z			e302fe57-e052-4011-bffb-1750fb1b22f2
ITA	83559	2021-09-25	12:00pm	M	  	SHU  	at	  	HC   	 	   	 	 	d1     	2021-09-25T16:00Z			dc303daf-9a1e-4362-98a6-18b74aeb69bc
ITA	78480	2021-09-26	 5:00pm	M	  	SHU  	at	  	SIEN 	L	2-5	 	 	d1     	2021-09-26T21:00Z			8e5b537b-5ea5-41b2-804c-81f3c5a37448
ITA	85502	2021-10-01	 9:00am	M	  	GVSU 	at	  	UIC  	W	5-2	 	 	d2/d1  	2021-10-01T13:00Z			1f540dfb-a8d2-4a09-b3a9-01409fed6eca
ITA	72254	2021-10-09	11:00am	M	  	FORD 	at	  	WAG  	W	7-0	 	 	d1     	2021-10-09T15:00Z			69bb5551-6298-4eb9-befb-6fa56db3a586
ITA	52725	2021-10-09	11:00am	M	  	RIDER	at	  	LAF  	L	1-6	 	 	d1     	2021-10-09T15:00Z			26281da1-56b8-4fc5-b811-699a81393187
ITA	71203	2021-10-09	11:00am	M	  	LOC  	at	  	NIA  	L	3-4	 	 	d2/d1  	2021-10-09T15:00Z			05c2a1df-cef0-4f45-a68d-a00fbc9e8ea3
ITA	24762	2021-10-09	 1:00pm	M	  	SFU  	at	  	BUP  	W	6-1	 	 	d1/d2  	2021-10-09T17:00Z			1e58f139-d9a3-4236-b704-de774ac9191b
ITA	 9050	2021-10-10	11:00am	M	  	SIEN 	at	  	HC   	W	4-3	 	 	d1     	2021-10-10T15:00Z			1f37334c-a933-4bff-a1e3-dfc3c021a5c7
ITA	27985	2021-10-10	 5:00pm	M	  	NJCU 	vs	  	WAG  	 	   	N	 	d3/d1  	2021-10-10T21:00Z			f483b949-4d9b-4fff-9554-da3a577ba249
ITA	38115	2021-10-19	 2:00pm	M	  	ADEL 	at	  	FORD 	L	2-5	 	 	d2/d1  	2021-10-19T18:00Z			2bd58daf-3a65-45df-b2c4-86b07b21e9f2
ITA	11604	2021-10-23	12:00pm	M	  	SHU  	at	  	FAIR 	 	   	 	 	d1     	2021-10-23T16:00Z			0edf5b1c-29f3-4080-9509-669c3204ecf6
ITA	69701	2021-10-23	12:00pm	M	  	WAG  	at	  	RIDER	L	3-4	 	 	d1     	2021-10-23T16:00Z			d2dffb15-5e94-45f1-86e9-a455cdcefd3e
ITA	 6053	2021-10-24	11:00am	M	  	DAEMN	at	  	NIA  	L	0-7	 	 	d2/d1  	2021-10-24T15:00Z			f7f1172f-4466-4610-92b8-af9872988393
ITA	66168	2021-10-30	10:00am	M	  	GWEBB	at	  	FUR  	L	0-1	 	 	d1     	2021-10-30T14:00Z			48460384-025d-4b34-9240-ae795efcad26
ITA	19542	2021-10-30	10:00am	M	  	WOF  	at	  	FUR  	W	4-2	 	 	d1     	2021-10-30T14:00Z			b571e695-22cf-4aa6-9dd1-f01b2dbb1481
ITA	 4793	2021-10-31	10:45am	M	  	WOF  	at	  	FUR  	L	1-0	 	 	d1     	2021-10-31T14:45Z			299b8872-d1ef-4ff2-8420-29e1de36468e
ITA	94325	2021-10-31	11:30am	M	  	GWEBB	at	  	FUR  	W	4-2	 	 	d1     	2021-10-31T15:30Z			357a9300-a54f-45ce-80fd-18086e4c772c
ITA	37789	2022-01-09	12:00pm	M	  	TNTC 	at	10	WAKE 	L	0-7	 	 	d1     	2022-01-09T17:00Z			35421299-4e2c-4ee6-b430-7636fe3df829
ITA	56419	2022-01-09	 4:00pm	M	  	TNTC 	at	10	WAKE 	L	0-4	 	 	d1     	2022-01-09T21:00Z			0a700945-8a07-4631-ba35-a183f594a9f9
ITA	13256	2022-01-12	10:00am	M	  	ETSU 	at	 4	TENN 	L	0-7	 	 	d1     	2022-01-12T15:00Z			4cefe077-1105-432e-b1ee-4f94e380875b
ITA	  179	2022-01-12	 3:00pm	M	  	ETSU 	at	 4	TENN 	L	0-4	 	 	d1     	2022-01-12T20:00Z			7a6a1dec-2970-44ec-92db-4ddad20b2f49
ITA	27883	2022-01-12	 7:00pm	M	  	UTRGV	at	 5	TCU  	L	1-6	 	 	d1     	2022-01-13T00:00Z			c73d7ba5-e5b4-483f-9483-3fa3befdd033
