---
division: d1
gender: M
matches: 1120
version: 2
---
dateET	timeET	rank	team	at	oppRank	opponent	outcome	score	location	conference	gender	division	teamId	opponentId	dualId	date
2021-09-10	 3:30pm	  	FPC  	at	  	HC   	W	5-2	A	 	M	d2/d1  				2021-09-10T19:30:00.000Z
2021-09-12	 2:00pm	  	WAL  	at	  	NIA  	L	2-4	A	 	M	d2/d1  				2021-09-12T18:00:00.000Z
2021-09-15	 3:02pm	  	BABS 	at	  	HC   	W	6-1	A	 	M	d3/d1  				2021-09-15T19:02:00.000Z
2021-09-22	10:00am	  	WAG  	at	  	MONM 	L	0-7	A	 	M	d1     				2021-09-22T14:00:00.000Z
2021-09-22	 1:30pm	  	SHU  	at	  	MONM 	L	1-6	A	 	M	d1     				2021-09-22T17:30:00.000Z
2021-09-25	12:00pm	  	SHU  	at	  	HC   	 	   	A	 	M	d1     				2021-09-25T16:00:00.000Z
2021-09-26	 5:00pm	  	SHU  	at	  	SIEN 	L	2-5	A	 	M	d1     				2021-09-26T21:00:00.000Z
2021-10-01	 9:00am	  	GVSU 	at	  	UIC  	W	5-2	A	 	M	d2/d1  				2021-10-01T13:00:00.000Z
2021-10-09	11:00am	  	FORD 	at	  	WAG  	W	7-0	A	 	M	d1     				2021-10-09T15:00:00.000Z
2021-10-09	11:00am	  	RIDER	at	  	LAF  	L	1-6	A	 	M	d1     				2021-10-09T15:00:00.000Z
2021-10-09	11:00am	  	LOC  	at	  	NIA  	L	3-4	A	 	M	d2/d1  				2021-10-09T15:00:00.000Z
2021-10-09	 1:00pm	  	SFU  	at	  	BUP  	W	6-1	A	 	M	d1/d2  				2021-10-09T17:00:00.000Z
2021-10-10	11:00am	  	SIEN 	at	  	HC   	W	4-3	A	 	M	d1     				2021-10-10T15:00:00.000Z
2021-10-10	 5:00pm	  	WAG  	vs	  	NJCU 	 	   	N	 	M	d1/d3  				2021-10-10T21:00:00.000Z
2021-10-19	 2:00pm	  	ADEL 	at	  	FORD 	L	2-5	A	 	M	d2/d1  				2021-10-19T18:00:00.000Z
2021-10-23	12:00pm	  	SHU  	at	  	FAIR 	 	   	A	 	M	d1     				2021-10-23T16:00:00.000Z
2021-10-23	12:00pm	  	WAG  	at	  	RIDER	L	3-4	A	 	M	d1     				2021-10-23T16:00:00.000Z
2021-10-24	11:00am	  	DAEMN	at	  	NIA  	L	0-7	A	 	M	d2/d1  				2021-10-24T15:00:00.000Z
2021-10-30	10:00am	  	GWEBB	at	  	FUR  	L	0-1	A	 	M	d1     				2021-10-30T14:00:00.000Z
2021-10-30	10:00am	  	WOF  	at	  	FUR  	W	4-2	A	 	M	d1     				2021-10-30T14:00:00.000Z
2021-10-31	10:45am	  	WOF  	at	  	FUR  	L	1-0	A	 	M	d1     				2021-10-31T14:45:00.000Z
2021-10-31	11:30am	  	GWEBB	at	  	FUR  	W	4-2	A	 	M	d1     				2021-10-31T15:30:00.000Z
2022-01-12	10:00am	  	ETSU 	at	 4	TENN 	L	0-7	A	 	M	d1     				2022-01-12T15:00:00.000Z
2022-01-12	 3:00pm	  	ETSU 	at	 4	TENN 	L	0-4	A	 	M	d1     				2022-01-12T20:00:00.000Z
2022-01-12	 7:00pm	  	UTRGV	at	 5	TCU  	L	1-6	A	 	M	d1     				2022-01-13T00:00:00.000Z
2022-01-12	 2:00pm	  	OMAHA	at	  	ARK  	 	   	A	 	M	d1     				2022-01-12T19:00:00.000Z
2022-01-12	 7:00pm	  	SEA  	at	  	WASH 	 	   	A	 	M	d1     				2022-01-13T00:00:00.000Z
2022-01-13	11:00am	  	PVA&M	at	  	SMU  	L	0-7	A	 	M	d1     				2022-01-13T16:00:00.000Z
2022-01-13	 3:00pm	  	PVA&M	at	  	SMU  	L	0-7	A	 	M	d1     				2022-01-13T20:00:00.000Z
2022-01-13	 4:30pm	  	UTRGV	at	  	TTU  	L	0-7	A	 	M	d1     				2022-01-13T21:30:00.000Z
2022-01-14	 7:00pm	 1	FLA  	at	 5	TCU  	 	   	A	 	M	d1     				2022-01-15T00:00:00.000Z
2022-01-14	 1:00pm	  	UTSA 	at	 3	TEX  	L	1-6	A	 	M	d1     				2022-01-14T18:00:00.000Z
2022-01-14	10:00am	  	BRY  	vs	  	LAMAR	L	1-6	N	 	M	d1     				2022-01-14T15:00:00.000Z
2022-01-14	 2:00pm	  	LAMAR	at	  	OKST 	L	1-6	A	 	M	d1     				2022-01-14T19:00:00.000Z
2022-01-14	 3:00pm	  	KENN 	at	  	WOF  	W	6-1	A	 	M	d1     				2022-01-14T20:00:00.000Z
2022-01-14	 4:00pm	  	VT   	at	  	MSU  	L	2-2	A	 	M	d1     				2022-01-14T21:00:00.000Z
2022-01-14	 4:00pm	  	AFA  	at	  	MTST 	L	2-5	A	 	M	d1     				2022-01-14T21:00:00.000Z
2022-01-14	 5:00pm	  	GCU  	at	  	AZST 	L	0-6	A	 	M	d1     				2022-01-14T22:00:00.000Z
2022-01-14	 5:00pm	  	BING 	at	  	FGCU 	 	   	A	 	M	d1     				2022-01-14T22:00:00.000Z
2022-01-14	 5:00pm	  	BRY  	at	  	OKST 	L	0-7	A	 	M	d1     				2022-01-14T22:00:00.000Z
