---
season: 2021-22
division: d1
gender: women
duals: 4807
description: schedule/scoreboard from team websites
---
source	id	date	time	timeZone	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	domain	tournament	timeDisplay	location	facility	tv	radio	links
 MIZZ	 23627	2021-09-11	       	   	W	  	MIZZ 	at	  	UTM  	W	7-0	 	 					Martin, TN				[Recap](/news/2021/9/11/Tennis_Match_1.aspx) [Box Score (PDF)](https://utm_ftp.sidearmsports.com/custompages/stats/WTennis/21-22/G1-MIZ.pdf)
 MIZZ	 23735	2021-09-11	       	   	W	  	MIZZ 	at	  	UTM  	W	5-0	 	 					Martin, TN				[Box Score (PDF)](https://utm_ftp.sidearmsports.com/custompages/stats/WTennis/21-22/G2-MIZ.pdf)
  UTM	  4303	2021-09-11	 9:00am	   	W	  	MIZZ 	at	  	UTM  	W	0-7	 	 				9:00 a.m.	Martin, TN	[Skyhawk Tennis Complex](/facilities/?id=10)			[Recap](/news/2021/9/11/tennis-utm-tennis-opens-door-on-2021-fall-schedule-by-hosting-missouri.aspx) [PDF](https://utm_ftp.sidearmsports.com/custompages/stats/WTennis/21-22/G1-MIZ.pdf) [Gallery](/galleries?gallery=2384)
  UTM	  4380	2021-09-11	 1:00pm	   	W	  	MIZZ 	at	  	UTM  	W	0-5	 	 				1:00 p.m.	Martin, TN	[Skyhawk Tennis Complex](/facilities/?id=10)			[Recap](/news/2021/9/11/tennis-utm-tennis-opens-door-on-2021-fall-schedule-by-hosting-missouri.aspx) [PDF](https://utm_ftp.sidearmsports.com/custompages/stats/WTennis/21-22/G2-MIZ.pdf) [Gallery](/galleries?gallery=2384)
  DAY	 13493	2021-09-12	12:00pm	   	W	  	DAY  	at	  	WITT 	W	7-0	 	 				12:00 PM	Dayton, OH	[Five Seasons Sports Club](http://www.fiveseasonssportsclub.com/dayton/)			[Box Score](/sports/womens-tennis/stats/2021-22/wittenberg/boxscore/13493) [Recap](/news/2021/9/12/womens-tennis-shuts-out-wittenberg-on-sunday-afternoon.aspx) [Box Score (PDF)](/documents/2021/9/12/91221.pdf)
   HC	  9536	2021-09-16	 6:00pm	   	W	  	HC   	at	  	MTHOL	W	8-1	 	 				6:00 PM	South Hadley, MA				[Recap](/news/2021/9/16/womens-tennis-holy-cross-downs-mount-holyoke-8-1.aspx) [Final Results](/documents/2021/9/16/HCWT02.pdf)
  NIA	  9530	2021-09-17	10:30am	   	W	  	NIA  	at	  	BUFF 	L	0-7	 	 				10:30 a.m.	Buffalo, NY				[Box Score](/sports/womens-tennis/stats/2021-22/university-at-buffalo/boxscore/9530) [Recap](/news/2021/9/17/womens-tennis-womens-tennis-falls-to-ub-bona.aspx) [](/documents/2021/9/17/UB_NIA_091721.pdf)
  NIA	  9531	2021-09-17	 2:00pm	   	W	  	NIA  	vs	  	SBU  	L	3-4	N	 				2:00 p.m.	Buffalo, NY				[Box Score](/sports/womens-tennis/stats/2021-22/st-bonaventure-university/boxscore/9531)
   HC	  9537	2021-09-18	 1:00pm	   	W	  	HC   	at	  	STANS	W	4-3	 	 				1:00 PM	Manchester, NH				[Recap](/news/2021/9/18/womens-tennis-holy-cross-tops-st-anselm-4-3.aspx) [Final Results](/documents/2021/9/18/HCWT03.pdf)
  DAY	 13494	2021-09-19	12:00pm	   	W	  	TMORE	at	  	DAY  	L	0-7	 	 				12:00 PM	Dayton, OH	[Graul Tennis Complex](/facilities/?id=92)			[Box Score](/sports/womens-tennis/stats/2021-22/thomas-more/boxscore/13494) [Recap](/news/2021/9/19/womens-tennis-takes-home-victory-over-thomas-more.aspx) [Box Score (PDF)](/documents/2021/9/19/91921.pdf)
 MONM	 18088	2021-09-22	 1:30pm	   	W	  	SHU  	at	  	MONM 	W	6-1	 	 				1:30 PM	West Long Branch, NJ	[Outdoor Tennis Complex](/facilities/?id=9)			[Recap](/news/2021/9/22/womens-tennis-womens-tennis-drops-home-opener-to-sacred-heart.aspx)
 MONM	 18089	2021-09-24	 2:30pm	   	W	  	MONM 	at	  	DSU  	L	1-6	 	 				2:30 PM	Dover, DE				[Recap](/news/2021/9/24/womens-tennis-womens-tennis-drops-road-match-at-delaware-state.aspx)
  DSU	  6615	2021-09-24	 2:30pm	   	W	  	MONM 	at	  	DSU  	L	1-6	 	 				2:30 PM					
   HC	  9539	2021-09-25	12:00pm	   	W	  	SHU  	at	  	HC   	W	7-0	 	 				12:00 PM	Worcester, MA	[Sinnott Family Tennis Facility](/facilities/?id=13)			[Recap](/news/2021/9/25/womens-tennis-crusaders-fall-to-sacred-heart.aspx) [Final Results](/documents/2021/9/25/HCWT04.pdf)
   HC	  9540	2021-09-26	12:00pm	   	W	  	CTCOL	at	  	HC   	L	3-4	 	 				12:00 PM	Worcester, MA	[Sinnott Family Tennis Facility](/facilities/?id=13)			[Recap](/news/2021/9/26/womens-tennis-womens-tennis-downs-connecticut-college.aspx) [Final Results](/documents/2021/9/26/HCWT05.pdf)
 SIEN	 16140	2021-09-26	 5:00pm	   	W	  	SHU  	at	  	SIEN 	L	1-6	 	 				5 PM	Latham, NY	[Tri-City Fitness](/facilities/?id=11)			[Box Score](/sports/womens-tennis/stats/2021-22/sacred-heart/boxscore/16140) [Recap](/news/2021/9/26/womens-tennis-strong-singles-play-lifts-saints-over-sacred-heart.aspx)
 MRMK	 10703	2021-09-29	 3:00pm	   	W	  	MRMK 	at	  	BABS 	W	6-3	 	 				3:00 PM	Babson Park, MA				[Recap](/news/2021/9/29/merrimack-womens-tennis-impresses-in-fall-debut.aspx)
   HC	  9538	2021-09-30	 4:00pm	   	W	  	ENDCT	at	  	HC   	L	2-5	 	 				4:00 PM	Worcester, MA	[Sinnott Family Tennis Facility](/facilities/?id=13)			[Recap](/news/2021/10/3/womens-tennis-crusaders-fall-to-vassar.aspx) [Final Results](/documents/2021/9/30/HCWT06.pdf)
  UIC	 16937	2021-10-01	12:00pm	   	W	  	GVSU 	at	  	UIC  	L	0-7	 	 				12:00 p.m.	Chicago	[Flames Outdoor Tennis Courts](/facilities/?id=9)			[Box Score](/sports/womens-tennis/stats/2021-22/grand-valley-state/boxscore/16937) [Recap](/news/2021/10/1/womens-tennis-flames-sweep-lakers-with-7-0-win.aspx)
   HC	  9541	2021-10-03	12:00pm	   	W	  	VASSR	at	  	HC   	W	4-1	 	 				12:00 PM	Worcester, MA	[Sinnott Family Tennis Facility](/facilities/?id=13)			[Recap](/news/2021/10/3/womens-tennis-crusaders-fall-to-vassar.aspx) [Final Results](/documents/2021/10/3/HCWT07.pdf)
