---
season: 2021-22
division: d1
gender: women
description: schedule/scoreboard from conference websites
duals: 2411
---
source	id	date	time	timeZone	gender	team	at	opponent	outcome	score	neutral	conference	links	rank	oppRank
  MAAC	 72368	2021-09-17	10:30am	ET 	W	NIA  	at	BUFF 	L	0-7	 	 	[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgkA2dyMudS5StQjxUggv15DSytbkAePwvqa83wFR37NhJsRqR6GLkJjW1RtT9ecC8C4tKFIT%2bfi8fg71Xtg8bnAhNBVYq72tapAyjUMvwzzlw%3d%3d&path=wten)		
  MAAC	 72369	2021-09-17	 2:00pm	ET 	W	NIA  	vs	SBU  	L	3-4	N	 	[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgkA2dyMudS5StQjxUggv15DSytbkAePwvqa83wFR37NhJsRqR6GLkJjW1RtT9ecC8CW1YhBhRqeiMqH%2bMGhRrfm1E0Kq6YIQ%2bMHHsWrYcod3g%3d%3d&path=wten)		
  MAAC	 72323	2021-09-22	 1:30pm	ET 	W	SHU  	at	MONM 	W	6-1	 	 			
  MAAC	 72324	2021-09-24	 2:30pm	ET 	W	MONM 	at	DSU  	L	1-6	 	 			
  MAAC	 72386	2021-09-26	 5:00pm	ET 	W	SHU  	at	SIEN 	L	1-6	 	 	[Box Score](/boxscore.aspx?id=qJ%2ff4ELsHk2w5DKkkGXk%2fJB1GN631gwAEYnWEisonMGidRGLE2gEaj9Hg5gdgzNjndVW5%2fsBfy3dD7hv6sNgCVBXClWKwPOR7wpCdL0Clh8v%2fbsPzrzhRNvLqaqxpd9Z&path=wten)		
  Hrzn	 38887	2021-10-01	 1:00pm	CT 	W	GVSU 	at	UIC  	L	0-7	 	 	[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgn13I2ulAy%2bBv%2fPAm3LRR1F6M0HqJ%2bT05V93A3RW1AHo%2fVrDlvDScc%2f6nUPR8WYR11dLDBamm7Ge5iFUbDoVseL&path=wten)		
  MAAC	 72325	2021-10-07	 3:00pm	ET 	W	MONM 	at	LAF  	W	4-3	 	 			
  MAAC	 74898	2021-10-09	11:00am	ET 	W	RIDER	at	LAF  	L	3-4	 	 			
  MAAC	 72326	2021-10-15	 3:30pm	ET 	W	WAG  	at	MONM 	L	2-5	 	 			
  MAAC	 74847	2021-10-22	 3:00pm	ET 	W	SFC  	at	MONM 	L	2-5	 	 			
