---
season: d1
gender: women
description: schedule/scoreboard from team websites
updated: 2022-01-20
past: 100 (6%)
today: 5 (0%)
future: 1646 (94%)
completed: 84 (80%)
unreported: 21 (20%)
total: 1752
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	dateGMT	teamId	opponentId	dualId
ITA	50755	2021-09-11	10:00am	W	  	MIZZ 	at	  	UTM  	W	7-0	 	 	d1     	2021-09-11T14:00Z			0f007a71-708f-438b-b61f-06c19fd2af51
ITA	88458	2021-09-11	 2:00pm	W	  	MIZZ 	at	  	UTM  	W	5-0	 	 	d1     	2021-09-11T18:00Z			586225ee-40f9-4bdd-ba3e-344db241ed30
ITA	35259	2021-09-11	 9:00am	W	  	HCRIN	at	  	VALPO	L	0-7	 	 	naia/d1	2021-09-11T13:00Z			0c3c91ae-d839-41f7-ab0d-3a54ab2a8217
ITA	57218	2021-09-12	12:00pm	W	  	DAY  	at	  	WITT 	W	7-0	 	 	d1/d3  	2021-09-12T16:00Z			b602860c-5868-4250-ba3a-85f78160cca0
ITA	68714	2021-09-16	 6:00pm	W	  	HC   	at	  	MTHOL	W	8-1	 	 	d1/d3  	2021-09-16T22:00Z			23866222-efb5-4b6d-a639-1fc8ba1fdf8f
ITA	97236	2021-09-17	11:00am	W	  	NIA  	at	  	BUFF 	L	0-7	 	 	d1     	2021-09-17T15:00Z			e4f86d04-f8d3-41f5-8e4b-7c60a689cba7
ITA	99692	2021-09-17	 2:00pm	W	  	NIA  	vs	  	SBU  	L	3-4	N	 	d1     	2021-09-17T18:00Z			cea512ba-4c3e-4db8-8e65-50e7f4780dd1
ITA	14540	2021-09-19	12:00pm	W	  	TMORE	at	  	DAY  	 	   	 	 	naia/d1	2021-09-19T16:00Z			a1e2effb-54f7-4413-91f9-b2b5c4bbc23c
ITA	20335	2021-09-22	 1:00pm	W	  	SHU  	at	  	MONM 	 	   	 	 	d1     	2021-09-22T17:00Z			3a50f791-0826-48f9-a1c0-66aeb7e193d4
ITA	90971	2021-09-24	 2:30am	W	  	MONM 	at	  	DSU  	L	1-6	 	 	d1     	2021-09-24T06:30Z			d64ca5a8-ca0c-4899-ab54-f03a495e1d51
ITA	22872	2021-09-25	12:00pm	W	  	SHU  	at	  	HC   	 	   	 	 	d1     	2021-09-25T16:00Z			1574920f-33e0-4363-8dc9-f17af1ad286f
ITA	 2786	2021-09-26	 5:00pm	W	  	SHU  	at	  	SIEN 	L	1-6	 	 	d1     	2021-09-26T21:00Z			d4d2db25-dec6-49fa-99d5-e8579cc967f4
ITA	31907	2021-09-29	 3:00pm	W	  	MRMK 	at	  	BABS 	W	6-3	 	 	d1/d3  	2021-09-29T19:00Z			88774b09-1142-4f80-908f-b1c48d65277f
ITA	 7499	2021-09-30	 4:00pm	W	  	ENDCT	at	  	HC   	 	   	 	 	d3/d1  	2021-09-30T20:00Z			f7bf506d-0cec-4cbd-a669-14bd368cc6ed
ITA	 8974	2021-10-01	 6:00am	W	  	GVSU 	at	  	UIC  	L	0-7	 	 	d2/d1  	2021-10-01T10:00Z			3b1c9a00-49a2-45f8-babe-532664aa3c42
ITA	43884	2021-10-06	 3:00pm	W	  	MONM 	at	  	URI  	L	1-6	 	 	d1     	2021-10-06T19:00Z			9c861310-c6a0-49db-bf3d-9235fc31c5d3
ITA	27569	2021-10-08	 1:30pm	W	  	MIDLN	at	  	OMAHA	L	1-6	 	 	naia/d1	2021-10-08T17:30Z			a1c8e5e4-a777-4a5d-a829-e61cf6c21b3e
ITA	 8458	2021-10-09	11:00am	W	  	WAG  	at	  	FORD 	L	1-6	 	 	d1     	2021-10-09T15:00Z			98450502-ce28-4a84-a19e-83f8dfa6f0b2
ITA	49235	2021-10-09	11:00am	W	  	RIDER	at	  	LAF  	L	3-4	 	 	d1     	2021-10-09T15:00Z			dbd951ce-b217-4b28-9b62-f093da4954ec
