---
season: 2021-22
division: d1
gender: women
description: composite schedule/scoreboard
updated: 2022-01-21
past: 143 (4%)
today: 43 (1%)
future: 3203 (95%)
completed: 136 (73%)
postponed: 10 (5%)
cancelled: 9 (5%)
unreported: 31 (17%)
sources:
  Teams: 3055
  ITA: 202
  Conferences: 132
itaIds: 1658
total: 3389
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	dateGMT	itaId	tournament	location	facility	links
 MIZZ	 23627	2021-09-11	       	W	  	MIZZ 	at	  	UTM  	W	7-0	 	 	d1     	                 	0f007a71-708f-438b-b61f-06c19fd2af51		Martin, TN		[Recap](/news/2021/9/11/Tennis_Match_1.aspx) [Box Score (PDF)](https://utm_ftp.sidearmsports.com/custompages/stats/WTennis/21-22/G1-MIZ.pdf)
 MIZZ	 23735	2021-09-11	       	W	  	MIZZ 	at	  	UTM  	W	5-0	 	 	d1     	                 	586225ee-40f9-4bdd-ba3e-344db241ed30		Martin, TN		[Box Score (PDF)](https://utm_ftp.sidearmsports.com/custompages/stats/WTennis/21-22/G2-MIZ.pdf)
  ITA	 35259	2021-09-11	 9:00am	W	  	HCRIN	at	  	VALPO	L	0-7	 	 	naia/d1	2021-09-11T13:00Z	0c3c91ae-d839-41f7-ab0d-3a54ab2a8217				
  DAY	 13493	2021-09-12	12:00pm	W	  	DAY  	at	  	WITT 	W	7-0	 	 	d1/d3  	2021-09-12T16:00Z	b602860c-5868-4250-ba3a-85f78160cca0		Dayton, OH	[Five Seasons Sports Club](http://www.fiveseasonssportsclub.com/dayton/)	[Box Score](/sports/womens-tennis/stats/2021-22/wittenberg/boxscore/13493) [Recap](/news/2021/9/12/womens-tennis-shuts-out-wittenberg-on-sunday-afternoon.aspx) [Box Score (PDF)](/documents/2021/9/12/91221.pdf)
   HC	  9536	2021-09-16	 6:00pm	W	  	HC   	at	  	MTHOL	W	8-1	 	 	d1/d3  	2021-09-16T22:00Z	23866222-efb5-4b6d-a639-1fc8ba1fdf8f		South Hadley, MA		[Recap](/news/2021/9/16/womens-tennis-holy-cross-downs-mount-holyoke-8-1.aspx) [Final Results](/documents/2021/9/16/HCWT02.pdf)
  NIA	  9530	2021-09-17	10:30am	W	  	NIA  	at	  	BUFF 	L	0-7	 	 	d1     	2021-09-17T14:30Z	e4f86d04-f8d3-41f5-8e4b-7c60a689cba7		Buffalo, NY		[Box Score](/sports/womens-tennis/stats/2021-22/university-at-buffalo/boxscore/9530) [Recap](/news/2021/9/17/womens-tennis-womens-tennis-falls-to-ub-bona.aspx) [](/documents/2021/9/17/UB_NIA_091721.pdf)
  NIA	  9531	2021-09-17	 2:00pm	W	  	NIA  	vs	  	SBU  	L	3-4	N	 	d1     	2021-09-17T18:00Z	cea512ba-4c3e-4db8-8e65-50e7f4780dd1		Buffalo, NY		[Box Score](/sports/womens-tennis/stats/2021-22/st-bonaventure-university/boxscore/9531)
   HC	  9537	2021-09-18	 1:00pm	W	  	HC   	at	  	STANS	W	4-3	 	 	d1/d2  	2021-09-18T17:00Z	                                    		Manchester, NH		[Recap](/news/2021/9/18/womens-tennis-holy-cross-tops-st-anselm-4-3.aspx) [Final Results](/documents/2021/9/18/HCWT03.pdf)
  DAY	 13494	2021-09-19	12:00pm	W	  	TMORE	at	  	DAY  	L	0-7	 	 	naia/d1	2021-09-19T16:00Z	                                    		Dayton, OH	[Graul Tennis Complex](/facilities/?id=92)	[Box Score](/sports/womens-tennis/stats/2021-22/thomas-more/boxscore/13494) [Recap](/news/2021/9/19/womens-tennis-takes-home-victory-over-thomas-more.aspx) [Box Score (PDF)](/documents/2021/9/19/91921.pdf)
 MONM	 18088	2021-09-22	 1:30pm	W	  	SHU  	at	  	MONM 	W	6-1	 	 	d1     	2021-09-22T17:30Z	                                    		West Long Branch, NJ	[Outdoor Tennis Complex](/facilities/?id=9)	[Recap](/news/2021/9/22/womens-tennis-womens-tennis-drops-home-opener-to-sacred-heart.aspx)
 MONM	 18089	2021-09-24	 2:30pm	W	  	MONM 	at	  	DSU  	L	1-6	 	 	d1     	2021-09-24T18:30Z	d64ca5a8-ca0c-4899-ab54-f03a495e1d51		Dover, DE		[Recap](/news/2021/9/24/womens-tennis-womens-tennis-drops-road-match-at-delaware-state.aspx)
   HC	  9539	2021-09-25	12:00pm	W	  	SHU  	at	  	HC   	W	7-0	 	 	d1     	2021-09-25T16:00Z	                                    		Worcester, MA	[Sinnott Family Tennis Facility](/facilities/?id=13)	[Recap](/news/2021/9/25/womens-tennis-crusaders-fall-to-sacred-heart.aspx) [Final Results](/documents/2021/9/25/HCWT04.pdf)
   HC	  9540	2021-09-26	12:00pm	W	  	CTCOL	at	  	HC   	L	3-4	 	 	d3/d1  	2021-09-26T16:00Z	                                    		Worcester, MA	[Sinnott Family Tennis Facility](/facilities/?id=13)	[Recap](/news/2021/9/26/womens-tennis-womens-tennis-downs-connecticut-college.aspx) [Final Results](/documents/2021/9/26/HCWT05.pdf)
 SIEN	 16140	2021-09-26	 5:00pm	W	  	SHU  	at	  	SIEN 	L	1-6	 	 	d1     	2021-09-26T21:00Z	d4d2db25-dec6-49fa-99d5-e8579cc967f4		Latham, NY	[Tri-City Fitness](/facilities/?id=11)	[Box Score](/sports/womens-tennis/stats/2021-22/sacred-heart/boxscore/16140) [Recap](/news/2021/9/26/womens-tennis-strong-singles-play-lifts-saints-over-sacred-heart.aspx)
 MRMK	 10703	2021-09-29	 3:00pm	W	  	MRMK 	at	  	BABS 	W	6-3	 	 	d1/d3  	2021-09-29T19:00Z	88774b09-1142-4f80-908f-b1c48d65277f		Babson Park, MA		[Recap](/news/2021/9/29/merrimack-womens-tennis-impresses-in-fall-debut.aspx)
   HC	  9538	2021-09-30	 4:00pm	W	  	ENDCT	at	  	HC   	L	2-5	 	 	d3/d1  	2021-09-30T20:00Z	                                    		Worcester, MA	[Sinnott Family Tennis Facility](/facilities/?id=13)	[Recap](/news/2021/10/3/womens-tennis-crusaders-fall-to-vassar.aspx) [Final Results](/documents/2021/9/30/HCWT06.pdf)
  UIC	 16937	2021-10-01	 1:00pm	W	  	GVSU 	at	  	UIC  	L	0-7	 	 	d2/d1  	2021-10-01T17:00Z	3b1c9a00-49a2-45f8-babe-532664aa3c42		Chicago	[Flames Outdoor Tennis Courts](/facilities/?id=9)	[Box Score](/sports/womens-tennis/stats/2021-22/grand-valley-state/boxscore/16937) [Recap](/news/2021/10/1/womens-tennis-flames-sweep-lakers-with-7-0-win.aspx)
   HC	  9541	2021-10-03	12:00pm	W	  	VASSR	at	  	HC   	W	4-1	 	 	d3/d1  	2021-10-03T16:00Z	                                    		Worcester, MA	[Sinnott Family Tennis Facility](/facilities/?id=13)	[Recap](/news/2021/10/3/womens-tennis-crusaders-fall-to-vassar.aspx) [Final Results](/documents/2021/10/3/HCWT07.pdf)
 MONM	 18090	2021-10-07	 3:00pm	W	  	MONM 	at	  	LAF  	W	4-3	 	 	d1     	2021-10-07T19:00Z	                                    		Easton, PA		[Recap](/news/2021/10/8/womens-tennis-womens-tennis-tops-lafayette-in-road-tilt.aspx)
OMAHA	 17433	2021-10-08	 1:30pm	W	  	MIDLN	at	  	OMAHA	L	1-6	 	 	naia/d1	2021-10-08T17:30Z	a1c8e5e4-a777-4a5d-a829-e61cf6c21b3e		Omaha, NE	[KOCH TENNIS CENTER](https://parks.cityofomaha.org/koch-family-outdoor-tennis-center)	[Box Score](/sports/womens-tennis/stats/2021-22/midland/boxscore/17433)
 MONM	 18086	2021-10-08	 3:00pm	W	  	MONM 	at	  	URI  	L	1-6	 	 	d1     	2021-10-08T19:00Z	                                    		Kingston, RI		[Recap](/news/2021/10/8/womens-tennis-hawks-drop-non-conference-match-to-rhode-island.aspx)
RIDER	 10410	2021-10-09	11:00am	W	  	RIDER	at	  	LAF  	L	3-4	 	 	d1     	2021-10-09T15:00Z	dbd951ce-b217-4b28-9b62-f093da4954ec		Easton, PA		[Recap](/news/2021/10/9/womens-tennis-edged-at-lafayette-4-3.aspx)
 FORD	  9938	2021-10-09	11:00am	W	  	WAG  	at	  	FORD 	L	1-6	 	 	d1     	2021-10-09T15:00Z	98450502-ce28-4a84-a19e-83f8dfa6f0b2		Bronx, NY	Hawthorn/Rooney Tennis Courts	[Box Score](/sports/womens-tennis/stats/2021-22/wagner-college/boxscore/9938) [Recap](/news/2021/10/11/womens-tennis-womens-tennis-defeats-wagner-6-1.aspx)
 MRMK	 10702	2021-10-12	 3:00pm	W	  	MRMK 	at	  	ENDCT	W	7-2	 	 	d1/d3  	2021-10-12T19:00Z	29157ea3-6d74-4a4f-a802-61cdc9d2507c		Beverly, MA		[Recap](/news/2021/10/13/dominant-performances-across-the-board-propels-womens-tennis-against-endicott.aspx)
 MRMK	 10748	2021-10-15	 1:00pm	W	  	MRMK 	at	  	BRY  	W	4-3	 	 	d1     	2021-10-15T17:00Z	50fde2ec-a01b-4839-931b-404b6f9b791a		Smithfield, RI		[Recap](/news/2021/10/19/womens-tennis-finishes-undefeated-fall-season-against-bryant.aspx)
 MONM	 18091	2021-10-15	 3:30pm	W	  	WAG  	at	  	MONM 	L	2-5	 	 	d1     	2021-10-15T19:30Z	                                    		West Long Branch, NJ	[Outdoor Tennis Complex](/facilities/?id=9)	[Recap](/news/2021/10/15/womens-tennis-monmouth-claims-home-win-versus-wagner.aspx)
  ITA	 47403	2021-10-16	 5:00am	W	  	GVSU 	at	  	VALPO	L	2-5	 	 	d2/d1  	2021-10-16T09:00Z	005fe5a3-dde8-41ae-80c8-8d8b08bb04a6				
  ITA	 37053	2021-10-16	10:00am	W	  	BU   	vs	  	URI  	W	5-2	N	 	d1     	2021-10-16T14:00Z	367535af-8cf9-43a9-a3d2-255cc6b8909d				
  SFC	  7328	2021-10-16	12:00pm	W	  	SFC  	at	  	WAG  	L	3-4	 	 	d1     	2021-10-16T16:00Z	                                    		Staten Island, NY		[Box Score](/sports/womens-tennis/stats/2021-2022/wagner-college/boxscore/7328)
  ITA	 52963	2021-10-16	 2:00pm	W	  	NOVA 	vs	  	URI  	L	2-5	N	 	d1     	2021-10-16T18:00Z	53ebe50d-073a-45aa-b130-732e3616f90d				
  ITA	 17199	2021-10-17	 9:00am	W	  	UMASS	vs	  	URI  	L	3-4	N	 	d1     	2021-10-17T13:00Z	76a521ca-adbb-48b8-8246-32ff7c0cc96f				
 COLG	  8976	2021-10-17	 4:30pm	W	  	DAEMN	at	  	COLG 	L	0-7	 	 	d2/d1  	2021-10-17T20:30Z	71fdbb21-9f9a-4db3-a3ec-d7c75e6a3f23		Hamilton	[J. W. Abrahamson Tennis Courts](/facilities/?id=13)	[Box Score](/sports/womens-tennis/stats/2021-22/daemen/boxscore/8976) [Recap](/news/2021/10/17/womens-tennis-raiders-blank-daemen-7-0.aspx)
   HC	  9542	2021-10-20	 3:30pm	W	  	AC   	at	  	HC   	L	3-4	 	 	d2/d1  	2021-10-20T19:30Z	                                    		Worcester, MA	[Sinnott Family Tennis Facility](/facilities/?id=13)	[Recap](/news/2021/10/20/womens-tennis-womens-tennis-tops-assumption-in-fall-finale.aspx) [Final Results](/documents/2021/10/20/HCWT08.pdf)
 FGCU	 10674	2021-10-22	 1:00pm	W	  	KEISR	at	  	FGCU 	L	1-6	 	 	naia/d1	2021-10-22T17:00Z	37273d75-5e77-4278-a9e8-80f58217ad38		Fort Myers, FL	[FGCU Tennis Complex](/facilities/?id=6)	[Box Score](/sports/womens-tennis/stats/2021-22/keiser-university/boxscore/10674) [Recap](/news/2021/10/22/womens-tennis-cruises-to-victory-over-keiser.aspx)
 MONM	 19155	2021-10-22	 3:00pm	W	  	SFC  	at	  	MONM 	L	2-5	 	 	d1     	2021-10-22T19:00Z	                                    		West Long Branch, NJ	[Outdoor Tennis Complex](/facilities/?id=9)	[Recap](/news/2021/10/22/womens-tennis-womens-tennis-bests-terriers-5-2.aspx)
 BING	 13300	2021-10-23	10:00am	W	  	BING 	vs	  	MERCY	L	3-4	N	 	d1/d2  	2021-10-23T14:00Z	                                    		Williamsville, NY		[Recap](/news/2021/10/24/womens-tennis-womens-tennis-drops-pair-of-matches.aspx)
RIDER	 10374	2021-10-23	12:00pm	W	  	WAG  	at	  	RIDER	W	6-1	 	 	d1     	2021-10-23T16:00Z	c365287f-2843-4d20-b9f7-1631525038e5		Lawrenceville, NJ		[Box Score](/sports/womens-tennis/stats/2021-22/wagner-college/boxscore/10374) [Recap](/news/2021/10/23/womens-tennis-falls-to-wagner-6-1.aspx)
 FAIR	 12382	2021-10-23	 2:30pm	W	  	SHU  	at	  	FAIR 	L	3-4	 	 	d1     	2021-10-23T18:30Z	                                    		Fairfield, CT	[WAC Tennis Courts](/facilities/?id=14)	[Box Score](/sports/womens-tennis/stats/2021-22/sacred-heart/boxscore/12382) [Recap](/news/2021/10/23/womens-tennis-two-weeks-later-stags-complete-4-3-win-over-sacred-heart.aspx)
 BING	 13215	2021-10-23	 6:00pm	W	  	BING 	at	  	BUFF 	L	0-7	 	 	d1     	2021-10-23T22:00Z	                                    		Buffalo, NY		[Recap](/news/2021/10/24/womens-tennis-womens-tennis-drops-pair-of-matches.aspx)
 MTST	  6052	2021-10-29	       	W	  	MTST 	at	  	WYO  	L	2-5	 	 	d1     	                 	dbb12307-92fe-4945-8545-028ca4a5b6e5		Casper, WY		[Recap](/news/2021/11/1/womens-tennis-wyoming-get-by-cats-in-casper.aspx)
 NJIT	  8197	2021-11-05	 9:00am	W	  	SELU 	at	  	NJIT 	L	0-7	 	 	d1     	2021-11-05T13:00Z	0f129ddc-5913-4934-9e6a-fa5baa466bfb	Fall Schedule	Newark, NJ	[The Naimoli Family Athletic and Recreational Facility](/facilities/?id=131)	[Recap](/news/2021/11/5/womens-tennis-sweeps-home-matches-against-southeastern-louisiana-delaware.aspx)
  DEL	 29363	2021-11-05	 1:30pm	W	  	DEL  	vs	  	SELU 	W	6-1	N	 	d1     	2021-11-05T17:30Z	                                    		Newark, NJ		[Recap](/news/2021/11/5/womens-tennis-blue-hens-split-a-pair-of-matches-friday.aspx) [Box Score](/documents/2021/12/8/SELA_Box_Score.pdf)
 NJIT	  8198	2021-11-05	 5:00pm	W	  	DEL  	at	  	NJIT 	L	1-6	 	 	d1     	2021-11-05T21:00Z	c05c380a-f7e5-4a0c-ba4d-38ac53046ca1	Fall Schedule	Newark, NJ	[The Naimoli Family Athletic and Recreational Facility](/facilities/?id=131)	[Recap](/news/2021/11/5/womens-tennis-sweeps-home-matches-against-southeastern-louisiana-delaware.aspx)
 TENN	 22465	2022-01-07	11:00am	W	22	TENN 	at	 3	UNC  	 	   	 	 	d1     	2022-01-07T16:00Z	                                    	Tar Heel Invitational	Chapel Hill, NC		[Recap](/news/2022/1/7/womens-tennis-doubles-shine-as-lady-vols-wrap-up-day-one-of-tar-heel-invitational.aspx) [Stream](https://web.playsight.com/live/university-of-north-carolina-unc-usa/104) [Live Stats](http://www.statbroadcast.com/events/statbroadcast.php?t=1&gid=unc)
 TENN	 23557	2022-01-09	11:00am	W	22	TENN 	at	 3	UNC  	 	   	 	 	d1     	2022-01-09T16:00Z	                                    	Tar Heel Invitational	Chapel Hill, NC		[Recap](/news/2022/1/9/womens-tennis-lady-vols-close-tar-heel-invitational-with-seven-wins-highlighted-by-top-20-victory.aspx) [Stream](https://web.playsight.com/live/university-of-north-carolina-unc-usa/104) [Live Stats](http://www.statbroadcast.com/events/statbroadcast.php?t=1&gid=unc)
   UK	  9460	2022-01-14	 9:00am	W	  	ETSU 	at	  	UK   	L	3-4	 	 	d1     	2022-01-14T14:00Z	                                    	Doubleheader	Lexington, KY	[Hilary J. Boone Tennis Complex](/facilities/?id=129)	[Recap](/news/2022/1/14/womens-tennis-kentucky-womens-tennis-defeats-etsu-in-fridays-doubleheader.aspx) [Box Score](/documents/2022/1/14/UK_vs_ETSU_Match_1.pdf)
  TOL	 21297	2022-01-14	10:00am	W	  	FGCU 	vs	  	TOL  	W	5-2	N	 	d1     	2022-01-14T15:00Z	                                    	FGCU Weekend Kickoff	Fort Myers, FL		[Box Score](/sports/womens-tennis/stats/2021-22/fgcu/boxscore/21297) [Recap](/news/2022/1/14/womens-tennis-toledo-falls-to-fgcu-in-season-opener.aspx)
 KENN	  9544	2022-01-14	12:00pm	W	  	KENN 	at	  	WOF  	W	5-2	 	 	d1     	2022-01-14T17:00Z	6f60ae45-5729-42bc-b5c4-799e0db1fb92		Spartanburg, SC		[Recap](/news/2022/1/14/womens-tennis-ksu-secures-first-season-opener-since-2011.aspx)
   UK	  9492	2022-01-14	 2:30pm	W	  	ETSU 	at	  	UK   	L	3-4	 	 	d1     	2022-01-14T19:30Z	                                    	Doubleheader	Lexington, KY	[Hilary J. Boone Tennis Complex](/facilities/?id=129)	[Recap](/news/2022/1/14/womens-tennis-kentucky-womens-tennis-defeats-etsu-in-fridays-doubleheader.aspx) [Box Score](/documents/2022/1/14/UK_vs_ETSU_Match_2.pdf)
  MEM	 17904	2022-01-14	 3:30pm	W	  	UNA  	at	  	MEM  	L	0-7	 	 	d1     	2022-01-14T20:30Z	                                    		Memphis, TN	Eldon Roark TC	[Recap](/news/2022/1/17/womens-tennis-tigers-start-season-with-3-0-weekend.aspx)
  NEV	 10768	2022-01-14	 5:00pm	W	  	NEV  	at	  	BIOLA	W	5-2	 	 	d1/d2  	2022-01-14T22:00Z	                                    		Los Angeles, CA		[Box Score](/sports/womens-tennis/stats/2021-22/biola-university-calif-/boxscore/10768) [Recap](/news/2022/1/14/womens-tennis-pack-opens-season-with-win-at-biola.aspx)
  SJU	 13346	2022-01-14	 5:00pm	W	  	SJU  	at	  	PSU  	C	   	 	 	d1     	2022-01-14T22:00Z	                                    		University Park, PA		
