---
season: 2021-22
division: d2
gender: men
description: composite schedule/scoreboard
updated: 2022-01-21
past: 102 (10%)
future: 918 (90%)
completed: 91 (89%)
postponed: 1 (1%)
unreported: 10 (10%)
sources:
  ITA: 541
  Conferences: 479
itaIds: 543
total: 1020
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	dateGMT	itaId	tournament	location	facility	links
   CC	 68897	2021-09-04	All Day	M		MOL                        	at		METH                       	N	0-0	 	 	d2/d3  	                 	                                    		Fayetteville, NC		[Box Score](/boxscore.aspx?id=Pi8b8E6VghjmaCu2nfxrGtohihS0d054OcLwMpFxA2tCnpgUku7wXYMx0s9Sb0bOse83UkvGTTaDUVr%2bo7iqJ3dSjyrZPwl6tNEjfQ8uRnv8YfRqkQ5QgUNuthu0oj7h&path=mten)
G-MAC	 35376	2021-09-04	11:00am	M		OC                         	at		KWC                        	W	7-0	 	 	d2     	2021-09-04T15:00Z	                                    		Owensboro, KY		
G-MAC	 35377	2021-09-04	 3:00pm	M		ANDIN                      	at		KWC                        	W	5-1	 	 	d3/d2  	2021-09-04T19:00Z	                                    		Owensboro, KY		
  ITA	 55560	2021-09-08	 3:00pm	M		MCK                        	at		L&CCC                      	W	7-0	 	 	d2/juco	2021-09-08T19:00Z	5ab30c99-dc2c-4f1a-8b50-c575b5463614				
  ITA	 53258	2021-09-08	 4:00pm	M		ALGNY                      	at		EDIN                       	L	0-7	 	 	d3/d2  	2021-09-08T20:00Z	28632d1f-098d-41ae-ae2f-72c6b44738b2				
  ITA	 39298	2021-09-08	 4:00pm	M		CED                        	at		OHWES                      	W	9-0	 	 	d2/d3  	2021-09-08T20:00Z	e6543ae7-9db1-4796-8eb3-935949f2a107				
  ITA	 32625	2021-09-10	 3:30pm	M		FPC                        	at		HC                         	W	5-2	 	 	d2/d1  	2021-09-10T19:30Z	97f173d6-3277-4d06-a68e-4ab4523dd9ef				
   CC	 69207	2021-09-11	12:00pm	M		KING                       	at		WISE                       	W	7-0	 	 	d2     	2021-09-11T16:00Z	                                    		Wisa, VA		[Box Score](/boxscore.aspx?id=bcKd4iQNfbQ8Ez23IFrutW%2bxFsDkBgIn5rJzcv0z861vUYzNhWAzV%2biQP4%2bPYbw%2bkCciai2CXL5igykCMF5dPh1CxdWtLnA2cHu3MH2bgdG5F5k3pgHKMoKsuhDjoEud&path=mten)
  ITA	  7159	2021-09-11	 2:00pm	M		UDC                        	at		FROST                      	W	6-1	 	 	d2     	2021-09-11T18:00Z	fbfc7f7c-c003-4d05-9062-ab8d2498bf98				
  ITA	 24565	2021-09-12	 2:00pm	M		WAL                        	at		NIA                        	L	2-4	 	 	d2/d1  	2021-09-12T18:00Z	7411eef6-cecb-4bde-bfdf-35ec0d26b3b9				
