---
season: 2021-22
division: d2
gender: women
description: composite schedule/scoreboard
updated: 2022-01-21
past: 228 (18%)
today: 3 (0%)
future: 1063 (82%)
completed: 204 (88%)
postponed: 1 (0%)
unreported: 26 (11%)
sources:
  ITA: 696
  Conferences: 598
itaIds: 699
total: 1294
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	dateGMT	itaId	tournament	location	facility	links
  ITA	 32204	2021-08-28	10:00am	W		IIT                        	vs		PNW                        	 	   	N	 	d3/d2  	2021-08-28T14:00Z	19885782-0210-46b0-9485-5dc0f74ba711				
  ITA	 98976	2021-08-28	 2:00pm	W		PNW                        	at		NCENT                      	L	3-6	 	 	d2/d3  	2021-08-28T18:00Z	06702cd1-5344-4c80-b19c-e6f50962d134				
 PSAC	112280	2021-09-04	10:00am	W		SHL                        	at		STVIN                      	W	7-0	 	 	d2/d3  	2021-09-04T14:00Z	                                    		Latrobe, PA		
G-MAC	 35414	2021-09-04	11:00am	W		OC                         	at		KWC                        	W	7-0	 	 	d2     	2021-09-04T15:00Z	                                    		Owensboro, KY		
  ITA	 40171	2021-09-04	12:00pm	W		JEFF                       	at		ADEL                       	L	2-5	 	 	d2     	2021-09-04T16:00Z	9c17c8aa-86dc-4cdb-87bc-838a9b2707da				
  ITA	 48005	2021-09-04	12:00pm	W		MNKTO                      	at		LUTHR                      	W	6-3	 	 	d2/d3  	2021-09-04T16:00Z	b5aff4b5-8015-403e-a7f2-f8d2abf018ff				
  ITA	 55001	2021-09-04	12:00pm	W		MNKTO                      	at		LUTHR                      	L	1-8	 	 	d2/d3  	2021-09-04T16:00Z	3d3465ae-e863-4505-bf8b-e03a2f41f54e				
G-MAC	 35415	2021-09-04	 3:00pm	W		ANDIN                      	at		KWC                        	W	5-1	 	 	d3/d2  	2021-09-04T19:00Z	                                    		Owensboro, KY		
  ITA	 48526	2021-09-04	 4:00pm	W		MNKTO                      	at		LUTHR                      	L	4-5	 	 	d2/d3  	2021-09-04T20:00Z	cb77b39b-7fb4-455c-8c09-d256fb9427d8				
  ITA	 81539	2021-09-04	 4:00pm	W		MNKTO                      	at		LUTHR                      	L	3-6	 	 	d2/d3  	2021-09-04T20:00Z	fca59be6-6651-4554-88e1-86f463e69988				
  ITA	 29072	2021-09-05	 2:00pm	W		MNKTO                      	vs		STAMB                      	 	   	N	 	d2/naia	2021-09-05T18:00Z	4fe7cb4f-c7b8-464a-b1b6-1bc5a40f51d5				
  ITA	 66831	2021-09-05	 5:00pm	W		MNKTO                      	at		WARTB                      	W	9-0	 	 	d2/d3  	2021-09-05T21:00Z	cbf907b7-f15d-4281-b401-b59c65625675				
  ITA	 69596	2021-09-06	 3:30pm	W		CLBS                       	at		SMCVT                      	W	5-2	 	 	d3/d2  	2021-09-06T19:30Z	2a54a51a-9928-4ef9-90c4-734f4aba13ee				
  ITA	 15408	2021-09-07	12:00pm	W		RIT                        	at		DAEMN                      	L	3-4	 	 	d3/d2  	2021-09-07T16:00Z	2fe6b4c0-627b-48f0-b078-fc9a5e3b8dbf				
  ITA	 27860	2021-09-08	 3:00pm	W		MCK                        	at		L&CCC                      	W	4-1	 	 	d2/juco	2021-09-08T19:00Z	f2bc4d97-1e70-4d1e-a14f-9256bb9dd99c				
  ITA	 40555	2021-09-08	 4:00pm	W		ALGNY                      	at		EDIN                       	L	2-5	 	 	d3/d2  	2021-09-08T20:00Z	db9a96ec-8620-4d2b-be1a-cf1c9edcffbe				
 GLVC	132814	2021-09-08	 5:00pm	W		CENTR                      	at		TRU                        	L	0-9	 	 	d3/d2  	2021-09-08T21:00Z	                                    		Kirksville, MO		
  ITA	 57582	2021-09-10	 3:00pm	W		MOLL                       	at		JEFF                       	L	0-7	 	 	d2     	2021-09-10T19:00Z	23e7d29f-3b69-4a01-a85d-01b87063fd21				
  ITA	 59352	2021-09-11	 1:00am	W		DYOU                       	at		LOC                        	 	   	 	 	d3/d2  	2021-09-11T05:00Z	06f1a929-9fff-4a94-ab89-6e5679ebf62b				
  ITA	 80287	2021-09-11	10:00am	W		WAL                        	at		DAEMN                      	W	7-0	 	 	d2     	2021-09-11T14:00Z	664ec8cb-d1fc-4f44-8759-efe4f8fd68f9				
   CC	 69221	2021-09-11	12:00pm	W		KING                       	at		WISE                       	W	4-3	 	 	d2     	2021-09-11T16:00Z	                                    		Wisa, VA		[Box Score](/boxscore.aspx?id=bcKd4iQNfbQ8Ez23IFrutW%2bxFsDkBgIn5rJzcv0z860WZHjQUPjL8UZQdkbHrCW57W8mCuUN3r9Hy4lnrPakAZuxVGhMe2eerZH%2fowbLqINw6AjatrP5s4CiaTzDdyQ3&path=wten)
  ITA	 55589	2021-09-11	12:00pm	W		MOLL                       	at		GBC                        	L	2-5	 	 	d2     	2021-09-11T16:00Z	e633f698-3ab2-43d3-bbe9-ad95deb12a45				
  ITA	 40730	2021-09-11	 2:00pm	W		FPC                        	at		AIC                        	W	7-0	 	C	d2     	2021-09-11T18:00Z	63f48442-03c7-452e-8aff-020c3dd681a1				
  ITA	 95678	2021-09-11	 2:00pm	W		UDC                        	at		FROST                      	W	7-0	 	 	d2     	2021-09-11T18:00Z	08863bc6-ce9c-439d-b52a-9f064528e73e				
 PSAC	112106	2021-09-12	11:00am	W		LAROC                      	at		CUP                        	L	0-7	 	 	d3/d2  	2021-09-12T15:00Z	                                    		California, PA		[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgmxdLJOv%2fjRrK5ASrfF4FjowrVK2NYKbK3NP8MLzOoYJZBiOlTFXlewWj5haCZb3bZL%2fCJJBgfq9yZC6H1G65o1&path=wten)
 PSAC	112281	2021-09-12	12:00pm	W		FMNT                       	at		SHL                        	W	6-1	 	 	d2     	2021-09-12T16:00Z	                                    		Latrobe HS		
  ITA	 41335	2021-09-12	12:00pm	W		NH                         	vs		STANS                      	 	   	N	C	d2     	2021-09-12T16:00Z	a85ff353-1ee2-4f4f-986a-a2342f05131a				
  ITA	 25698	2021-09-12	 1:00pm	W		FPC                        	at		SNHU                       	L	2-5	 	C	d2     	2021-09-12T17:00Z	56e3c376-246a-477e-b5f8-da0fea1ed33b				
  ITA	 22044	2021-09-14	12:00pm	W		ALGNY                      	at		DAEMN                      	L	2-5	 	 	d3/d2  	2021-09-14T16:00Z	c6a18556-c331-4f63-ba99-e4546e91712d				
  ITA	 16105	2021-09-14	 2:00pm	W		AIC                        	at		ADEL                       	L	0-5	 	C	d2     	2021-09-14T18:00Z	46ff013b-b2ef-41c4-adc9-0513b9b46fef				
  ITA	 15846	2021-09-14	 3:00pm	W		MILL                       	at		WILMU                      	L	0-7	 	 	d2     	2021-09-14T19:00Z	96b4c7d6-7e6a-4fc8-a564-1b99d90a3b25				
  ITA	 41987	2021-09-14	 3:00pm	W		QU                         	at		MCK                        	W	4-3	 	C	d2     	2021-09-14T19:00Z	01bd8fe4-21d1-4380-955d-0e78d627ab5d				
  ITA	 44416	2021-09-14	 3:00pm	W		SNHU                       	at		NH                         	W	5-2	 	C	d2     	2021-09-14T19:00Z	644755cd-cb18-4ee1-9b90-098901aed8ae				
  ITA	 14607	2021-09-14	 4:00pm	W		STERL                      	at		FHS                        	L	0-7	 	 	naia/d2	2021-09-14T20:00Z	38c64bb0-ae9d-44d9-b18d-5e6de03c9bb2				
