---
season: 2021-22
division: d3
gender: men
description: composite schedule/scoreboard
updated: 2022-01-21
past: 160 (13%)
today: 1 (0%)
future: 1031 (86%)
completed: 133 (83%)
unreported: 28 (17%)
sources:
  ITA: 723
  Conferences: 469
itaIds: 726
total: 1192
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	dateGMT	itaId	tournament	location	facility	links
   PAC	35935	2021-09-02	 5:30pm	M		W&J  	at	  	STVIN                      	L	0-9	 	 	d3     	2021-09-02T21:30Z	                                    		Latrobe, PA		[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgm%2b33SfoP2bfngWJ5IhN6%2f5Gg90sm%2fiXBBMB4lPA7bAt%2bWAwn8piccdrKQvrs6pyQyPYjD8lGJ2On3kqkUtXdF4CvVV27OFuC%2bvX3Otfpusbg%3d%3d&path=mten)
   ITA	71940	2021-09-04	11:00am	M		WITT 	at	  	IUE                        	L	1-6	 	 	d3/naia	2021-09-04T15:00Z	c5d76d79-db38-4384-9e23-fafe44fe831a				
   ITA	80983	2021-09-04	 1:00pm	M		SCRAN	at	  	MESS                       	L	3-4	 	 	d3     	2021-09-04T17:00Z	57ec22f0-4707-4abd-9722-031faabf6640				
   ITA	 4866	2021-09-04	 1:00pm	M		W&J  	at	  	ALGNY                      	L	0-9	 	 	d3     	2021-09-04T17:00Z	ae79cfd7-b12b-4fd2-b30b-11db4c011d25				
   ITA	45709	2021-09-04	 2:00pm	M		JOHN 	at	  	BREV                       	L	1-8	 	 	naia/d3	2021-09-04T18:00Z	9f89c9b3-bc59-4be3-809f-51e6a18be75b				
   ITA	41291	2021-09-06	 5:00pm	M		WEBST	at	  	ILLCO                      	 	   	 	 	d3     	2021-09-06T21:00Z	8fd8f40d-799f-4dc3-a1dd-3aa2e9ee83ac				
   ITA	  926	2021-09-07	 4:00pm	M		OTTER	at	  	MTVRN                      	W	5-2	 	 	d3/naia	2021-09-07T20:00Z	0733a004-5f0f-449e-90ba-9e9da3ba786b				
   ITA	43026	2021-09-07	 7:00pm	M		DEPW 	at	  	IWES                       	L	1-5	 	 	d3/naia	2021-09-07T23:00Z	ceab9067-193d-4751-b4bf-a5b739829740				
   ITA	53258	2021-09-08	 4:00pm	M		ALGNY	at	  	EDIN                       	L	0-7	 	 	d3/d2  	2021-09-08T20:00Z	28632d1f-098d-41ae-ae2f-72c6b44738b2				
    E8	50130	2021-09-08	 4:00pm	M		BEHRD	at	  	NAZ                        	L	1-8	 	 	d3     	2021-09-08T20:00Z	                                    		Annette Shapiro Courts		[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRglY17uzR44WlfeG4EMA3imp0hJesvUKPsYqaw%2fSjm8IbI4u2rd8ruZK1ry763CABN%2fXPoMFZsTWlbHGwRpQv5Gv10K3h5xy1EXyz%2fyLf19TIg%3d%3d&path=mten)
