---
season: 2021-22
division: juco
gender: men
description: composite schedule/scoreboard
updated: 2022-01-21
past: 13 (7%)
future: 162 (93%)
completed: 10 (77%)
unreported: 3 (23%)
sources:
  ITA: 175
itaIds: 175
total: 175
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	dateGMT	itaId	tournament	location	facility	links
ITA	55560	2021-09-08	 3:00pm	M		MCK  	at		L&CCC	W	7-0	 	 	d2/juco  	2021-09-08T19:00Z	5ab30c99-dc2c-4f1a-8b50-c575b5463614				
ITA	  950	2021-09-14	 5:00pm	M		ICCC 	at		GVIEW	W	6-1	 	 	juco/naia	2021-09-14T21:00Z	770252df-1658-4f9c-86f9-4daac57de848				
ITA	43407	2021-09-29	 4:30pm	M		VISTA	at		ICCC 	L	0-9	 	 	d3/juco  	2021-09-29T20:30Z	f1785103-f57a-45f3-9261-584bd7f8971b				
ITA	71006	2021-10-03	 2:00pm	M		ICCC 	at		CONNE	W	6-1	 	 	juco/naia	2021-10-03T18:00Z	a5179d71-5684-4682-b50f-306dadb2687d				
ITA	52019	2021-10-05	 5:00pm	M		ICCC 	at		NWCIA	W	7-0	 	 	juco/naia	2021-10-05T21:00Z	1575becc-4196-43fb-9734-2b093c53b04e				
ITA	27866	2021-10-10	12:00pm	M		ICCC 	at		MIDLN	L	3-4	 	 	juco/naia	2021-10-10T16:00Z	88f29be0-0b50-402f-8293-fbf4d29ea950				
ITA	36896	2021-10-10	 4:00pm	M		ICCC 	at		DOANE	W	4-3	 	 	juco/naia	2021-10-10T20:00Z	0ff985b6-5cd0-4882-a229-a5bfe9a0a3d1				
ITA	24679	2021-10-15	 3:00pm	M		MUW  	at		JOHN 	 	   	 	 	juco/naia	2021-10-15T19:00Z	cee85bc6-8e1b-4f13-b989-4d6658262a66				
ITA	69847	2021-10-15	 6:00pm	M		MUW  	at		MARYV	 	   	 	 	juco/d3  	2021-10-15T22:00Z	c2d9791a-2182-4ef2-bece-a538e7dbfe9e				
ITA	17563	2021-10-29	 3:30pm	M		MSACC	at		AZCHR	L	2-7	 	 	juco/naia	2021-10-29T19:30Z	b090301a-6994-4eef-af77-da3621f4bbe2				
ITA	80742	2021-10-29	 6:30pm	M		MSACC	at		AZCHR	L	0-9	 	 	juco/naia	2021-10-29T22:30Z	a09805cf-4661-4432-8330-09fb88f316ad				
ITA	18336	2021-11-12	12:00pm	M		JONES	at		LOYNO	L	0-7	 	 	juco/naia	2021-11-12T17:00Z	a66f6066-006c-46ca-8dbe-310c24a8bac7				
ITA	75912	2022-01-20	 2:00pm	M		KEISR	at		EFSC 	 	   	 	 	naia/juco	2022-01-20T19:00Z	9642bd62-1974-41db-b134-e77c591c3a07				
ITA	18077	2022-01-27	 4:00pm	M		SLCCC	at		CHAB 	 	   	 	 	juco     	2022-01-27T21:00Z	539ddc02-db82-4b70-9a8a-3edddb3175d3				
ITA	92868	2022-01-28	 3:00pm	M		HNDCC	at		MGCCC	 	   	 	C	juco     	2022-01-28T20:00Z	1cb203a1-0564-4712-aad8-7accbced6d35				
ITA	35434	2022-01-28	 3:00pm	M		SWMCC	at		CLCC 	 	   	 	C	juco     	2022-01-28T20:00Z	af1a6efb-c087-4bf9-8c92-1a291d3bd341				
ITA	31554	2022-01-28	 5:00pm	M		VENT 	at		WESTM	 	   	 	 	juco/naia	2022-01-28T22:00Z	9f29732b-312d-4a05-a518-f99e766e8d68				
ITA	11612	2022-01-29	11:00am	M		ICCC 	at		COE  	 	   	 	 	juco/d3  	2022-01-29T16:00Z	ebaa1043-2dcc-4504-b5f5-82038dff1536				
ITA	30278	2022-01-29	 1:00pm	M		ABRA 	at		EMBR 	 	   	 	 	juco/d2  	2022-01-29T18:00Z	ac9d697a-e5b2-4f3b-9efc-b8c725bbcf80				
ITA	21720	2022-01-29	 5:30pm	M		ARC  	at		UCD  	 	   	 	 	juco/d1  	2022-01-29T22:30Z	94de2410-00ba-49e1-be56-9fbfd4a2479a				
ITA	10432	2022-01-30	10:30am	M		ABRA 	at		MER  	 	   	 	 	juco/d1  	2022-01-30T15:30Z	76d9765a-ec9f-467d-84a9-f7a7414c8e5f				
ITA	 7022	2022-01-30	 1:00pm	M		ARC  	at		SACST	 	   	 	 	juco/d1  	2022-01-30T18:00Z	f5c1a122-b611-4de8-9083-348f943e412a				
ITA	12177	2022-01-31	10:00am	M		GUST 	at		EFSC 	 	   	 	 	d3/juco  	2022-01-31T15:00Z	61bf814f-ceb5-48a5-a5a6-2cd374cab321				
ITA	44107	2022-02-01	 3:00pm	M		CLCC 	at		HNDCC	 	   	 	C	juco     	2022-02-01T20:00Z	0e410107-32d9-4893-bcf9-ec4d14b8384c				
ITA	58184	2022-02-01	 3:00pm	M		LEW  	at		PSC  	 	   	 	 	d2/juco  	2022-02-01T20:00Z	599707db-d7ba-4af1-a42c-6566c2512700				
ITA	38976	2022-02-01	 5:00pm	M		DIAB 	at		CHAB 	 	   	 	 	juco     	2022-02-01T22:00Z	0507caf9-1429-4b67-9716-acca9b757397				
