---
season: 2021-22
division: juco
gender: women
description: composite schedule/scoreboard
updated: 2022-01-21
past: 14 (8%)
future: 157 (92%)
completed: 12 (86%)
unreported: 2 (14%)
sources:
  ITA: 171
itaIds: 171
total: 171
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	dateGMT	itaId	tournament	location	facility	links
ITA	27860	2021-09-08	 3:00pm	W		MCK  	at		L&CCC	W	4-1	 	 	d2/juco  	2021-09-08T19:00Z	f2bc4d97-1e70-4d1e-a14f-9256bb9dd99c				
ITA	 2914	2021-09-11	11:00am	W		JONES	vs		OX-EM	W	5-4	N	 	juco     	2021-09-11T15:00Z	20417e8a-a5a5-4146-93a6-4bd2cca9052a				
ITA	55586	2021-09-12	10:00am	W		OX-EM	at		MCC  	L	2-7	 	 	juco     	2021-09-12T14:00Z	886e41ab-85d2-44a7-a519-942be9b8983e				
ITA	 1045	2021-09-28	 5:00pm	W		ICCC 	at		CENTR	W	6-2	 	 	juco/d3  	2021-09-28T21:00Z	39658757-ae31-47c5-86aa-c511e463c1e3				
ITA	86793	2021-10-03	 2:00am	W		ICCC 	at		GVIEW	L	2-5	 	 	juco/naia	2021-10-03T06:00Z	07cce493-3fcb-4e9c-8264-1da7f5031282				
ITA	84144	2021-10-03	 2:15pm	W		ICCC 	vs		MNKTO	L	0-7	N	 	juco/d2  	2021-10-03T18:15Z	9e3e7477-201c-4d29-99a8-d4ed148659d5				
ITA	71365	2021-10-07	 5:00pm	W		ICCC 	at		NWCIA	L	1-4	 	 	juco/naia	2021-10-07T21:00Z	22149839-9d73-48c7-9023-220d9b2ea82e				
ITA	88774	2021-10-09	 2:00pm	W		ICCC 	vs		LUTHR	L	1-6	N	 	juco/d3  	2021-10-09T18:00Z	d8347d56-8c81-4ea2-a80d-d99bfde57517				
ITA	24533	2021-10-10	 4:00pm	W		ICCC 	at		DOANE	L	1-6	 	 	juco/naia	2021-10-10T20:00Z	f0e3339e-7587-4e5b-b7ef-73efcc7c682c				
ITA	64575	2021-10-15	 3:00pm	W		MUW  	at		JOHN 	L	0-4	 	 	juco/naia	2021-10-15T19:00Z	2a17d93f-fed6-42c8-b8e3-bd19017e7f64				
ITA	16716	2021-10-15	 6:00pm	W		MUW  	at		MARYV	 	   	 	 	juco/d3  	2021-10-15T22:00Z	5daf8e25-e770-44fd-9ac6-6d34a79626b4				
ITA	52385	2021-10-29	 3:00pm	W		MSACC	at		AZCHR	L	3-4	 	 	juco/naia	2021-10-29T19:00Z	dfff2e69-88b7-4994-9bb6-0f228e04ece9				
ITA	72727	2021-10-29	 6:30pm	W		EARIZ	vs		MSACC	 	   	N	 	juco     	2021-10-29T22:30Z	34997528-6357-4c42-9833-19b691d78bf8				
ITA	62405	2021-11-12	12:00pm	W		JONES	at		LOYNO	L	0-7	 	 	juco/naia	2021-11-12T17:00Z	8761e5e0-af03-4fd0-95b8-473559a55505				
ITA	51904	2022-01-27	 4:00pm	W		SLCCC	at		CHAB 	 	   	 	 	juco     	2022-01-27T21:00Z	f9257f08-b9ff-4669-99c3-256dbcd3e614				
ITA	21434	2022-01-27	 5:00pm	W		FULL 	at		GCCCA	 	   	 	 	juco     	2022-01-27T22:00Z	e835cf37-2489-4d92-b926-6a965ac253b4				
ITA	24465	2022-01-27	 5:00pm	W		VENT 	at		WESTM	 	   	 	 	juco/naia	2022-01-27T22:00Z	f2349204-b5ef-4d17-aa21-4043595f2c56				
ITA	82111	2022-01-28	 3:00pm	W		HNDCC	at		MGCCC	 	   	 	C	juco     	2022-01-28T20:00Z	300f4ac7-ea04-4aa3-8f3f-57eb99a32af3				
