---
season: naia
gender: men
description: schedule/scoreboard from team websites
updated: 2022-01-21
past: 1 (5%)
future: 20 (95%)
completed: 1 (100%)
total: 21
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	dateGMT	teamId	opponentId	dualId
ITA	 8282	2022-01-15	 3:30pm	M		NKU  	at		TMORE	W	7-0			d1/naia	2022-01-15T20:30Z			0e6ad91b-416a-4808-9ab4-37140a6c4526
ITA	48785	2022-01-28	 3:00pm	M		FNU  	at		STET 	 	   			naia/d1	2022-01-28T20:00Z			d3d71375-49dc-4bc7-892a-c1265eb81a70
ITA	23792	2022-01-29	12:00pm	M		AZCHR	at		NAU  	 	   			naia/d1	2022-01-29T17:00Z			3ae6a446-b32d-46fd-acf7-bb31b39716ff
ITA	34886	2022-01-29	 4:00pm	M		AZCHR	at		NAU  	 	   			naia/d1	2022-01-29T21:00Z			623f7d33-aed1-45f8-a918-ded38d3467fc
ITA	43727	2022-02-04	12:00pm	M		CoC  	at		SCAD 	 	   			d1/naia	2022-02-04T17:00Z			0f8139a1-cf67-4f84-8da5-fdf75e296473
ITA	46891	2022-02-04	 1:00pm	M		NWOH 	at		TOL  	 	   			naia/d1	2022-02-04T18:00Z			92c1bfb6-b7bd-4652-a3d0-73e7aa101088
ITA	59966	2022-02-04	 5:00pm	M		KEISR	at		FGCU 	 	   			naia/d1	2022-02-04T22:00Z			6fad4e61-527a-4ab2-9441-cfa8ef4bf0d6
ITA	25529	2022-02-11	12:30pm	M		CUMBD	at		PEAY 	 	   			naia/d1	2022-02-11T17:30Z			327e7b3b-4b02-40d5-9c79-b28db46d67ae
ITA	98942	2022-02-11	 8:00pm	M		CRE  	at		KSWES	 	   			d1/naia	2022-02-12T01:00Z			19defcf1-5b90-412d-9a77-15202206d83e
ITA	22990	2022-02-12	 5:00pm	M		IDAHO	at		LCIDA	 	   			d1/naia	2022-02-12T22:00Z			fbab9094-afca-43a2-a738-90aac5b82f86
ITA	71713	2022-02-19	 6:00pm	M		JES  	at		UCD  	 	   			naia/d1	2022-02-19T23:00Z			210963dc-a8ea-4935-a5ef-9bb108f27fcd
ITA	65896	2022-02-26	 6:00pm	M		LTECH	at		CLEV 	 	   			naia/d1	2022-02-26T23:00Z			6c0ce98a-a3b8-44a0-9dcb-7e9791843c20
ITA	23122	2022-03-04	 2:00pm	M		CUMBD	at		BEL  	 	   			naia/d1	2022-03-04T19:00Z			dae26fe9-1c15-484d-8e9c-0bd81b374d8f
ITA	14738	2022-03-06	 4:30pm	M		MONTR	at		PRES 	 	   			naia/d1	2022-03-06T21:30Z			695b0ad8-0bfc-4e2e-a8a2-a5bb94c72649
ITA	43704	2022-03-08	12:00pm	M		DUQ  	at		STHOM	 	   			d1/naia	2022-03-08T17:00Z			b115c2ca-823c-417d-ab16-9acccda9be60
ITA	36379	2022-03-25	 2:00am	M		DIL  	at		JKST 	 	   			naia/d1	2022-03-25T06:00Z			7c0fc4dc-20e3-436c-92b2-80832b02e750
ITA	23144	2022-04-01	12:00pm	M		SCST 	at		SCAD 	 	   			d1/naia	2022-04-01T16:00Z			1e44d8d8-3248-4cd6-bd52-14316a58d1c4
ITA	97657	2022-04-08	 1:00pm	M		LOYNO	at		JKST 	 	   			naia/d1	2022-04-08T17:00Z			576e723c-e3c6-43db-a638-11ada70d514f
ITA	54803	2022-04-08	 2:00pm	M		MIDLN	at		CRE  	 	   			naia/d1	2022-04-08T18:00Z			80b4d85c-f7e0-4a61-a8cc-e9d9739e0177
ITA	84051	2022-04-09	 1:00pm	M		XULA 	at		JKST 	 	   			naia/d1	2022-04-09T17:00Z			7a9ca2eb-c4ea-4dd7-a996-d5f7426f7139
ITA	16348	2022-04-15	 5:00pm	M		DOANE	at		CRE  	 	   			naia/d1	2022-04-15T21:00Z			743294b4-d09a-4325-a06f-03c53172066f
