---
season: 2021-22
division: naia
gender: men
description: composite schedule/scoreboard
updated: 2022-01-21
past: 118 (29%)
future: 290 (71%)
completed: 110 (93%)
unreported: 8 (7%)
sources:
  ITA: 364
  Conferences: 44
itaIds: 364
total: 408
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	dateGMT	itaId	tournament	location	facility	links
 ITA	61524	2021-08-25	 9:30am	M		SPARB	at		HUNTU	W	4-3	 	C	naia     	2021-08-25T13:30Z	403e12ab-feb8-4610-a082-871721a20224				
 ITA	 9396	2021-08-25	 1:30pm	M		MARU 	vs		SPARB	W	4-0	N	C	naia     	2021-08-25T17:30Z	955ef370-2add-4993-a932-1e164b808f95				
 ITA	31480	2021-08-25	 5:30pm	M		MARU 	at		HUNTU	L	0-4	 	C	naia     	2021-08-25T21:30Z	1d68210a-d286-4e68-bdcd-99832e908b00				
 ITA	93786	2021-08-28	 8:30am	M		BTHIN	at		MTVRN	W	4-3	 	C	naia     	2021-08-28T12:30Z	3cc510fe-8573-49a9-9660-34ef6660b39e				
 ITA	75290	2021-08-28	12:00pm	M		LTECH	at		SPARB	W	4-3	 	 	naia     	2021-08-28T16:00Z	f0ce53b7-150f-4b6e-864d-00c5ea0f34c0				
 ITA	84474	2021-08-28	 1:00pm	M		BTHIN	vs		GCSEM	L	0-7	N	C	naia     	2021-08-28T17:00Z	d9baa275-9880-43b1-aa31-e4c573074329				
 ITA	55760	2021-08-28	 2:00pm	M		GOSH 	vs		IWES 	L	1-6	N	C	naia     	2021-08-28T18:00Z	672bf69c-39a1-47f1-a080-c78702aa7f2b				
 ITA	29744	2021-08-28	 5:00pm	M		IWES 	at		USFIN	W	7-0	 	C	naia     	2021-08-28T21:00Z	9d36db94-3d22-4e03-9210-07749145dd12				
 ITA	33200	2021-09-02	12:05pm	M		HCRIN	at		IWES 	L	0-7	 	 	naia     	2021-09-02T16:05Z	8f89b15b-a2f8-4368-bd03-b5da898cdf6d				
 ITA	99492	2021-09-02	 5:00pm	M		HCRIN	at		IWES 	L	0-4	 	 	naia     	2021-09-02T21:00Z	9439a2c2-4a3e-4069-899f-1823e836dc0d				
