---
season: 2021-22
division: naia
gender: women
description: composite schedule/scoreboard
updated: 2022-01-21
past: 136 (32%)
future: 284 (68%)
completed: 121 (89%)
unreported: 15 (11%)
sources:
  ITA: 367
  Conferences: 53
itaIds: 367
total: 420
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	dateGMT	itaId	tournament	location	facility	links
 ITA	23289	2021-08-23	 5:00pm	W		KOKOM	at		IWES 	 	   	 	 	naia     	2021-08-23T21:00Z	2fb29dce-3940-4f2b-a643-ae0e7218da37				
 ITA	 8304	2021-08-23	 7:00pm	W		KOKOM	at		IWES 	 	   	 	 	naia     	2021-08-23T23:00Z	9ff21244-b775-434e-b5c4-ffe102c929d6				
 ITA	24554	2021-08-25	 9:30am	W		SPARB	at		HUNTU	W	6-1	 	C	naia     	2021-08-25T13:30Z	9cb5be75-cac7-4060-9d25-886ec8099eda				
 ITA	83701	2021-08-25	 1:30pm	W		MARU 	vs		SPARB	W	4-0	N	C	naia     	2021-08-25T17:30Z	3bb2fc81-a8be-4069-b001-cfb39580e50b				
 ITA	85410	2021-08-25	 4:00pm	W		MARU 	at		HUNTU	W	7-0	 	C	naia     	2021-08-25T20:00Z	473b84c2-6b52-4abf-8fb6-9138ccc1544e				
 ITA	57071	2021-08-28	 8:30am	W		BTHIN	at		MTVRN	L	1-6	 	C	naia     	2021-08-28T12:30Z	cd3e0bce-a8c2-4a19-8c54-2ff71b5829cf				
 ITA	85318	2021-08-28	 1:00pm	W		BTHIN	vs		GCSEM	L	0-7	N	C	naia     	2021-08-28T17:00Z	44c4640f-275e-4f4f-a630-fe54ec9c003e				
 ITA	90907	2021-08-28	 2:00pm	W		GOSH 	vs		IWES 	L	0-7	N	C	naia     	2021-08-28T18:00Z	94ac940c-ad91-4a6b-b48f-fe8ef51e74a1				
 ITA	20975	2021-08-28	 5:00pm	W		IWES 	at		USFIN	W	7-0	 	C	naia     	2021-08-28T21:00Z	dab985b3-a145-4647-b874-233aa9f05486				
 ITA	 2581	2021-09-01	 2:00pm	W		CSTR 	at		WIWHI	L	3-4	 	 	naia/d3  	2021-09-01T18:00Z	a7cdf2dc-1e68-4de4-9fca-2d097e990343				
 ITA	20282	2021-09-02	12:00pm	W		HCRIN	at		IWES 	L	0-7	 	 	naia     	2021-09-02T16:00Z	835fce3f-231d-437d-b7d7-99500d7d0a73				
 ITA	35212	2021-09-02	 4:00pm	W		HUNTU	vs		LTECH	L	1-4	N	 	naia     	2021-09-02T20:00Z	529b5377-18ec-47c4-9cd6-ea5fb509981f				
 ITA	11724	2021-09-02	 5:00pm	W		HCRIN	at		IWES 	L	0-4	 	 	naia     	2021-09-02T21:00Z	2caecac8-04e5-4009-b6b1-47fbd629ba87				
 ITA	23836	2021-09-03	12:00pm	W		HCRIN	vs		LTECH	L	2-4	N	 	naia     	2021-09-03T16:00Z	05b7d4a9-9f8b-4788-ba24-63316afb3f68				
 ITA	23323	2021-09-03	12:00pm	W		KOKOM	at		SPARB	 	   	 	 	naia     	2021-09-03T16:00Z	371bc73e-f65e-422e-bbda-159d2d6eabaf				
 ITA	67513	2021-09-03	 4:00pm	W		LTECH	at		IWES 	L	0-4	 	 	naia     	2021-09-03T20:00Z	ee375e0a-5d0a-4708-8849-a6e2de51d465				
 ITA	  611	2021-09-03	 4:00pm	W		OLIVT	at		HUNTU	W	4-2	 	 	naia     	2021-09-03T20:00Z	86fb3318-9c0e-4ee9-8941-9ff970bd80ef				
 ITA	23145	2021-09-03	 5:00pm	W		GOSH 	vs		HCRIN	L	0-4	N	 	naia     	2021-09-03T21:00Z	21a2829e-ea58-42f7-bcf1-10b75a86fba6				
