---
season: 2021-22
division: d1
gender: women
description: schedule/scoreboard from team websites
updated: 2022-01-21
past: 189 (4%)
today: 48 (1%)
future: 3671 (77%)
completed: 161 (68%)
postponed: 14 (6%)
cancelled: 13 (5%)
unreported: 49 (21%)
total: 4784
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	domain	dateGMT	tournament	timeZone	timeDisplay	location	facility	tv	radio	links
 MIZZ	 23627	2021-09-11	       	W	  	MIZZ 	at	  	UTM  	W	7-0	 	 	d1     		                 		   		Martin, TN				[Recap](/news/2021/9/11/Tennis_Match_1.aspx) [Box Score (PDF)](https://utm_ftp.sidearmsports.com/custompages/stats/WTennis/21-22/G1-MIZ.pdf)
 MIZZ	 23735	2021-09-11	       	W	  	MIZZ 	at	  	UTM  	W	5-0	 	 	d1     		                 		   		Martin, TN				[Box Score (PDF)](https://utm_ftp.sidearmsports.com/custompages/stats/WTennis/21-22/G2-MIZ.pdf)
  UTM	  4303	2021-09-11	10:00am	W	  	MIZZ 	at	  	UTM  	W	0-7	 	 	d1     		2021-09-11T14:00Z		   	9:00 a.m.	Martin, TN	[Skyhawk Tennis Complex](/facilities/?id=10)			[Recap](/news/2021/9/11/tennis-utm-tennis-opens-door-on-2021-fall-schedule-by-hosting-missouri.aspx) [PDF](https://utm_ftp.sidearmsports.com/custompages/stats/WTennis/21-22/G1-MIZ.pdf) [Gallery](/galleries?gallery=2384)
  UTM	  4380	2021-09-11	2:00pm 	W	  	MIZZ 	at	  	UTM  	W	0-5	 	 	d1     		2021-09-11T18:00Z		   	1:00 p.m.	Martin, TN	[Skyhawk Tennis Complex](/facilities/?id=10)			[Recap](/news/2021/9/11/tennis-utm-tennis-opens-door-on-2021-fall-schedule-by-hosting-missouri.aspx) [PDF](https://utm_ftp.sidearmsports.com/custompages/stats/WTennis/21-22/G2-MIZ.pdf) [Gallery](/galleries?gallery=2384)
  DAY	 13493	2021-09-12	12:00pm	W	  	DAY  	at	  	WITT 	W	7-0	 	 	d1/d3  		2021-09-12T16:00Z		   	12:00 PM	Dayton, OH	[Five Seasons Sports Club](http://www.fiveseasonssportsclub.com/dayton/)			[Box Score](/sports/womens-tennis/stats/2021-22/wittenberg/boxscore/13493) [Recap](/news/2021/9/12/womens-tennis-shuts-out-wittenberg-on-sunday-afternoon.aspx) [Box Score (PDF)](/documents/2021/9/12/91221.pdf)
   HC	  9536	2021-09-16	6:00pm 	W	  	HC   	at	  	MTHOL	W	8-1	 	 	d1/d3  		2021-09-16T22:00Z		   	6:00 PM	South Hadley, MA				[Recap](/news/2021/9/16/womens-tennis-holy-cross-downs-mount-holyoke-8-1.aspx) [Final Results](/documents/2021/9/16/HCWT02.pdf)
  NIA	  9530	2021-09-17	10:30am	W	  	NIA  	at	  	BUFF 	L	0-7	 	 	d1     		2021-09-17T14:30Z		   	10:30 a.m.	Buffalo, NY				[Box Score](/sports/womens-tennis/stats/2021-22/university-at-buffalo/boxscore/9530) [Recap](/news/2021/9/17/womens-tennis-womens-tennis-falls-to-ub-bona.aspx) [](/documents/2021/9/17/UB_NIA_091721.pdf)
  NIA	  9531	2021-09-17	2:00pm 	W	  	NIA  	vs	  	SBU  	L	3-4	N	 	d1     		2021-09-17T18:00Z		   	2:00 p.m.	Buffalo, NY				[Box Score](/sports/womens-tennis/stats/2021-22/st-bonaventure-university/boxscore/9531)
   HC	  9537	2021-09-18	1:00pm 	W	  	HC   	at	  	STANS	W	4-3	 	 	d1/d2  		2021-09-18T17:00Z		   	1:00 PM	Manchester, NH				[Recap](/news/2021/9/18/womens-tennis-holy-cross-tops-st-anselm-4-3.aspx) [Final Results](/documents/2021/9/18/HCWT03.pdf)
  DAY	 13494	2021-09-19	12:00pm	W	  	TMORE	at	  	DAY  	L	0-7	 	 	naia/d1		2021-09-19T16:00Z		   	12:00 PM	Dayton, OH	[Graul Tennis Complex](/facilities/?id=92)			[Box Score](/sports/womens-tennis/stats/2021-22/thomas-more/boxscore/13494) [Recap](/news/2021/9/19/womens-tennis-takes-home-victory-over-thomas-more.aspx) [Box Score (PDF)](/documents/2021/9/19/91921.pdf)
 MONM	 18088	2021-09-22	1:30pm 	W	  	SHU  	at	  	MONM 	W	6-1	 	 	d1     		2021-09-22T17:30Z		   	1:30 PM	West Long Branch, NJ	[Outdoor Tennis Complex](/facilities/?id=9)			[Recap](/news/2021/9/22/womens-tennis-womens-tennis-drops-home-opener-to-sacred-heart.aspx)
 MONM	 18089	2021-09-24	2:30pm 	W	  	MONM 	at	  	DSU  	L	1-6	 	 	d1     		2021-09-24T18:30Z		   	2:30 PM	Dover, DE				[Recap](/news/2021/9/24/womens-tennis-womens-tennis-drops-road-match-at-delaware-state.aspx)
  DSU	  6615	2021-09-24	2:30pm 	W	  	MONM 	at	  	DSU  	L	1-6	 	 	d1     		2021-09-24T18:30Z		   	2:30 PM					
   HC	  9539	2021-09-25	12:00pm	W	  	SHU  	at	  	HC   	W	7-0	 	 	d1     		2021-09-25T16:00Z		   	12:00 PM	Worcester, MA	[Sinnott Family Tennis Facility](/facilities/?id=13)			[Recap](/news/2021/9/25/womens-tennis-crusaders-fall-to-sacred-heart.aspx) [Final Results](/documents/2021/9/25/HCWT04.pdf)
