---
season: 2021-22
division: d1
gender: women
description: schedule/scoreboard from conference websites
updated: 2022-01-21
past: 96 (4%)
today: 30 (1%)
future: 2181 (90%)
completed: 88 (70%)
postponed: 4 (3%)
cancelled: 4 (3%)
unreported: 30 (24%)
total: 2430
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	domain	dateGMT	tournament	timeZone	timeDisplay	location	facility	tv	radio	links
 MAAC	 72368	2021-09-17	10:30am	W	  	NIA  	at	  	BUFF 	L	0-7	 	 	d1     		2021-09-17T14:30Z		ET 	10:30 A.M.    	Buffalo, NY                                     				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgkA2dyMudS5StQjxUggv15DSytbkAePwvqa83wFR37NhJsRqR6GLkJjW1RtT9ecC8C4tKFIT%2bfi8fg71Xtg8bnAhNBVYq72tapAyjUMvwzzlw%3d%3d&path=wten)
 MAAC	 72369	2021-09-17	 2:00pm	W	  	NIA  	vs	  	SBU  	L	3-4	N	 	d1     		2021-09-17T18:00Z		ET 	2:00 P.M.     	Buffalo, NY                                     				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgkA2dyMudS5StQjxUggv15DSytbkAePwvqa83wFR37NhJsRqR6GLkJjW1RtT9ecC8CW1YhBhRqeiMqH%2bMGhRrfm1E0Kq6YIQ%2bMHHsWrYcod3g%3d%3d&path=wten)
 MAAC	 72323	2021-09-22	 1:30pm	W	  	SHU  	at	  	MONM 	W	6-1	 	 	d1     		2021-09-22T17:30Z		ET 	1:30 P.M.     	West Long Branch, NJ                            				
 MAAC	 72324	2021-09-24	 2:30pm	W	  	MONM 	at	  	DSU  	L	1-6	 	 	d1     		2021-09-24T18:30Z		ET 	2:30 P.M.     	Dover, DE                                       				
 MAAC	 72386	2021-09-26	 5:00pm	W	  	SHU  	at	  	SIEN 	L	1-6	 	 	d1     		2021-09-26T21:00Z		ET 	5:00 P.M.     	Schenectady, NY                                 				[Box Score](/boxscore.aspx?id=qJ%2ff4ELsHk2w5DKkkGXk%2fJB1GN631gwAEYnWEisonMGidRGLE2gEaj9Hg5gdgzNjndVW5%2fsBfy3dD7hv6sNgCVBXClWKwPOR7wpCdL0Clh8v%2fbsPzrzhRNvLqaqxpd9Z&path=wten)
 Hrzn	 38887	2021-10-01	 2:00pm	W	  	GVSU 	at	  	UIC  	L	0-7	 	 	d2/d1  		2021-10-01T18:00Z		CT 	1:00 P.M.     	Chicago                                         				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgn13I2ulAy%2bBv%2fPAm3LRR1F6M0HqJ%2bT05V93A3RW1AHo%2fVrDlvDScc%2f6nUPR8WYR11dLDBamm7Ge5iFUbDoVseL&path=wten)
 MAAC	 72325	2021-10-07	 3:00pm	W	  	MONM 	at	  	LAF  	W	4-3	 	 	d1     		2021-10-07T19:00Z		ET 	3:00 P.M.     	Easton, PA                                      				
 MAAC	 74898	2021-10-09	11:00am	W	  	RIDER	at	  	LAF  	L	3-4	 	 	d1     		2021-10-09T15:00Z		ET 	11:00 A.M.    	Easton, PA                                      				
 MAAC	 72326	2021-10-15	 3:30pm	W	  	WAG  	at	  	MONM 	L	2-5	 	 	d1     		2021-10-15T19:30Z		ET 	3:30 P.M.     	West Long Branch, NJ                            				
 MAAC	 74847	2021-10-22	 3:00pm	W	  	SFC  	at	  	MONM 	L	2-5	 	 	d1     		2021-10-22T19:00Z		ET 	3:00 P.M.     	West Long Branch, NJ                            				
