---
season: 2021-22
division: d2
gender: men
description: schedule/scoreboard from conference websites
updated: 2022-01-21
past: 56 (7%)
future: 671 (90%)
completed: 54 (96%)
postponed: 1 (2%)
unreported: 1 (2%)
total: 748
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	domain	dateGMT	tournament	timeZone	timeDisplay	location	facility	tv	radio	links
   CC	 68897	2021-09-04	All Day	M		MOL  	at		METH 	N	0-0	 	 	d2/d3  		                 		ET	All Day   	Fayetteville, NC                     				[Box Score](/boxscore.aspx?id=Pi8b8E6VghjmaCu2nfxrGtohihS0d054OcLwMpFxA2tCnpgUku7wXYMx0s9Sb0bOse83UkvGTTaDUVr%2bo7iqJ3dSjyrZPwl6tNEjfQ8uRnv8YfRqkQ5QgUNuthu0oj7h&path=mten)
G-MAC	 35376	2021-09-04	11:00am	M		OC   	at		KWC  	W	7-0	 	 	d2     		2021-09-04T15:00Z		  	11:00 A.M.	Owensboro, KY                        				
G-MAC	 35377	2021-09-04	 3:00pm	M		ANDIN	at		KWC  	W	5-1	 	 	d3/d2  		2021-09-04T19:00Z		  	3:00 P.M. 	Owensboro, KY                        				
 GLVC	132382	2021-09-08	 3:00pm	M		MCK  	at		L&CCC	W	7-0	 	 	d2/juco		2021-09-08T19:00Z		CT	2:00 P.M. 	Godfrey, IL                          				
 PSAC	111941	2021-09-08	 4:00pm	M		ALGNY	at		EDIN 	L	0-7	 	 	d3/d2  		2021-09-08T20:00Z		ET	4:00 P.M. 	Edinboro, PA                         				
G-MAC	 35683	2021-09-08	 4:00pm	M		CED  	at		OHWES	W	9-0	 	 	d2/d3  		2021-09-08T20:00Z		  	4:00 P.M. 	Delaware, OH                         				[Box Score](https://static.greatmidwestsports.com/custompages/Stats/2021-22/mten21-22/match-01.htm)
   CC	 69207	2021-09-11	12:00pm	M		KING 	at		WISE 	W	7-0	 	 	d2     		2021-09-11T16:00Z		ET	12:00 p.m.	Wisa, VA                             				[Box Score](/boxscore.aspx?id=bcKd4iQNfbQ8Ez23IFrutW%2bxFsDkBgIn5rJzcv0z861vUYzNhWAzV%2biQP4%2bPYbw%2bkCciai2CXL5igykCMF5dPh1CxdWtLnA2cHu3MH2bgdG5F5k3pgHKMoKsuhDjoEud&path=mten)
G-MAC	 35697	2021-09-12	 1:00pm	M		WAL  	at		NIA  	L	2-4	 	 	d2/d1  		2021-09-12T17:00Z		  	1:00 P.M. 	Niagara Falls, NY                    				[Box Score](https://static.greatmidwestsports.com/custompages/Stats/2021-22/mten21-22/mt91221.htm)
 GLVC	132370	2021-09-14	 3:00pm	M		QU   	at		MCK  	L	0-6	 	 	d2     		2021-09-14T19:00Z		CT	2:00 P.M. 	Troy, IL                             				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRglH1EswhySf1XVk1eDUSCPL9mdVoOJIPp7I4xno0g7KrRYLCT1hjy7%2frr2fSIWYEVeiUEv1HWJBo03P1vosSvVgPgIwnExCHub813ZbhguYxQ%3d%3d&path=mten)
G-MAC	 35684	2021-09-15	 6:00pm	M		WITT 	at		CED  	L	0-7	 	 	d3/d2  		2021-09-15T22:00Z		  	6:00 P.M. 	Delaware, OH                         				[Results](https://static.greatmidwestsports.com/custompages/Stats/2021-22/mten21-22/match-02.htm)
