---
season: 2021-22
division: d2
gender: women
description: schedule/scoreboard from conference websites
updated: 2022-01-21
past: 83 (9%)
today: 1 (0%)
future: 779 (88%)
completed: 82 (98%)
postponed: 1 (1%)
unreported: 1 (1%)
total: 882
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	domain	dateGMT	tournament	timeZone	timeDisplay	location	facility	tv	radio	links
 PSAC	112280	2021-09-04	10:00am	W		SHL  	at		STVIN	W	7-0	 	 	d2/d3  		2021-09-04T14:00Z		ET	10:00 A.M.	Latrobe, PA                         				
G-MAC	 35414	2021-09-04	11:00am	W		OC   	at		KWC  	W	7-0	 	 	d2     		2021-09-04T15:00Z		  	11:00 A.M.	Owensboro, KY                       				
G-MAC	 35415	2021-09-04	 3:00pm	W		ANDIN	at		KWC  	W	5-1	 	 	d3/d2  		2021-09-04T19:00Z		  	3:00 P.M. 	Owensboro, KY                       				
 GLVC	132667	2021-09-08	 3:00pm	W		MCK  	at		L&CCC	W	6-1	 	 	d2/juco		2021-09-08T19:00Z		CT	2:00 P.M. 	Godfrey, IL                         				
 GLVC	132814	2021-09-08	 5:00pm	W		CENTR	at		TRU  	L	0-9	 	 	d3/d2  		2021-09-08T21:00Z		CT	4:00 P.M. 	Kirksville, MO                      				
   CC	 69221	2021-09-11	12:00pm	W		KING 	at		WISE 	W	4-3	 	 	d2     		2021-09-11T16:00Z		ET	12:00 p.m.	Wisa, VA                            				[Box Score](/boxscore.aspx?id=bcKd4iQNfbQ8Ez23IFrutW%2bxFsDkBgIn5rJzcv0z860WZHjQUPjL8UZQdkbHrCW57W8mCuUN3r9Hy4lnrPakAZuxVGhMe2eerZH%2fowbLqINw6AjatrP5s4CiaTzDdyQ3&path=wten)
G-MAC	 35723	2021-09-11	 2:00pm	W		WAL  	at		DAEMN	W	7-0	 	 	d2     		2021-09-11T18:00Z		  	2:00 P.M. 	Amherst, NY                         				[Box Score](https://static.greatmidwestsports.com/custompages/Stats/2021-22/wten21-22/wt0911d.htm)
 PSAC	112106	2021-09-12	11:00am	W		LAROC	at		CUP  	L	0-7	 	 	d3/d2  		2021-09-12T15:00Z		ET	11:00 A.M.	California, PA                      				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgmxdLJOv%2fjRrK5ASrfF4FjowrVK2NYKbK3NP8MLzOoYJZBiOlTFXlewWj5haCZb3bZL%2fCJJBgfq9yZC6H1G65o1&path=wten)
 PSAC	112281	2021-09-12	12:00pm	W		FMNT 	at		SHL  	W	6-1	 	 	d2     		2021-09-12T16:00Z		ET	12:00 P.M.	Latrobe HS                          				
 GLVC	132655	2021-09-14	 3:00pm	W		QU   	at		MCK  	W	4-3	 	 	d2     		2021-09-14T19:00Z		CT	2:00 P.M. 	Troy, IL                            				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRglH1EswhySf1XVk1eDUSCPLBX2mtUPOtCBqW6rUTe2AsQ58AyFkkbtt8%2fU12%2bGa8rPLn%2bgCEfQ0g0ImeeTFJMfs2%2fy8qVl75B8kehG4yzJRnw%3d%3d&path=wten)
G-MAC	 35703	2021-09-15	 7:00pm	W		WITT 	at		CED  	W	7-0	 	 	d3/d2  		2021-09-15T23:00Z		  	7:00 P.M. 	Cedarville, OH                      				[Box Score](https://static.greatmidwestsports.com/custompages/Stats/2021-22/wten21-22/match-01.htm)
   CC	 68414	2021-09-17	 1:00pm	W		NEW  	at		EMM  	W	6-1	 	 	d2     		2021-09-17T17:00Z		ET	1:00 p.m. 	                                    				[Box Score](/boxscore.aspx?id=tuBAzSyZL2EN8DRzJ1Dc0MyKWXtvcBC1Z6NjAFtGG2dXCdDWYcHnwyk292sUdJIiBJpXwtE%2fpIaXXs2LVHSKlJsEGz7rmH0aI9TJq4VnVVmYr4uNrgu44C5TOhdIXkRg&path=wten)
