---
season: d2
gender: women
description: schedule/scoreboard from team websites
updated: 2022-01-21
past: 184 (26%)
today: 3 (0%)
future: 517 (73%)
completed: 156 (83%)
unreported: 31 (17%)
total: 704
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	dateGMT	teamId	opponentId	dualId
ITA	98976	2021-08-28	 2:00pm	W		PNW                        	at		NCENT                      	L	3-6	 	 	d2/d3  	2021-08-28T18:00Z			06702cd1-5344-4c80-b19c-e6f50962d134
ITA	32204	2021-08-28	10:00am	W		IIT                        	vs		PNW                        	 	   	N	 	d3/d2  	2021-08-28T14:00Z			19885782-0210-46b0-9485-5dc0f74ba711
ITA	40171	2021-09-04	12:00pm	W		JEFF                       	at		ADEL                       	L	2-5	 	 	d2     	2021-09-04T16:00Z			9c17c8aa-86dc-4cdb-87bc-838a9b2707da
ITA	48005	2021-09-04	12:00pm	W		MNKTO                      	at		LUTHR                      	W	6-3	 	 	d2/d3  	2021-09-04T16:00Z			b5aff4b5-8015-403e-a7f2-f8d2abf018ff
ITA	55001	2021-09-04	12:00pm	W		MNKTO                      	at		LUTHR                      	L	1-8	 	 	d2/d3  	2021-09-04T16:00Z			3d3465ae-e863-4505-bf8b-e03a2f41f54e
ITA	48526	2021-09-04	 4:00pm	W		MNKTO                      	at		LUTHR                      	L	4-5	 	 	d2/d3  	2021-09-04T20:00Z			cb77b39b-7fb4-455c-8c09-d256fb9427d8
ITA	81539	2021-09-04	 4:00pm	W		MNKTO                      	at		LUTHR                      	L	3-6	 	 	d2/d3  	2021-09-04T20:00Z			fca59be6-6651-4554-88e1-86f463e69988
ITA	66831	2021-09-05	 5:00pm	W		MNKTO                      	at		WARTB                      	W	9-0	 	 	d2/d3  	2021-09-05T21:00Z			cbf907b7-f15d-4281-b401-b59c65625675
ITA	29072	2021-09-05	 2:00pm	W		MNKTO                      	vs		STAMB                      	 	   	N	 	d2/naia	2021-09-05T18:00Z			4fe7cb4f-c7b8-464a-b1b6-1bc5a40f51d5
ITA	69596	2021-09-06	 3:30pm	W		CLBS                       	at		SMCVT                      	W	5-2	 	 	d3/d2  	2021-09-06T19:30Z			2a54a51a-9928-4ef9-90c4-734f4aba13ee
ITA	15408	2021-09-07	12:00pm	W		RIT                        	at		DAEMN                      	L	3-4	 	 	d3/d2  	2021-09-07T16:00Z			2fe6b4c0-627b-48f0-b078-fc9a5e3b8dbf
