---
season: 2021-22
division: d3
gender: men
description: schedule/scoreboard from conference websites
updated: 2022-01-21
past: 53 (9%)
future: 519 (90%)
completed: 53 (100%)
total: 576
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	domain	dateGMT	tournament	timeZone	timeDisplay	location	facility	tv	radio	links
   PAC	35935	2021-09-02	 5:30pm	M		W&J  	at		STVIN	L	0-9	 	 	d3     		2021-09-02T21:30Z		ET	5:30 P.M. 	Latrobe, PA                              				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgm%2b33SfoP2bfngWJ5IhN6%2f5Gg90sm%2fiXBBMB4lPA7bAt%2bWAwn8piccdrKQvrs6pyQyPYjD8lGJ2On3kqkUtXdF4CvVV27OFuC%2bvX3Otfpusbg%3d%3d&path=mten)
   PAC	35940	2021-09-04	 1:00pm	M		W&J  	at		ALGNY	L	0-9	 	 	d3     		2021-09-04T17:00Z		ET	1 P.M.    	Meadville, PA                            				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgmgNAdXevzPOWyWmRo3gYuivplcJVFLd7i6LnqQGYQpShMPkvd7PFmsCn74%2fEzifH4Y2ccTDIWndFni28CzI%2fm3%2fQUtsNy0hiqfAaoLC0R4lQ%3d%3d&path=mten)
    E8	50130	2021-09-08	 4:00pm	M		BEHRD	at		NAZ  	L	1-8	 	 	d3     		2021-09-08T20:00Z		ET	4:00 P.M. 	Annette Shapiro Courts                   				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRglY17uzR44WlfeG4EMA3imp0hJesvUKPsYqaw%2fSjm8IbI4u2rd8ruZK1ry763CABN%2fXPoMFZsTWlbHGwRpQv5Gv10K3h5xy1EXyz%2fyLf19TIg%3d%3d&path=mten)
   PAC	35943	2021-09-11	11:00am	M		BWAL 	at		W&J  	W	8-1	 	 	d3     		2021-09-11T15:00Z		ET	11 A.M.   	Washington, PA                           				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgmgNAdXevzPOWyWmRo3gYuivplcJVFLd7i6LnqQGYQpShMPkvd7PFmsCn74%2fEzifH6hCGSHOC4mwxFKCBqo19qNuybO6UHaGmNLz1%2f3kHAGlg%3d%3d&path=mten)
   PAC	35936	2021-09-11	11:00am	M		WAYNE	at		STVIN	L	3-6	 	 	d3     		2021-09-11T15:00Z		ET	11 A.M.   	Latrobe, PA                              				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgm%2b33SfoP2bfngWJ5IhN6%2f5Gg90sm%2fiXBBMB4lPA7bAt%2bWAwn8piccdrKQvrs6pyQwXMINzBcAZ89tfrFHCfca1K282W1WiG0Z1b9fg2J7Lww%3d%3d&path=mten)
   PAC	35975	2021-09-11	11:30am	M		GROVE	at		MTUNI	W	9-0	 	 	d3     		2021-09-11T15:30Z		ET	11:30 A.M.	Alliance, OH                             				
 Lbrty	43789	2021-09-11	 1:00pm	M		BARD 	at		SKID 	L	0-9	 	C	d3     		2021-09-11T17:00Z		ET	1:00 P.M. 	Saratoga Springs, NY                     				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgkC%2bggRpJeFraTJ9qBgdMdw%2fLqU9MXMCg268LGf2atVR1FkEPYF8Z2g6sfquwMxgB2xyNOTTBOeQIj2x2KFe1Wu5dMWTc64DKXrdw764wbMyw%3d%3d&path=mten)
   PAC	35969	2021-09-11	 2:00pm	M		PSUAL	vs		WAYNE	L	4-5	N	 	d3     		2021-09-11T18:00Z		  	2 P.M.    	Latrobe, PA                              				
   PAC	35914	2021-09-11	 4:00pm	M		BWAL 	at		FRANC	W	5-4	 	 	d3     		2021-09-11T20:00Z		ET	4 P.M.    	Steubenville, OH                         				[Video](https://pacathletics.org/watch/default.aspx?Live=1811&path=fra) [Live Stats](https://docs.google.com/spreadsheets/d/1vb8bQEHOqlaDx_ndSWoCNikDPIO-KeXsSwQAAxaMzpA/edit?usp=sharing) [Box Score](/boxscore.aspx?id=U95KDbi8KaY21DX%2b6VZ5VMYo9WG3lWhJ%2b%2fXiqWeSMiioxXfeNXfNTVef33HD3R1eVaHESGEpzUqIZ3zj3ITNhNN76R%2fDeEUHVlqLjpaJ9N2zek%2fasbjHy%2bcOZdvbdkYT&path=mten)
  CCIW	56230	2021-09-11	 4:30pm	M		JUDIL	at		WHEAT	W	5-4	 	 	naia/d3		2021-09-11T20:30Z		CT	3:30 P.M. 	Wheaton, IL                              				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgnr0LrfZa9on%2b%2fdkFoLtEdB2oR0T2Lbe98HWUKgZZGm1bHn1K8oRAZ%2fy8wF7%2bdYDGCvdlZj4VPy1V2lWnJiaLF9LPZCw2RpbdmBlx7EdY217Q%3d%3d&path=mten)
   PAC	35937	2021-09-11	 5:00pm	M		PSUAL	at		STVIN	L	0-5	 	 	d3     		2021-09-11T21:00Z		ET	5 P.M.    	Latrobe, PA                              				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgm%2b33SfoP2bfngWJ5IhN6%2f5Gg90sm%2fiXBBMB4lPA7bAt%2bWAwn8piccdrKQvrs6pyQy0MLQweNh4h4DI6aIiGYhyFQhOwy1KxFSXOxxVoy5CIA%3d%3d&path=mten)
   PAC	35938	2021-09-12	 1:30pm	M		MTALO	at		STVIN	L	2-5	 	 	d3     		2021-09-12T17:30Z		ET	1:30 P.M. 	Latrobe, PA                              				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgm%2b33SfoP2bfngWJ5IhN6%2f5Gg90sm%2fiXBBMB4lPA7bAt%2bWAwn8piccdrKQvrs6pyQx9zViekop7TQmsPab4VjBdp3gtuqa37Nb1lZHtLfAFQA%3d%3d&path=mten)
  NJAC	82289	2021-09-15	 3:00pm	M		NJCU 	at		FDUF 	W	9-0	 	 	d3     		2021-09-15T19:00Z		ET	3:00 P.M. 	Madison, NJ                              				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgnboybeYZ7SS9NgFFTi4K%2f7F5YZLQxXvir%2fmDzxBDsFPIUVomEu7e4jD%2bttswpxi%2fUeTlnXO2lkwyttCyU%2fae0PGYJi3fVxUyrQ4G7YOOiJqA%3d%3d&path=mten)
   ASC	94565	2021-09-17	 3:00pm	M		TXLUT	at		HOWPN	L	1-8	 	 	d3     		2021-09-17T19:00Z		  	2:00 P.M. 	Early, TX                                				
