---
season: d3
gender: men
description: schedule/scoreboard from team websites
updated: 2022-01-21
past: 125 (17%)
today: 1 (0%)
future: 604 (83%)
completed: 94 (75%)
unreported: 32 (25%)
total: 731
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	dateGMT	teamId	opponentId	dualId
ITA	 4866	2021-09-04	 1:00pm	M		W&J  	at	  	ALGNY                      	L	0-9	 	 	d3     	2021-09-04T17:00Z			ae79cfd7-b12b-4fd2-b30b-11db4c011d25
ITA	80983	2021-09-04	 1:00pm	M		SCRAN	at	  	MESS                       	L	3-4	 	 	d3     	2021-09-04T17:00Z			57ec22f0-4707-4abd-9722-031faabf6640
ITA	71940	2021-09-04	11:00am	M		WITT 	at	  	IUE                        	L	1-6	 	 	d3/naia	2021-09-04T15:00Z			c5d76d79-db38-4384-9e23-fafe44fe831a
ITA	45709	2021-09-04	 2:00pm	M		JOHN 	at	  	BREV                       	L	1-8	 	 	naia/d3	2021-09-04T18:00Z			9f89c9b3-bc59-4be3-809f-51e6a18be75b
ITA	41291	2021-09-06	 5:00pm	M		WEBST	at	  	ILLCO                      	 	   	 	 	d3     	2021-09-06T21:00Z			8fd8f40d-799f-4dc3-a1dd-3aa2e9ee83ac
ITA	  926	2021-09-07	 4:00pm	M		OTTER	at	  	MTVRN                      	W	5-2	 	 	d3/naia	2021-09-07T20:00Z			0733a004-5f0f-449e-90ba-9e9da3ba786b
ITA	43026	2021-09-07	 7:00pm	M		DEPW 	at	  	IWES                       	L	1-5	 	 	d3/naia	2021-09-07T23:00Z			ceab9067-193d-4751-b4bf-a5b739829740
ITA	39298	2021-09-08	 4:00pm	M		CED  	at	  	OHWES                      	W	9-0	 	 	d2/d3  	2021-09-08T20:00Z			e6543ae7-9db1-4796-8eb3-935949f2a107
ITA	53258	2021-09-08	 4:00pm	M		ALGNY	at	  	EDIN                       	L	0-7	 	 	d3/d2  	2021-09-08T20:00Z			28632d1f-098d-41ae-ae2f-72c6b44738b2
ITA	59537	2021-09-08	 5:00pm	M		CORNR	at	  	CALV                       	 	   	 	 	naia/d3	2021-09-08T21:00Z			e4cbf4e9-4d62-4f48-9cdf-304df0c737d8
