---
season: 2021-22
division: d3
gender: women
description: schedule/scoreboard from conference websites
updated: 2022-01-21
past: 392 (51%)
future: 380 (49%)
completed: 392 (100%)
total: 774
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	domain	dateGMT	tournament	timeZone	timeDisplay	location	facility	tv	radio	links
  WIAC	 48595	2021-09-01	 2:00pm	W		CSTR 	at		WIWHI	L	3-4	 	 	naia/d3		2021-09-01T18:00Z		CT	1:00 P.M. 	Whitewater, WI                                  				[Box Score](https://static.uwwsports.com/custompages/wten/2021-22/wten01.htm)
  WIAC	 48493	2021-09-01	 2:00pm	W		LWRNC	at		WILAC	L	0-9	 	 	d3     		2021-09-01T18:00Z		CT	1:00 P.M. 	La Crosse, WI                                   				[Box Score](https://static.uwlathletics.com/custompages/Women's%20Tennis%20Stats/2021stats/uwl1.htm)
 Mdwst	 64095	2021-09-01	 2:00pm	W		WILAC	at		LWRNC	W	9-0	 	 	d3     		2021-09-01T18:00Z		  	1:00 P.M. 	Appleton, WI                                    				
   LEC	 42222	2021-09-01	 4:00pm	W		NVUL 	at		CASTL	L	0-9	 	 	d3     		2021-09-01T20:00Z		ET	4:00 P.M. 	Castleton, VT                                   				[Box Score](/boxscore.aspx?id=295Hu3vOPHiveuFhd0fnwcInCFdg%2bXaLuzQk0Rpbv8advmZMA4y0SIglAN030dktM9B0zj2uREjP1OK%2bd0NxE111FtgSy9RjmvhnEUlNl237jAM%2bhl94XGdDriaFq5oh&path=wten)
  WIAC	 48545	2021-09-01	 4:30pm	W		STNOR	at		WISSP	L	1-8	 	 	d3     		2021-09-01T20:30Z		CT	3:30 P.M. 	Stevens Point, WI                               				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgnr0LrfZa9on%2b%2fdkFoLtEdBxzDbrtdBH0VMSRimwJnuYx%2fzc11DAYbqBSG3ZYP7UWBuekcjh%2bN8WuJR4knrb0DuvNDCGK124He80TdoYA7VTQ%3d%3d&path=wten)
  CCIW	 52988	2021-09-01	 5:00pm	W		CARRL	at		CNCWI	L	1-8	 	 	d3     		2021-09-01T21:00Z		CT	4:00 P.M. 	Mequon, WI                                      				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRglOw8MkfFbEuruVN1fHx16jOKDsH8D09TmZeUG6NINB0Cyh9lGiepz6vJbXMiAkXHl28B41QZN66U0KF1A6dL9uiPu1kpQwDq%2fWyM%2f9XDRrZg%3d%3d&path=wten)
 Mdwst	 64634	2021-09-01	 6:00pm	W		LAKE 	at		RIPON	L	0-9	 	 	d3     		2021-09-01T22:00Z		  	5:00 P.M. 	Ripon, WI                                       				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgk4s%2fJvsayFbbmmPATxKAh4XmjyPq0SA2%2bsZB2%2biacdiT0PiHB00m8JGOqU%2fHsuIynoKFUTFicirds5hiH9X%2ftMQGOOdQ65KsH6wM1%2fZUSa3Q%3d%3d&path=wten)
  WIAC	 48593	2021-09-01	 7:00pm	W		EDGE 	at		WIWHI	L	1-8	 	 	d3     		2021-09-01T23:00Z		CT	6:00 P.M. 	Whitewater, WI                                  				[Box Score](https://static.uwwsports.com/custompages/wten/2021-22/wten02.htm)
  WIAC	 48597	2021-09-01	 7:00pm	W		IIT  	at		WIWHI	L	0-9	 	 	d3     		2021-09-01T23:00Z		CT	6:00 P.M. 	Whitewater, WI                                  				[Box Score](https://static.uwwsports.com/custompages/wten/2021-22/wten03.htm)
  CCIW	 53664	2021-09-01	 7:00pm	W		NPARK	at		WILUT	W	5-4	 	 	d3     		2021-09-01T23:00Z		CT	6:00 P.M. 	Milwaukee, WI                                   				
