---
season: d3
gender: women
description: schedule/scoreboard from team websites
updated: 2022-01-21
past: 398 (52%)
future: 362 (48%)
completed: 306 (77%)
unreported: 92 (23%)
total: 760
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	dateGMT	teamId	opponentId	dualId
ITA	98976	2021-08-28	 2:00pm	W		PNW  	at		NCENT	L	3-6	 	 	d2/d3  	2021-08-28T18:00Z			06702cd1-5344-4c80-b19c-e6f50962d134
ITA	 7918	2021-08-28	 9:00am	W		CENTR	at		NCENT	L	0-9	 	 	d3     	2021-08-28T13:00Z			7bf5cf53-59d2-454e-9a17-146e32e8bb23
ITA	21138	2021-08-28	10:00am	W		CRNLC	vs		GVILL	L	0-9	N	 	d3     	2021-08-28T14:00Z			73e91eb6-d801-4078-929c-d543d0d86ac9
ITA	45139	2021-08-28	10:00am	W		DUBQ 	at		MILIK	L	0-9	 	 	d3     	2021-08-28T14:00Z			6d7d7e8d-30a8-40f5-86af-05796e6a728f
ITA	46162	2021-08-28	11:00am	W		CENTR	at		NCENT	L	0-9	 	 	d3     	2021-08-28T15:00Z			937b85d6-4623-49e4-af1c-5dc481e7ac2e
ITA	 5550	2021-08-28	 2:00pm	W		CRNLC	vs		DUBQ 	L	4-5	N	 	d3     	2021-08-28T18:00Z			a21fe2e8-fc4c-446e-8f6d-c15c946e9466
ITA	28902	2021-08-28	 2:00pm	W		GVILL	at		MILIK	L	0-9	 	 	d3     	2021-08-28T18:00Z			ccf84571-06b6-4fe5-9e1c-5a1d2ba7624b
ITA	32204	2021-08-28	10:00am	W		IIT  	vs		PNW  	 	   	N	 	d3/d2  	2021-08-28T14:00Z			19885782-0210-46b0-9485-5dc0f74ba711
ITA	87439	2021-09-01	 2:00pm	W		NVUL 	at		CASTL	 	   	 	 	d3     	2021-09-01T18:00Z			e02bde11-3919-4265-9ce3-113b3199b023
ITA	83732	2021-09-01	 2:00pm	W		LWRNC	at		WILAC	L	0-9	 	 	d3     	2021-09-01T18:00Z			804b7d70-e67a-4805-9dfe-4ca8eab61d94
ITA	10726	2021-09-01	 5:00pm	W		CARRL	at		CNCWI	L	1-8	 	 	d3     	2021-09-01T21:00Z			c755a6bc-52b4-4406-a770-6864e1f66b00
ITA	76045	2021-09-01	 5:00pm	W		DUBQ 	at		WARTB	L	0-9	 	C	d3     	2021-09-01T21:00Z			fbef85dc-9d22-41bb-a71d-ad90f546be96
