---
season: 2021-22
division: naia
gender: men
description: schedule/scoreboard from conference websites
updated: 2022-01-21
future: 45 (100%)
total: 45
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	domain	dateGMT	tournament	timeZone	timeDisplay	location	facility	tv	radio	links
SSAC	26085	2022-01-29	    TBA	M		LSUAL	at		DIL  			 	 	naia     		                 		  	TBA       	New Orleans, LA                               				
SSAC	25162	2022-01-29	 4:00pm	M		MCC  	at		MOBIL			 	 	juco/naia		2022-01-29T21:00Z		CT	3:00 P.M. 	Gerald Wallace Tennis Center - Mobile, AL     				
SSAC	26086	2022-02-04	    TBA	M		DIL  	at		XAV  			 	 	naia/d1  		                 		  	TBA       	New Orleans, LA                               				
SSAC	25190	2022-02-04	 1:00pm	M		BLUEM	at		CHRBR			 	 	naia/d2  		2022-02-04T18:00Z		  	1:00 P.M. 	Memphis, TN                                   				
SSAC	25082	2022-02-05	All Day	M		AUBM 	at		MIDGA			 	 	d2/naia  		                 		ET	All Day   	Macon, GA                                     				
SSAC	25191	2022-02-05	 1:00pm	M		MC   	at		BLUEM			 	 	d2/naia  		2022-02-05T18:00Z		  	1:00 P.M. 	New Albany, MS                                				
SSAC	25163	2022-02-11	 2:00pm	M		MOBIL	at		TUSK 			 	 	naia/d2  		2022-02-11T19:00Z		CT	1:00 P.M. 	Tuskegee, AL                                  				
SSAC	25164	2022-02-12	 2:00pm	M		DIL  	at		MOBIL			 	C	naia     		2022-02-12T19:00Z		CT	1:00 P.M. 	Gerald Wallace Tennis Center - Mobile, Ala.21q				
SSAC	25192	2022-02-13	 1:00pm	M		BLUEM	at		RHDES			 	 	naia/d3  		2022-02-13T18:00Z		  	1:00 P.M. 	Memphis, TN                                   				
SSAC	25165	2022-02-18	 1:00pm	M		MOBIL	vs		SPHC 			N	 	naia/d2  		2022-02-18T18:00Z		CT	12:00 P.M.	Mobile Tennis Center - Mobile, AL             				
SSAC	26087	2022-02-19	11:00am	M		MUW  	at		DIL  			 	 	juco/naia		2022-02-19T16:00Z		  	11:00 A.M.	New Orleans, LA                               				
SSAC	25084	2022-02-21	All Day	M		MIDGA	at		AGSTA			 	 	naia/d2  		                 		ET	All Day   	Augusta, GA                                   				
SSAC	26083	2022-02-25	       	M		MOBIL	at		DIL  			 	C	naia     		                 		  	          	                                              				
SSAC	25085	2022-02-26	All Day	M		MIDGA	at		EMM  			 	 	naia/d2  		                 		ET	All Day   	Franklin Springs, GA                          				
SSAC	25217	2022-02-28	 1:00pm	M		XAV  	at		WCARY			 	 	d1/naia  		2022-02-28T18:00Z		  	1:00 P.M. 	Hattiesburg, MS                               				
SSAC	26092	2022-03-04	    TBA	M		XAV  	at		DIL  			 	 	d1/naia  		                 		  	TBA       	New Orleans, LA                               				
SSAC	25168	2022-03-05	10:00am	M		MOBIL	vs		TOUG 			N	 	naia     		2022-03-05T15:00Z		CT	9:00 A.M. 	Jackson, MS                                   				
SSAC	25185	2022-03-05	12:00pm	M		MOBIL	vs		RUST 			N	 	naia/d3  		2022-03-05T17:00Z		  	12:00 P.M.	Jackson, MS                                   				
SSAC	25171	2022-03-07	    TBA	M		CAMPB	at		MOBIL			 	 	naia     		                 		CT	TBA       	Gerald Wallace Tennis Center - Mobile, AL     				
SSAC	25222	2022-03-08	 1:00pm	M		WCARY	at		CAMPB			 	 	naia     		2022-03-08T18:00Z		  	1:00 P.M. 	Mobile, AL                                    				
SSAC	25223	2022-03-09	 1:00pm	M		OLIVT	at		WCARY			 	 	naia     		2022-03-09T18:00Z		  	1:00 P.M. 	Hattiesburg, MS                               				
SSAC	25173	2022-03-11	 4:00pm	M		MOBIL	at		WCARY			 	C	naia     		2022-03-11T21:00Z		CT	3:00 P.M. 	Hattiesburg, MS                               				
SSAC	25174	2022-03-15	 4:00pm	M		MC   	at		MOBIL			 	 	d2/naia  		2022-03-15T20:00Z		CT	3:00 P.M. 	Gerald Wallace Tennis Center - Mobile, AL     				
SSAC	25091	2022-03-17	    TBA	M		WCARY	at		MIDGA			 	 	naia     		                 		ET	TBA       	Macon, GA                                     				
SSAC	25195	2022-03-17	10:00am	M		BLUEM	vs		TOUG 			N	C	naia     		2022-03-17T14:00Z		  	10:00 A.M.	Macon, GA                                     				
SSAC	25092	2022-03-18	    TBA	M		RUST 	at		MIDGA			 	 	d3/naia  		                 		ET	TBA       	Macon, GA                                     				
SSAC	25197	2022-03-18	12:00pm	M		BLUEM	vs		FNU  			N	C	naia     		2022-03-18T16:00Z		  	12:00 P.M.	Macon, GA                                     				
SSAC	25231	2022-03-18	 1:00pm	M		FNU  	vs		WCARY			N	C	naia     		2022-03-18T17:00Z		  	1:00 P.M. 	Macon, GA                                     				
SSAC	25175	2022-03-18	 1:00pm	M		SPHC 	at		MOBIL			 	 	d2/naia  		2022-03-18T17:00Z		CT	12:00 P.M.	Gerald Wallace Tennis Center - Mobile, AL     				
SSAC	25093	2022-03-19	    TBA	M		BLUEM	at		MIDGA			 	 	naia     		                 		ET	TBA       	Macon, GA                                     				
SSAC	25233	2022-03-19	 1:00pm	M		TOUG 	vs		WCARY			N	C	naia     		2022-03-19T17:00Z		  	1:00 P.M. 	Macon, GA                                     				
SSAC	25094	2022-03-21	    TBA	M		MIDGA	vs		SEAST			N	 	naia     		                 		ET	TBA       	Orlando, FL                                   				
SSAC	25095	2022-03-24	    TBA	M		AVEMA	vs		MIDGA			N	 	naia     		                 		ET	TBA       	Orlando, FL                                   				
SSAC	25239	2022-03-24	 1:00pm	M		WCARY	at		BLUEM			 	C	naia     		2022-03-24T17:00Z		  	1:00 P.M. 	New Albany, MS                                				
SSAC	25176	2022-03-25	    TBA	M		MOBIL	at		AVEMA			 	 	naia     		                 		CT	TBA       	Ave Maria, FL                                 				
SSAC	25177	2022-03-26	    TBA	M		MOBIL	at		SEAST			 	 	naia     		                 		CT	TBA       	Lakeland, FL                                  				
SSAC	26099	2022-03-31	    TBA	M		DIL  	vs		FNU  			N	C	naia     		                 		  	TBA       	Montgomery, AL                                				
SSAC	25178	2022-03-31	11:00am	M		MIDGA	vs		MOBIL			N	C	naia     		2022-03-31T15:00Z		CT	10:00 A.M.	Montgomery, AL                                				
SSAC	26100	2022-04-01	    TBA	M		DIL  	vs		TOUG 			N	C	naia     		                 		  	TBA       	Montgomery, AL                                				
SSAC	25179	2022-04-01	11:00am	M		MOBIL	vs		TOUG 			N	C	naia     		2022-04-01T15:00Z		CT	10:00 A.M.	Montgomery, AL                                				
SSAC	25180	2022-04-02	11:00am	M		FNU  	vs		MOBIL			N	C	naia     		2022-04-02T15:00Z		CT	10:00 A.M.	Montgomery, AL                                				
SSAC	25202	2022-04-05	 1:00pm	M		CHRBR	at		BLUEM			 	 	d2/naia  		2022-04-05T17:00Z		  	1:00 P.M. 	New Albany, MS                                				
SSAC	25097	2022-04-10	12:00pm	M		SCADA	at		MIDGA			 	 	naia     		2022-04-10T16:00Z		ET	12:00 P.M.	Macon, GA                                     				
SSAC	25203	2022-04-12	 1:00pm	M		CHRBR	at		BLUEM			 	 	d2/naia  		2022-04-12T17:00Z		  	1:00 P.M. 	New Albany, MS                                				
SSAC	25098	2022-04-14	12:00pm	M		SCAD 	at		MIDGA			 	 	naia     		2022-04-14T16:00Z		ET	12:00 P.M.	Macon, GA                                     				
